time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/value_loss,train/n_updates,train/learning_rate,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/loss
116,48,600.54,98304,-58.15571056999999,841,45.19865253269673,470,0.0003,0.7205802500247955,-0.9861196614801884,-0.002117536979494616,0.043212890625,0.2,0.005317483,4.726408958435059
120,49,617.11,100352,-56.22158275999999,832,155.08023341298104,480,0.0003,0.2378489375114441,-1.0023433219641447,-0.003680120321769209,0.019287109375,0.2,0.004465768,57.15653991699219
123,50,628.54,102400,-53.911227280000006,829,62.58486242294312,490,0.0003,0.6482315957546234,-1.0337942680343986,-0.0041488335933536295,0.06025390625,0.2,0.0069983797,3.809757709503174
126,51,636.76,104448,-51.22478069999999,822,62.0907220557332,500,0.0003,0.40915006399154663,-0.9504627401009202,-0.00439307901833672,0.12373046875,0.2,0.0098291645,38.887779235839844
129,52,653.33,106496,-46.26478264,822,116.41168889701366,510,0.0003,0.32570701837539673,-0.9354573983699084,-0.00929857531991729,0.166943359375,0.2,0.020596359,127.34252166748047
132,53,665.21,108544,-42.626396729999996,817,216.0374245375395,520,0.0003,0.296034574508667,-0.9850018726661801,-0.0013976254245790186,0.0240234375,0.2,0.0027198067,90.8835678100586
135,54,675.76,110592,-40.440342859999994,815,70.33383680731058,530,0.0003,0.5678034424781799,-0.9404289191588759,-0.0023058921840856785,0.0513671875,0.2,0.006611665,3.7707104682922363
139,55,690.18,112640,-38.31457363,807,94.19068586081266,540,0.0003,0.5529174208641052,-1.0007525805383921,-0.004298780940007419,0.14248046875,0.2,0.012279546,9.840413093566895
142,56,700.92,114688,-37.20729392,806,56.9822843812406,550,0.0003,0.7234882712364197,-0.9686859099194407,-0.0008427769746049308,0.05068359375,0.2,0.004191667,5.176299095153809
146,57,715.2,116736,-35.46762224,799,143.11956801116466,560,0.0003,0.6183515191078186,-0.9975243570283056,-0.0018447434769768734,0.039697265625,0.2,0.0049234387,184.1881103515625
148,58,728.71,118784,-31.32840223,798,38.119629021734,570,0.0003,0.8323659747838974,-0.9759119033813477,-0.004602458509907592,0.07353515625,0.2,0.006553386,1.5550496578216553
152,59,737.86,120832,-29.445679339999998,791,156.0901593208313,580,0.0003,0.5771586894989014,-0.8109723234549164,-0.010031468534725719,0.163134765625,0.2,0.016556783,6.849153995513916
155,60,751.74,122880,-28.50324651,791,101.47705675959587,590,0.0003,0.7340848743915558,-1.0413230527192354,-0.0038225756579777226,0.050537109375,0.2,0.006831886,35.19921875
158,61,763.28,124928,-25.50793985,786,247.89618675112723,600,0.0003,0.5353754460811615,-0.9437003560364247,-0.0018453997607139172,0.03173828125,0.2,0.0038036136,365.9167175292969
162,62,780.54,126976,-19.68358178,782,73.4544825874269,610,0.0003,0.7449297308921814,-0.9567775601521135,-0.0020251325848221315,0.11474609375,0.2,0.01149934,2.317793369293213
166,63,796.09,129024,-17.04206104,776,102.00178223848343,620,0.0003,0.7321289777755737,-0.8739001400768757,-0.0040918119608249984,0.08115234375,0.2,0.0073140785,7.033893585205078
168,64,809.34,131072,-14.916337650000004,776,38.08852110654116,630,0.0003,0.86288782954216,-1.0373645713552833,-0.005183539772406221,0.154150390625,0.2,0.008118682,210.216552734375
171,65,812.96,133120,-8.291130360000002,774,84.2694797873497,640,0.0003,0.7504218071699142,-0.8597413368523121,-0.0029335883911699055,0.083349609375,0.2,0.00939224,14.753353118896484
175,66,820.02,135168,-11.112307430000001,770,101.53762987926602,650,0.0003,0.6645140051841736,-0.9493433859199285,-0.0030890088295564056,0.065185546875,0.2,0.0052836942,106.32817840576172
178,67,826.54,137216,-9.39699657,769,75.9043525017798,660,0.0003,0.7143977582454681,-0.9042191212996841,-0.0021412378875538705,0.035498046875,0.2,0.0043150885,1.8704001903533936
180,68,837.61,139264,-6.651394100000002,769,39.457090036571024,670,0.0003,0.843960702419281,-0.9044364685192704,-0.0021176911570364608,0.100341796875,0.2,0.00891452,6.691866397857666
184,69,843.67,141312,-5.4157848300000015,765,137.40241064801813,680,0.0003,0.6019321978092194,-1.0007455902174116,-0.0007517214864492417,0.0365234375,0.2,0.005703171,17.076047897338867
187,70,841.41,143360,-5.14534279,766,48.8933681063354,690,0.0003,0.8399538546800613,-0.8453426161780954,-0.0019122065794363152,0.07255859375,0.2,0.009446104,5.1862711906433105
190,71,846.97,145408,-4.297067309999999,764,193.90837901234627,700,0.0003,0.6359005272388458,-0.9564916435629129,-0.001810158616353874,0.0142578125,0.2,0.0038078553,59.460330963134766
192,72,834.95,147456,-4.993918619999999,764,42.6197168149054,710,0.0003,0.8829734176397324,-1.0209632696583868,-0.003909040550934151,0.080322265625,0.2,0.009873632,1.580336570739746
195,73,830.08,149504,-2.444964619999998,764,205.48033661097287,720,0.0003,0.613913893699646,-0.9271349104121327,-0.0018848005674954038,0.02333984375,0.2,0.0036549943,181.03839111328125
198,74,832.35,151552,0.29892088000000183,763,99.65198682248592,730,0.0003,0.716465175151825,-0.8863735012710094,-0.004306885816185968,0.04755859375,0.2,0.0065243933,18.34507942199707
201,75,837.39,153600,-2.1352742899999977,761,38.46970489565283,740,0.0003,0.8881077542901039,-1.0054937781766058,-0.0023584049209603108,0.1501953125,0.2,0.017032841,265.89404296875
204,76,836.13,155648,-2.1563917999999975,762,37.3838397949934,750,0.0003,0.8821050822734833,-0.9748984321951866,-0.004852266923990101,0.10732421875,0.2,0.0077901375,1.9817603826522827
207,77,825.18,157696,-3.94232742,761,87.8970215164125,760,0.0003,0.6707951426506042,-0.93039147593081,-0.005214971955138026,0.101123046875,0.2,0.008310121,2.3453431129455566
210,78,825.18,159744,-3.54094767,759,131.5698985427618,770,0.0003,0.7398150265216827,-0.7936076091602444,-0.0034661676771065688,0.034375,0.2,0.004496295,166.8729705810547
213,79,825.18,161792,-3.55911406,759,34.725251590274276,780,0.0003,0.9153653606772423,-0.8873049482703209,-0.006117496164370096,0.087255859375,0.2,0.009421343,1.6557599306106567
216,80,825.18,163840,-3.2265867399999997,756,41.735788916423914,790,0.0003,0.8737065941095352,-0.9126263404265046,-0.002967914069449762,0.062890625,0.2,0.0080703385,5.2241315841674805
220,81,820.47,165888,-2.302312849999999,752,41.453394456207754,800,0.0003,0.8625604063272476,-0.8402833582833409,-0.006150492683809716,0.11494140625,0.2,0.0071803764,3.6228959560394287
223,82,815.99,167936,-1.8492238200000002,752,72.81881773769855,810,0.0003,0.782157763838768,-0.9337864434346557,-0.0030638085045211483,0.09873046875,0.2,0.010189154,61.519432067871094
226,83,815.99,169984,-0.7491040100000004,751,132.02441515773535,820,0.0003,0.6658665537834167,-0.8630728268995881,-0.0016599984141066671,0.033544921875,0.2,0.0064695603,65.13963317871094
228,84,821.52,172032,0.6683181699999997,751,31.106889159604908,830,0.0003,0.9129179567098618,-0.8948591200634837,-0.004745066590839997,0.120849609375,0.2,0.009559633,0.592666506767273
232,85,821.52,174080,-0.4814602200000009,749,36.85525927096605,840,0.0003,0.8722199499607086,-0.9708900075405836,-0.003934498073067516,0.10625,0.2,0.0071447734,5.247249603271484
235,86,816.04,176128,0.18089782999999918,748,42.713688988797365,850,0.0003,0.8259287029504776,-0.8570942886173725,-0.0026107279991265386,0.080712890625,0.2,0.01167457,0.9587960839271545
238,87,816.04,178176,0.20600846999999972,747,79.63530951067806,860,0.0003,0.8068217635154724,-0.8899637123569846,-0.00037264466445776636,0.031103515625,0.2,0.0039461385,2.1152873039245605
240,88,819.09,180224,4.255672079999998,748,39.16890391632914,870,0.0003,0.869144931435585,-1.0020850924775004,-0.011625049875874538,0.2275390625,0.2,0.009480344,1.643192172050476
242,89,786.28,182272,-1.929227380000001,750,78.5929958358407,880,0.0003,0.7982879728078842,-0.7413497697561979,-0.0005271075518976431,0.041845703125,0.2,0.0052913763,1.745880365371704
245,90,782.21,184320,1.7071650999999968,750,420.2065412521362,890,0.0003,0.5124505758285522,-0.7358786860480905,-0.00036346788110677155,0.006884765625,0.2,0.0019711854,138.72616577148438
248,91,786.83,186368,-0.678855450000003,749,128.16579581201077,900,0.0003,0.7396714389324188,-0.8797316016629338,-0.0013863055472029373,0.03583984375,0.2,0.006793131,25.95009994506836
251,92,785.06,188416,-0.6818144500000008,750,50.24726752918214,910,0.0003,0.8943552598357201,-0.9449637029320002,-0.0009731878802995197,0.116552734375,0.2,0.011166992,2.3291995525360107
254,93,789.91,190464,-1.3833575899999997,749,85.88850674033165,920,0.0003,0.781122013926506,-0.8581487663090229,-0.0009824203429161572,0.06552734375,0.2,0.007997541,25.29018783569336
257,94,793.44,192512,1.2642633900000007,748,36.95245311353356,930,0.0003,0.9149768799543381,-0.9687516810372472,-0.002782637747077388,0.058935546875,0.2,0.0071321884,2.537081003189087
259,95,785.1,194560,-0.9560256399999981,748,59.18877279236913,940,0.0003,0.8356754332780838,-0.7875364985316992,-0.0031594898362527603,0.103955078125,0.2,0.012013208,1.3971117734909058
262,96,772.9,196608,-1.6542739399999993,748,139.76901659294964,950,0.0003,0.6903237998485565,-0.834700397029519,-0.001881736656650901,0.029541015625,0.2,0.0043596704,86.66028594970703
265,97,770.73,198656,-2.45990165,747,174.88254287689924,960,0.0003,0.7173149585723877,-0.817114700190723,-0.0014669877380583784,0.0216796875,0.2,0.004068226,83.46134948730469
268,98,781.97,200704,1.3338689099999987,748,114.88340580612422,970,0.0003,0.756095677614212,-0.8881618585437536,-0.003825532072369242,0.077490234375,0.2,0.0074367854,50.346527099609375
271,99,785.36,202752,0.23865536999999887,748,80.03624561689794,980,0.0003,0.8178256899118423,-0.8752234673127532,-0.0022849062435852828,0.175048828125,0.2,0.022554245,26.800107955932617
274,100,785.36,204800,-0.5695472800000009,746,27.426352974027395,990,0.0003,0.93661317974329,-0.8727830493822694,-0.0036477374160313047,0.13642578125,0.2,0.025701534,209.35696411132812
277,101,775.32,206848,-4.6677737000000015,745,43.885677276551725,1000,0.0003,0.8838007301092148,-0.9744565716013313,-0.00477980760842911,0.069189453125,0.2,0.008384953,1.685577392578125
280,102,777.12,208896,-4.731071990000003,743,147.86571419388056,1010,0.0003,0.7526738047599792,-0.8422942891716957,-0.0021964687795843927,0.06474609375,0.2,0.008290756,62.260623931884766
284,103,786.64,210944,-6.322554280000003,742,27.259816055744885,1020,0.0003,0.9346327111124992,-0.7538934977725148,-0.0008117691279039719,0.079833984375,0.2,0.0079551255,0.43815192580223083
287,104,784.85,212992,-9.950444060000002,741,41.973296985030174,1030,0.0003,0.8892367407679558,-0.9218660255894064,-0.003804783998930361,0.0974609375,0.2,0.010475844,2.568812608718872
290,105,779.25,215040,-7.937023740000002,740,76.70314569249749,1040,0.0003,0.7954513728618622,-0.821829473413527,-0.002321331246639602,0.056982421875,0.2,0.006938478,57.705963134765625
293,106,777.27,217088,-7.905289970000004,740,85.63955456614494,1050,0.0003,0.6686810851097107,-0.7245539020746946,-0.003872458757541608,0.12080078125,0.2,0.011901274,26.427751541137695
296,107,775.03,219136,-7.450962450000002,738,84.35973165482282,1060,0.0003,0.7046477496623993,-0.7520515486598015,-0.0018096837113262155,0.047412109375,0.2,0.005728006,5.078054904937744
300,108,786.76,221184,-4.4896792600000035,737,63.708460399881005,1070,0.0003,0.8261618763208389,-0.7273228196427226,-0.00130025440666941,0.07626953125,0.2,0.009787396,5.695278167724609
302,109,775.78,223232,-8.619043320000003,738,43.90059877410531,1080,0.0003,0.8295080214738846,-0.8424022559076547,-0.0008101650528260507,0.107275390625,0.2,0.009250136,1.091034173965454
305,110,781.76,225280,-3.789071260000002,736,205.05393865406512,1090,0.0003,0.6471683979034424,-0.7625503433868289,-0.003506405402731616,0.043359375,0.2,0.0057465937,106.49126434326172
308,111,787.3,227328,-5.483994120000002,735,62.55834366306662,1100,0.0003,0.7597974389791489,-0.7497889099642634,-0.0019841669163724873,0.041162109375,0.2,0.006449037,1.9110965728759766
312,112,792.17,229376,-6.626243740000003,734,40.421165159344675,1110,0.0003,0.8799974173307419,-0.8495673580095172,-0.0020095633502933198,0.07958984375,0.2,0.0050907657,1.1553516387939453
667,113,789.09,231424,-6.236123800000001,346,36.10584558919072,1120,0.0003,0.8895048648118973,-0.8513599924743176,-0.00048250607069348915,0.073828125,0.2,0.0033542516,0.8023170828819275
671,114,783.12,233472,-4.207462370000001,347,94.36540747284889,1130,0.0003,0.798776313662529,-0.7741867121309042,-0.0022470579304354034,0.08720703125,0.2,0.008542731,2.833390235900879
674,115,789.18,235520,1.2134294199999973,349,91.52120030075312,1140,0.0003,0.6768757104873657,-0.8325777936726808,-0.0011470940309664002,0.017041015625,0.2,0.003614542,11.901657104492188
1683,116,789.02,237568,0.4092398099999999,141,109.16731762439012,1150,0.0003,0.6750502586364746,-0.7778993805870413,-0.00025354212848469613,0.045849609375,0.2,0.0067773107,20.165523529052734
1687,117,789.02,239616,0.5075512900000003,141,85.63797385469078,1160,0.0003,0.7157058715820312,-0.7496385680511594,-0.003988907785242191,0.147021484375,0.2,0.014509346,52.54256820678711
2634,118,785.2,241664,1.8627903800000007,91,38.391423324495555,1170,0.0003,0.8615156561136246,-0.8517506340518594,-0.0039919738235767,0.083056640625,0.2,0.0072858604,2.3628861904144287
2637,119,776.07,243712,0.9654616600000012,92,68.50855309516191,1180,0.0003,0.7584061026573181,-0.6474506067112088,-0.0074785626682569275,0.09248046875,0.2,0.02150184,5.123528957366943
2953,120,786.3,245760,2.0389288500000005,83,164.42517720460893,1190,0.0003,0.5795482993125916,-0.7555052692070603,-0.004020931817103701,0.04345703125,0.2,0.009967818,26.590301513671875
2956,121,785.06,247808,3.032017429999999,83,90.54065842106938,1200,0.0003,0.695830762386322,-0.7754503227770329,-0.0023697219647146996,0.090087890625,0.2,0.00840093,7.1841607093811035
2958,122,774.23,249856,2.7756453599999986,84,61.833736299723384,1210,0.0003,0.7883367836475372,-0.6697831170633435,-0.0021937772471574135,0.0689453125,0.2,0.007935299,1.9863622188568115
