time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/clip_range,train/n_updates,train/clip_fraction,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/loss,train/entropy_loss
131072,726,180,809.79,64,-6.061092629999997,0.2,630,0.051416015625,65.52073112055659,0.0040068263,-0.0018687289448280353,0.7281507253646851,0.0003,20.784997940063477,-0.928046090900898
133120,726,183,807.87,65,-4.009167169999997,0.2,640,0.065673828125,82.71927936971187,0.008246459,-0.0029848975835193416,0.8263456672430038,0.0003,15.06995964050293,-0.7910091521218419
135168,722,186,807.87,66,-4.034034139999999,0.2,650,0.113671875,62.37684593498707,0.010257057,-0.004193738068715902,0.9332873299717903,0.0003,43.27339553833008,-0.8472223008051515
137216,722,189,810.62,67,-3.881343699999998,0.2,660,0.12744140625,35.55218355283141,0.012622636,-0.007174389353895094,0.9269616901874542,0.0003,5.312726974487305,-0.9652973817661404
139264,715,194,823.89,68,-1.4638305899999984,0.2,670,0.07177734375,82.5348197132349,0.006412211,-0.0025869251250696832,0.7874478250741959,0.0003,3.8581929206848145,-0.933562909066677
141312,712,198,830.9,69,-0.990774669999998,0.2,680,0.060009765625,37.147614791616796,0.006994577,-0.0038915057964914014,0.906963050365448,0.0003,2.634324312210083,-0.9594071127474308
143360,706,203,836.57,70,-0.4254668099999993,0.2,690,0.10302734375,35.54739008061588,0.006831024,-0.005536050770751899,0.8675030618906021,0.0003,248.1810760498047,-1.0009663786739111
145408,703,206,836.57,71,-0.36129636999999915,0.2,700,0.134326171875,49.42045774497092,0.011818281,-0.00298704139131587,0.8815214037895203,0.0003,0.5304046273231506,-0.8638290163129568
147456,702,209,830.22,72,-1.38182789,0.2,710,0.090625,33.14507196089253,0.009289553,-0.000335649425687734,0.8649652153253555,0.0003,1.855890154838562,-0.9439155157655478
149504,701,212,819.97,73,-2.45068717,0.2,720,0.035693359375,112.40456621125341,0.005520937,-0.0014747489520232193,0.7322401404380798,0.0003,5.44970703125,-0.9491986311972141
151552,699,216,819.97,74,-2.025127019999999,0.2,730,0.030859375,137.6599535882473,0.006705794,-0.002360449496700312,0.529423713684082,0.0003,45.35408020019531,-0.8535344686359168
153600,697,220,819.97,75,-1.6019330599999986,0.2,740,0.10556640625,35.79893559087068,0.010849623,-0.0033734347438439728,0.847435712814331,0.0003,2.6761646270751953,-0.9449817795306444
155648,695,223,819.97,76,-2.6890510399999994,0.2,750,0.11298828125,43.10589696904644,0.0070423274,-0.004370157365337945,0.8494029641151428,0.0003,1.2841228246688843,-0.9230993369594216
157696,691,228,819.97,77,-2.2943537999999988,0.2,760,0.05380859375,32.026209379546344,0.00458532,-0.001084455565433018,0.8537784069776535,0.0003,0.4211514890193939,-0.779999515786767
159744,688,232,819.97,78,-2.458554919999998,0.2,770,0.089111328125,36.838564922474326,0.009619081,-0.0054857174567587205,0.8071482181549072,0.0003,3.1944515705108643,-0.9974689377471805
161792,687,235,825.1,79,-0.6960988099999991,0.2,780,0.12568359375,32.811222275532785,0.009902397,-0.008417485633981415,0.8649939447641373,0.0003,1.0959043502807617,-0.9677424032241106
163840,687,238,826.89,80,1.0752008400000002,0.2,790,0.050439453125,34.913931453367695,0.006291161,-0.003912491604569368,0.8677539378404617,0.0003,0.2334110289812088,-0.9387428971007467
165888,686,241,826.89,81,0.8989682399999989,0.2,800,0.01904296875,144.90712525844575,0.0038434307,-0.0015485592564800754,0.6184954643249512,0.0003,7.291317462921143,-0.8770685058087111
167936,686,244,826.89,82,0.8991809899999987,0.2,810,0.131982421875,60.9469331106171,0.014443058,-0.003920287260552868,0.8176592439413071,0.0003,1.4932502508163452,-0.9687605587765574
169984,683,248,831.94,83,-0.09583894000000134,0.2,820,0.112109375,35.2609972666949,0.010639131,-0.004791119916626485,0.9061697423458099,0.0003,1.4469958543777466,-0.9407519014552236
172032,683,251,837.72,84,1.6937666399999984,0.2,830,0.123583984375,41.38660006467253,0.015397916,-0.0043286777123284995,0.8518557250499725,0.0003,0.34899023175239563,-1.0161905981600285
