time/fps,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/entropy_loss,train/clip_fraction,train/clip_range,train/value_loss,train/loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/n_updates
779,197,75,153600,655.72,15.171920939999996,0.004046418,-0.7610528003424406,0.019287109375,0.2,175.86031652092933,118.96398162841797,0.5985245108604431,-0.001750385273771826,0.0003,740
780,199,76,155648,643.37,17.667483200000003,0.016372759,-0.718490911833942,0.103466796875,0.2,101.66696182340384,17.40302848815918,0.8234420567750931,-0.0036254772516258527,0.0003,750
779,202,77,157696,632.92,19.2721079,0.0028364798,-0.8291321942582727,0.036767578125,0.2,132.63795471191406,105.15576934814453,0.7014316618442535,-0.0033221962439711206,0.0003,760
778,205,78,159744,631.58,21.09941968,0.005906737,-0.7809704311192036,0.056494140625,0.2,118.83145878314971,29.405363082885742,0.6046998202800751,-0.0026645220506907206,0.0003,770
779,207,79,161792,622.02,20.75278128,0.00893714,-0.8183558998629451,0.096826171875,0.2,176.012777364254,13.241788864135742,0.6014994978904724,-0.002715823522521532,0.0003,780
779,210,80,163840,621.46,16.63730246,0.0064127175,-0.8391974663361907,0.074658203125,0.2,89.93134018480778,9.970100402832031,0.6653984189033508,-0.0045396191628242375,0.0003,790
779,212,81,165888,616.77,14.353040389999999,0.00401643,-0.7893390314653516,0.0326171875,0.2,228.71276672184467,97.62874603271484,0.5216653645038605,-0.0012123905606131302,0.0003,800
779,215,82,167936,615.88,15.103086899999996,0.009727137,-0.8429377900436521,0.08505859375,0.2,106.74402992278337,9.27951431274414,0.4775962233543396,-0.0037319261526135962,0.0003,810
776,218,83,169984,616.92,17.68259221,0.0028559533,-0.7731955660507083,0.035595703125,0.2,66.37819327116013,10.266209602355957,0.6235524713993073,-0.002956418394751381,0.0003,820
777,221,84,172032,617.8,18.002156949999996,0.018602435,-0.7283359747380018,0.046826171875,0.2,130.7345181941986,9.208527565002441,0.45753300189971924,-0.0034325143256864975,0.0003,830
776,224,85,174080,619.32,16.98413087,0.0045920536,-0.7958519116044045,0.04892578125,0.2,176.91724786758422,22.00413703918457,0.4064045548439026,-0.002241018483618973,0.0003,840
775,227,86,176128,624.91,16.829661530000003,0.010717893,-0.7391107076779008,0.079638671875,0.2,70.31457448005676,38.389320373535156,0.6907609105110168,-0.005891862467251485,0.0003,850
776,229,87,178176,618.42,11.028317970000003,0.006390706,-0.7518068511039019,0.0662109375,0.2,85.76361764073371,303.4703674316406,0.7706785202026367,-0.0014398182018339866,0.0003,860
774,232,88,180224,622.72,10.72146845,0.006300713,-0.7701123205944895,0.09072265625,0.2,183.42505571842193,87.12060546875,0.4527052044868469,-0.0027707664638001008,0.0003,870
773,235,89,182272,629.74,7.399262589999999,0.010666141,-0.7479586692526936,0.110888671875,0.2,74.18320318087936,4.371864318847656,0.6627090573310852,-0.0002249244622362312,0.0003,880
774,238,90,184320,626.71,6.84082232,0.003310597,-0.7715258494019508,0.029345703125,0.2,148.01276598721742,59.884437561035156,0.6006574928760529,-0.0005040676973294467,0.0003,890
772,241,91,186368,625.84,3.42549097,0.0060648713,-0.822992760874331,0.044921875,0.2,118.71226772665977,21.125335693359375,0.6349062919616699,-0.003502169152488932,0.0003,900
774,243,92,188416,627.36,1.1798091599999987,0.005447402,-0.7792725564911962,0.053125,0.2,116.41213259100914,5.585972785949707,0.6636187434196472,-0.0007460010496288305,0.0003,910
773,246,93,190464,629.7,3.5024091399999993,0.0035795528,-0.8314672198146582,0.063720703125,0.2,90.52750115394592,22.710006713867188,0.7929243445396423,-0.004343565068847965,0.0003,920
771,249,94,192512,634.05,7.697300409999998,0.0027281023,-0.7410067545250059,0.0193359375,0.2,122.5635602504015,4.227194786071777,0.3757018446922302,-0.0012887496919574914,0.0003,930
770,252,95,194560,636.95,9.802056669999999,0.0033144979,-0.7085672494024038,0.037744140625,0.2,119.6802814796567,73.41006469726562,0.554993063211441,-0.0014827236147539225,0.0003,940
771,254,96,196608,630.05,5.125135430000001,0.006948016,-0.7972128350287676,0.06982421875,0.2,172.59321345984935,9.433708190917969,0.6103836894035339,-0.0013180227051634574,0.0003,950
769,257,97,198656,630.77,3.0464620599999996,0.002480397,-0.7742045128718018,0.0423828125,0.2,152.63130599856376,71.4435806274414,0.6339618563652039,-0.0005210324692598078,0.0003,960
770,260,98,200704,621.24,4.5467026399999995,0.01221325,-0.7841876793652773,0.120068359375,0.2,133.0426902770996,110.73931121826172,0.7149834632873535,-0.0051678845025890045,0.0003,970
769,263,99,202752,622.77,8.54270365,0.0075427275,-0.7653195973485708,0.079248046875,0.2,114.27775132507085,25.68299674987793,0.6716268956661224,-0.00201912851043744,0.0003,980
771,265,100,204800,628.65,5.588677090000001,0.0030849073,-0.7178548073396087,0.031103515625,0.2,101.9543313920498,36.17234802246094,0.7077274918556213,-0.0016661464771459578,0.0003,990
771,268,101,206848,625.97,1.8078811200000002,0.00397048,-0.7757716236636043,0.062158203125,0.2,143.8667190119624,28.610193252563477,0.4327375888824463,0.00011993425869150087,0.0003,1000
770,271,102,208896,623.85,1.7610171100000003,0.006494238,-0.7753760566934943,0.045068359375,0.2,108.45995213985444,45.708309173583984,0.6962578296661377,-0.0014741714097908699,0.0003,1010
771,273,103,210944,620.9,-4.222199250000002,0.007128461,-0.7978414814919234,0.066650390625,0.2,87.60394502431154,9.514801979064941,0.5919575691223145,-0.006176813620186294,0.0003,1020
772,275,104,212992,620.32,-8.063349429999999,0.0038751601,-0.8042778965085745,0.030419921875,0.2,225.9089044392109,92.62908172607422,0.4982963800430298,-0.0022818217723397536,0.0003,1030
773,278,105,215040,613.38,-5.190302929999999,0.0052044103,-0.8486995436251163,0.0513671875,0.2,142.13761740028858,81.06520080566406,0.6787129044532776,-0.0022750756703317165,0.0003,1040
772,280,106,217088,611.83,-3.7991111199999987,0.008588781,-0.7747427066788077,0.033154296875,0.2,143.68553532063962,85.74437713623047,0.5618249475955963,-0.0015104778587556212,0.0003,1050
773,283,107,219136,607.57,-4.851802109999999,0.0029789568,-0.74367948602885,0.01796875,0.2,147.8827780276537,38.73109817504883,0.5988154411315918,-0.0013547738039051183,0.0003,1060
774,285,108,221184,603.09,-3.829022969999997,0.005632839,-0.7540176298469305,0.060986328125,0.2,182.19592401385307,65.35681915283203,0.5961838960647583,-0.0018694648490054533,0.0003,1070
774,288,109,223232,599.91,-0.5188499399999975,0.00757346,-0.7111545890569687,0.03662109375,0.2,134.44224647283554,14.89078140258789,0.6328571140766144,-0.0003875973638059804,0.0003,1080
773,291,110,225280,591.13,0.3556134799999998,0.004304423,-0.763154455460608,0.034814453125,0.2,185.67466607987882,47.80105972290039,0.5045498609542847,-0.003240162144356873,0.0003,1090
773,293,111,227328,588.22,-0.19385232999999985,0.0040406124,-0.7161304799839854,0.029443359375,0.2,107.0061344563961,43.55638885498047,0.742381364107132,-0.00023256328131537884,0.0003,1100
773,296,112,229376,577.99,-3.43210443,0.0057143345,-0.791233540698886,0.062060546875,0.2,168.99268552362918,14.224515914916992,0.4886183738708496,-0.004525599304179196,0.0003,1110
773,299,113,231424,571.48,-1.2691786600000008,0.0031459425,-0.8017835663631558,0.0333984375,0.2,207.34974257349967,6.357987403869629,0.18778353929519653,-0.002088475337222917,0.0003,1120
774,301,114,233472,564.09,-4.4894614200000005,0.007853463,-0.7836990410462021,0.069140625,0.2,124.14611454308033,13.777751922607422,0.3335586190223694,-0.0017823585210862802,0.0003,1130
774,304,115,235520,560.56,-1.3978585500000011,0.008089584,-0.8099759602919221,0.042919921875,0.2,140.121910700202,107.62248229980469,0.5707360208034515,-0.0021212108920735774,0.0003,1140
773,306,116,237568,557.92,2.1072148199999976,0.0039443555,-0.7637738347053528,0.051904296875,0.2,126.17832280099393,26.515689849853516,0.6259162127971649,-0.0011222652912692866,0.0003,1150
773,309,117,239616,559.15,2.9361005799999975,0.005698163,-0.7932386910542846,0.07060546875,0.2,112.43817872405052,2.332200288772583,0.7942010909318924,-0.0011260875144216698,0.0003,1160
773,312,118,241664,560.73,6.5309118,0.0040970272,-0.6691027106717229,0.027880859375,0.2,139.3387035191059,16.30182647705078,0.6335057318210602,-0.002060211566640646,0.0003,1170
773,315,119,243712,558.94,8.961161069999998,0.008636827,-0.7584952721372247,0.0689453125,0.2,89.0504402294755,3.656963348388672,0.8396630734205246,-0.005705573532031849,0.0003,1180
773,317,120,245760,558.29,8.238081079999999,0.0058526923,-0.7887758173048496,0.05927734375,0.2,186.61528245806693,43.64775848388672,0.6087126433849335,-0.003908380227949237,0.0003,1190
773,320,121,247808,555.94,1.3832371599999964,0.0073865736,-0.7240100948140025,0.05849609375,0.2,122.75223767757416,6.796040058135986,0.7702687829732895,-0.0016969795597105986,0.0003,1200
771,323,122,249856,556.99,1.811221069999998,0.004065217,-0.7673682391643524,0.0302734375,0.2,132.03805125802756,43.10165786743164,0.766807809472084,-0.002417588463140419,0.0003,1210
769,327,123,251904,566.31,5.796469989999999,0.0053243334,-0.7974402420222759,0.04052734375,0.2,117.47058811336755,26.256420135498047,0.7134227454662323,-0.002248224577488145,0.0003,1220
1165,1,1,2048,548.0,-119.64333333333333,0.009224972,-0.6984221566468477,0.052099609375,0.2,96.43238853216171,30.341459274291992,0.6307445168495178,-0.003021540849294979,0.0003,1230
821,4,2,4096,605.3333333333334,-65.46666666666667,0.011188391,-0.7714772526174783,0.138720703125,0.2,64.57438551336527,8.563735961914062,0.7846271693706512,-0.0025424837287573608,0.0003,1240
758,8,3,6144,626.4444444444445,-41.98444444444445,0.011582644,-0.8259066697210073,0.12314453125,0.2,28.005745565891267,4.803300380706787,0.8942445069551468,-0.002554869568848517,0.0003,1250
