time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,train/entropy_loss,train/explained_variance,train/loss,train/learning_rate,train/clip_fraction,train/value_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/n_updates
238,-5.77798323,76,651,155648,992.44,-0.870155606046319,0.8025114387273788,1.7356457710266113,0.0003,0.048193359375,38.70696410909295,0.2,-0.0013568612914241385,0.0047135516,750
242,-4.90952137,77,651,157696,992.44,-0.8634679917246103,0.8312664479017258,4.19631814956665,0.0003,0.05654296875,29.683290448784827,0.2,-0.00030301085989776767,0.00665986,760
246,-4.67951088,78,648,159744,992.44,-0.862744053825736,0.8459619581699371,2.721163511276245,0.0003,0.04169921875,28.09180661663413,0.2,-0.0010901055131398607,0.003738048,770
249,-4.92030134,79,647,161792,992.44,-0.8798322577029467,0.8360303342342377,0.9918301105499268,0.0003,0.0919921875,24.417368314787744,0.2,-0.0029547832062235104,0.006684021,780
253,-4.877405619999999,80,647,163840,992.44,-0.91235760897398,0.8320924788713455,2.053510904312134,0.0003,0.044677734375,31.80765873230994,0.2,-0.0007483697576390113,0.004230024,790
257,-4.93635687,81,643,165888,992.44,-0.8454138120636344,0.8819813802838326,1.7118072509765625,0.0003,0.072314453125,20.31463798470795,0.2,-0.003548869615769945,0.0056162938,800
262,-4.9297468900000005,82,640,167936,992.44,-0.8803017280995846,0.8432640582323074,0.8639854788780212,0.0003,0.056689453125,24.863195141404866,0.2,-0.0018895096094638576,0.005683395,810
265,-4.681046930000001,83,639,169984,992.44,-0.8246727569028736,0.8039924204349518,0.9169192910194397,0.0003,0.07890625,31.147645071148872,0.2,-0.0031482501319260335,0.007963515,820
268,-6.02489451,84,640,172032,991.81,-0.8155807334929704,0.8332289010286331,0.47703608870506287,0.0003,0.059228515625,17.863087721168995,0.2,-0.001844449111376889,0.008448208,830
271,-7.86609981,85,641,174080,989.49,-0.8322752131149173,0.7184872329235077,21.99146270751953,0.0003,0.0396484375,57.56725774258375,0.2,-0.0044112606698035964,0.003651814,840
274,-6.77320191,86,641,176128,989.49,-0.793031589128077,0.8495457023382187,2.3928189277648926,0.0003,0.066552734375,52.54939263537526,0.2,-0.0012127377347496803,0.006726251,850
278,-4.615688110000002,87,640,178176,987.91,-0.855496040917933,0.7836323380470276,1.494513750076294,0.0003,0.045263671875,30.079111587256193,0.2,-0.0008876478888851125,0.0044844784,860
282,-4.4263585899999995,88,638,180224,987.91,-0.7690565224736929,0.4534173607826233,56.92444610595703,0.0003,0.004541015625,108.0167484164238,0.2,-0.0017993270557781216,0.0035457264,870
285,-4.678843580000001,89,638,182272,987.91,-0.8483244352042675,0.8482572287321091,1.6194162368774414,0.0003,0.057080078125,21.777510651946066,0.2,-0.00095939637903939,0.006773049,880
288,-4.8091455299999994,90,637,184320,987.91,-0.867886270955205,0.8569293320178986,3.5824239253997803,0.0003,0.0736328125,21.851860074326396,0.2,-0.0036013634016853757,0.007693538,890
293,-4.5608887099999995,91,635,186368,987.91,-0.8343171155080199,0.8211690783500671,0.4686839282512665,0.0003,0.067919921875,27.73742888811976,0.2,-0.0014693471413920634,0.0038103284,900
296,-4.02608964,92,635,188416,989.77,-0.8377061439678073,0.7863947749137878,0.5781723856925964,0.0003,0.06923828125,25.499467653408647,0.2,-0.004200176877202466,0.0072641578,910
299,-4.14889035,93,634,190464,989.77,-0.827534987963736,0.8589325994253159,0.6945670247077942,0.0003,0.05126953125,26.64248671233654,0.2,-0.0007836913340725004,0.0051504304,920
303,-4.20963157,94,633,192512,989.77,-0.8320698091760278,0.8119668513536453,0.475985050201416,0.0003,0.067578125,20.885473301261662,0.2,-0.002323931960563641,0.005694829,930
307,-2.7369381200000005,95,632,194560,990.74,-0.8199741357937456,0.825312539935112,0.46987390518188477,0.0003,0.05625,25.588692153058947,0.2,0.0013711107771086973,0.004522588,940
310,-2.92399045,96,633,196608,990.74,-0.8428086353465915,0.8076265603303909,0.6006849408149719,0.0003,0.05869140625,25.55091516673565,0.2,-0.0006622664783208166,0.006394847,950
313,-3.1514240199999994,97,633,198656,990.74,-0.8228818349540233,0.8171026408672333,0.5427192449569702,0.0003,0.063330078125,23.728124439995735,0.2,-0.0029086283786455168,0.005244207,960
316,-4.4706534499999995,98,633,200704,990.1,-0.8130491888150573,0.8212402015924454,0.7164816856384277,0.0003,0.034423828125,23.436219619214533,0.2,-0.0009080764946702402,0.0057458896,970
321,-4.052522189999999,99,631,202752,990.1,-0.8021546637639403,0.5810948312282562,101.40242767333984,0.0003,0.047998046875,92.16607839465141,0.2,-0.0031051029087393544,0.0053384574,980
323,-6.0315360899999995,100,633,204800,988.44,-0.8035107240080833,0.7915950417518616,282.6455993652344,0.0003,0.049951171875,38.58593200873584,0.2,-0.003023125120307668,0.005788843,990
327,-6.531443749999998,101,632,206848,986.79,-0.7993148874491454,0.7163703143596649,1.8639613389968872,0.0003,0.05380859375,50.738495940715076,0.2,-0.0032602139763184823,0.0035843274,1000
330,-6.458548849999999,102,632,208896,986.79,-0.7565544437617063,0.7558154910802841,19.859142303466797,0.0003,0.026416015625,56.17544720098376,0.2,-0.001929891969120945,0.0031458465,1010
335,-6.608010219999999,103,629,210944,986.79,-0.8117282599210739,0.9024414494633675,0.8468989133834839,0.0003,0.052197265625,29.429316619969903,0.2,-0.0002454196728649549,0.007690871,1020
339,-6.395260919999999,104,627,212992,986.79,-0.7744184084236622,0.9150760024785995,239.1767120361328,0.0003,0.072216796875,26.734823260828854,0.2,-0.0018581912518129684,0.006949028,1030
342,-6.56858846,105,627,215040,986.79,-0.7798869583755732,0.9158634543418884,0.5977674126625061,0.0003,0.06845703125,18.182311633974315,0.2,-0.00199473180109635,0.0059110583,1040
345,-6.741504159999998,106,628,217088,986.79,-0.7844490503892303,0.878727100789547,0.3262934982776642,0.0003,0.06103515625,33.59082340663299,0.2,-0.0008856248270603829,0.0075334967,1050
350,-5.735289009999999,107,626,219136,987.25,-0.7710642876103521,0.8893131241202354,0.5764961838722229,0.0003,0.04921875,28.161084988340736,0.2,-0.0024792187483399174,0.0041090567,1060
354,-5.393269089999998,108,623,221184,987.25,-0.798420861363411,0.8748231381177902,1.2789491415023804,0.0003,0.07822265625,26.09304049964994,0.2,-0.001844344791607,0.008622659,1070
358,-5.7173840700000005,109,622,223232,987.25,-0.7784967683255672,0.8777597993612289,0.5539511442184448,0.0003,0.059521484375,21.620481664873658,0.2,-0.0009937275186530314,0.0040066997,1080
361,-4.636487990000001,110,622,225280,985.98,-0.8192127197980881,0.8882583677768707,0.388462632894516,0.0003,0.081494140625,22.430972324497997,0.2,-0.004533195499971043,0.007368921,1090
365,-4.395386179999999,111,622,227328,985.98,-0.7603984275832772,0.6116584539413452,2.731564998626709,0.0003,0.03896484375,83.89367115255445,0.2,-0.0008685733257152606,0.0016738969,1100
368,-4.69348839,112,621,229376,985.98,-0.7856547949835658,0.8609816282987595,0.6530548334121704,0.0003,0.0546875,30.437111558765174,0.2,-0.0008068962051765993,0.0044273725,1110
372,-3.0321842300000004,113,621,231424,987.24,-0.7921267410740256,0.8511413782835007,0.4940440356731415,0.0003,0.059716796875,35.16655162591487,0.2,0.0002930419563199393,0.005943426,1120
376,-3.5985157400000003,114,620,233472,987.24,-0.8026496928185225,0.8684994727373123,0.5369217991828918,0.0003,0.05595703125,28.986175284907223,0.2,-0.0015233680162054953,0.0056167124,1130
380,-3.38793783,115,618,235520,987.24,-0.7878244018182159,0.8733236938714981,0.4863215982913971,0.0003,0.0791015625,19.095071661286056,0.2,-0.002002348720270675,0.0077278623,1140
