rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,train/entropy_loss,train/approx_kl,train/loss,train/clip_range,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/learning_rate
748.3,166,133120,-30.750466449999998,65,800,-0.8289556082338094,0.0051788837,16.402976989746094,0.2,126.48644220456481,0.029541015625,-0.0037523797673202353,640,0.7387250065803528,0.0003
757.38,169,135168,-28.457521689999993,66,798,-0.8271624321117997,0.011070195,30.089862823486328,0.2,110.22670249268413,0.078076171875,-0.005050886557000922,650,0.7567498534917831,0.0003
763.52,172,137216,-27.16393808999999,67,797,-0.7328515753149987,0.005690465,57.47185134887695,0.2,52.02720124088228,0.060595703125,-0.0031605725416739006,660,0.7645123898983002,0.0003
767.4,174,139264,-21.909246149999998,68,797,-0.7410476768389345,0.007913394,9.006484031677246,0.2,82.49150419682265,0.08056640625,-0.002984748458402464,670,0.7562165856361389,0.0003
766.42,177,141312,-19.34503971,69,794,-0.781611131504178,0.0068846005,60.351802825927734,0.2,130.83491572886706,0.0396484375,-0.0033691600197926163,680,0.6781938374042511,0.0003
766.38,180,143360,-19.0337636,70,794,-0.7763367597013712,0.0069542155,19.150671005249023,0.2,100.6258106663823,0.083837890625,-0.0014419706669286825,690,0.6567955017089844,0.0003
781.5,183,145408,-12.504835359999998,71,794,-0.8197014715522528,0.0029634214,24.120328903198242,0.2,245.8577778339386,0.0138671875,-0.00174536133017682,700,0.6233664155006409,0.0003
780.15,185,147456,-10.026983479999998,72,794,-0.8255426246672869,0.014537267,6.7461652755737305,0.2,108.69238315373659,0.0716796875,-0.004679837229923578,710,0.5864887535572052,0.0003
799.78,188,149504,-5.86808587,73,792,-0.7643278354778886,0.0077507314,34.83002853393555,0.2,94.54604668095708,0.028173828125,-0.0011952724322327412,720,0.7160713970661163,0.0003
803.36,191,151552,-0.34549627000000144,74,789,-0.8024995993822813,0.009594919,38.470603942871094,0.2,79.85165670365095,0.10224609375,-0.006129115054864087,730,0.7647500485181808,0.0003
