time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/approx_kl,train/n_updates,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/loss,train/value_loss,train/learning_rate,train/entropy_loss,train/explained_variance
714,227328,-45.31071685,318,699.84,111,0.004044939,1100,0.2,-0.0018011870903137605,0.07490234375,4.549081802368164,47.82471291944385,0.0003,-0.9044842103496193,0.79093137383461
713,229376,-44.78106726,321,708.54,112,0.005076158,1110,0.2,-0.0030925500730518253,0.051220703125,119.77312469482422,136.78438194096088,0.0003,-0.9024227531626821,0.847426563501358
712,231424,-47.99487587000001,324,695.76,113,0.012174653,1120,0.2,-0.0024070091531029902,0.10380859375,4.320010662078857,21.511129367351533,0.0003,-0.8753427952528,0.9194021746516228
710,233472,-44.58302595999999,328,703.08,114,0.0056994464,1130,0.2,-0.003030366832535947,0.0701171875,14.459110260009766,83.8573593378067,0.0003,-0.8404197350144387,0.8392661213874817
711,235520,-44.172955939999994,331,704.8,115,0.009891028,1140,0.2,-0.002761448436649516,0.078515625,0.9614600539207458,20.022384114563465,0.0003,-0.900459704361856,0.9314647689461708
709,237568,-43.83831762,334,703.6,116,0.0039111716,1150,0.2,-0.00031686605616414453,0.041455078125,8.548991203308105,56.79310718774796,0.0003,-0.8863324511796236,0.871407225728035
709,239616,-44.61707363000001,337,704.72,117,0.004092235,1160,0.2,-0.0027368171002308374,0.03828125,12.047563552856445,109.28860244005918,0.0003,-0.7565061619505287,0.8160732090473175
708,241664,-43.137283159999996,340,716.49,118,0.00950204,1170,0.2,-0.0020337636029580607,0.083203125,2.455076217651367,45.581184919923544,0.0003,-0.8869907855987549,0.8756985068321228
707,243712,-41.43555093,344,724.34,119,0.007905152,1180,0.2,-0.004679484981897986,0.086181640625,13.30675220489502,24.98859871327877,0.0003,-0.9124952893704176,0.8996392264962196
702,245760,-41.67466353,349,727.53,120,0.009161114,1190,0.2,-0.001782594993710518,0.096533203125,49.3492431640625,59.26226740777493,0.0003,-0.9078063514083624,0.7929903417825699
697,247808,-40.33234612,355,733.36,121,0.006499828,1200,0.2,-0.002552519664459396,0.084912109375,2.4837379455566406,22.776116059720515,0.0003,-0.8578309215605259,0.8383620977401733
695,249856,-38.32804762999999,359,742.55,122,0.0070121735,1210,0.2,-0.0028382364573189987,0.070361328125,1.4445213079452515,23.27932745218277,0.0003,-0.8701760392636061,0.8296056687831879
695,251904,-38.96851881,362,740.68,123,0.0039864513,1220,0.2,-0.0005707145581254735,0.041064453125,1.9568877220153809,17.500005841255188,0.0003,-0.8621562512591481,0.876166544854641
925,2048,-544.1638889999999,2,679.3333333333334,1,0.0044671074,1230,0.2,-0.0042236424058501145,0.05048828125,28.168527603149414,67.35874493271112,0.0003,-0.9079859429970384,0.8543425053358078
871,4096,-658.2634752,4,708.6,2,0.0087865535,1240,0.2,-0.0014774443705391604,0.065771484375,45.69369125366211,135.69927941858768,0.0003,-0.8572277488186956,0.7047041952610016
842,6144,-598.2853092,7,608.5,3,0.005442707,1250,0.2,-0.0007227847727335757,0.022021484375,7.689183235168457,71.29855934977532,0.0003,-0.8132240273058414,0.7284183204174042
820,8192,-592.8308474615385,9,591.6153846153846,4,0.009381228,1260,0.2,0.00023716994473943487,0.036083984375,23.322673797607422,86.92254701852798,0.0003,-0.8320976320654154,0.7653348594903946
748,10240,-626.8839400666667,13,646.0666666666667,5,0.0046984632,1270,0.2,-0.0017992131819482894,0.055859375,6.011880397796631,53.63146950155497,0.0003,-0.8436345133930445,0.838897705078125
728,12288,-637.8102328888888,16,677.5,6,0.0077301525,1280,0.2,-0.0033157719117298257,0.06015625,4.4511260986328125,40.49464677721262,0.0003,-0.8529409654438496,0.7799027860164642
736,14336,-635.0795751999999,19,674.75,7,0.0037409503,1290,0.2,-0.0007511774394515669,0.0359375,130.97158813476562,114.71897490918636,0.0003,-0.749875957891345,0.5476827919483185
697,16384,-660.1400971363636,23,704.3181818181819,8,0.0047960924,1300,0.2,-0.0006150779707240872,0.036669921875,3.128068685531616,35.49370091110468,0.0003,-0.8515354719012975,0.8031384497880936
704,18432,-634.8460137037038,26,666.5925925925926,9,0.0055453028,1310,0.2,-0.0021848466851224655,0.053857421875,2.5776379108428955,30.860077189654113,0.0003,-0.8057881582528352,0.755722314119339
688,20480,-628.7734949677421,29,652.741935483871,10,0.006545771,1320,0.2,-0.00267019705279381,0.0640625,15.80272388458252,63.4691646322608,0.0003,-0.7637159749865532,0.6658917963504791
692,22528,-625.0114757647059,32,658.7941176470588,11,0.0055557895,1330,0.2,-0.002915284397022333,0.046728515625,9.239762306213379,43.9959248483181,0.0003,-0.8345792496576905,0.8381976187229156
668,24576,-606.4864215945945,36,651.4054054054054,12,0.011430581,1340,0.2,0.0004762965996633284,0.083837890625,4.001117706298828,50.98823852539063,0.0003,-0.8361377246677876,0.28238922357559204
669,26624,-590.7366722380951,39,631.3809523809524,13,0.0037823794,1350,0.2,-0.0011149328478495591,0.025927734375,104.39476776123047,197.88588860332965,0.0003,-0.7938095800578594,0.307647168636322
681,28672,-557.2663091020407,42,581.0204081632653,14,0.005960548,1360,0.2,-0.0014391656884981785,0.067578125,66.9358901977539,104.93573383837938,0.0003,-0.7677283046767116,0.7011427879333496
689,30720,-559.4274081509434,44,577.8679245283018,15,0.0071300967,1370,0.2,0.001302273088367656,0.06650390625,34.3314208984375,44.99637880921364,0.0003,-0.8350653324276209,0.831180065870285
662,32768,-566.1967981636362,49,592.9272727272727,16,0.005674254,1380,0.2,-0.0012467821477912366,0.077587890625,12.728833198547363,54.73758648484945,0.0003,-0.8386251337826252,0.6230199038982391
668,34816,-564.5413702711865,52,587.4067796610169,17,0.0023630466,1390,0.2,-0.00013607241271529347,0.00400390625,130.58502197265625,111.41210549026728,0.0003,-0.8076871130615473,0.45441383123397827
662,36864,-564.4467869344261,55,593.7704918032787,18,0.008157078,1400,0.2,-0.004888593473151559,0.11259765625,3.3697783946990967,34.12547927498817,0.0003,-0.8929039089009165,0.7524761855602264
665,38912,-580.535507578125,58,607.40625,19,0.0035759523,1410,0.2,-9.543153428239747e-05,0.056787109375,2.980363607406616,141.9189436033368,0.0003,-0.852922853641212,0.2601306438446045
669,40960,-579.4742527910447,61,607.5820895522388,20,0.008590007,1420,0.2,-0.0014952305806218646,0.08359375,11.048154830932617,23.817499707639218,0.0003,-0.8752632882446051,0.8507649749517441
678,43008,-565.7748420684931,63,587.5068493150685,21,0.0023929088,1430,0.2,-0.0010203906316746726,0.019775390625,4.8497843742370605,77.61106635481119,0.0003,-0.7827113585546612,0.6135979294776917
683,45056,-555.9230783333333,65,575.7948717948718,22,0.005227152,1440,0.2,-0.0024880886798200664,0.063916015625,4.453853130340576,30.24895000606775,0.0003,-0.8579901125282049,0.8835494145751
681,47104,-558.4674495925926,69,577.8395061728395,23,0.0051231952,1450,0.2,-0.0030727941571967675,0.07392578125,17.703420639038086,47.936543428897856,0.0003,-0.877111399360001,0.7992508113384247
