time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/n_updates,train/value_loss,train/learning_rate,train/explained_variance,train/clip_range,train/approx_kl,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction
90112,936,96,-81.36148697,44,515.36,430,80.7493650227785,0.0003,0.6834844946861267,0.2,0.004073592,9.24466609954834,-0.002755552122107474,-0.9218183856457471,0.024462890625
92160,919,100,-78.91863751000001,45,531.66,440,77.63952875137329,0.0003,0.6969682276248932,0.2,0.008075493,32.61379623413086,-0.005726203219819581,-0.8872294830158353,0.056982421875
94208,910,103,-77.16237171,46,539.55,450,38.97995378375053,0.0003,0.7856406271457672,0.2,0.0071781226,5.037502765655518,-0.006464352634793613,-0.9197277341037988,0.088720703125
96256,905,106,-70.22311067,47,559.95,460,36.979406568035486,0.0003,0.8518174737691879,0.2,0.0066743856,3.0648317337036133,-0.006805388904467691,-0.9104708010330796,0.081298828125
98304,900,109,-69.68820224,48,573.82,470,140.9389179766178,0.0003,0.8072254806756973,0.2,0.013575719,19.461267471313477,-0.004962113823421532,-0.7554723970592022,0.03857421875
100352,894,112,-62.53504683,49,587.98,480,52.938101115077735,0.0003,0.694295346736908,0.2,0.004663661,99.38300323486328,-0.0037174538905674127,-0.9119629638269544,0.072802734375
102400,884,115,-60.39011681,50,598.79,490,144.36009196788072,0.0003,-0.009080648422241211,0.2,0.0061806366,274.3940734863281,-0.004660294229688588,-0.9885032799094915,0.034912109375
104448,874,119,-54.75291104000001,51,614.66,500,112.72993632405996,0.0003,0.3658064007759094,0.2,0.010821458,142.49183654785156,-0.004528275912889512,-0.9853614306077361,0.090673828125
106496,868,122,-51.842680290000004,52,625.1,510,97.5939781576395,0.0003,0.3901931047439575,0.2,0.0058049248,30.76923179626465,-0.0016061132846516557,-0.9074392290785909,0.01513671875
108544,863,125,-43.90564138,53,636.16,520,84.91714283823967,0.0003,0.44866323471069336,0.2,0.0092216795,27.846920013427734,-0.005042435077484697,-0.8629920365288853,0.06884765625
110592,860,128,-34.139175030000004,54,652.8,530,110.33064834624528,0.0003,0.13469922542572021,0.2,0.0037307278,10.993758201599121,-0.0019157050988724222,-0.8732971576973796,0.02783203125
112640,857,131,-30.065684460000003,55,661.54,540,108.97830763608218,0.0003,0.4313080310821533,0.2,0.008681654,17.841882705688477,-0.003179583017481491,-0.8751612773165107,0.053662109375
114688,859,133,-23.419027619999998,56,667.67,550,204.4140452876687,0.0003,0.332830011844635,0.2,0.0030133915,22.242338180541992,-0.0035130273601680527,-0.8341765441000462,0.0306640625
116736,858,136,-13.019623779999996,57,675.52,560,195.1025287479162,0.0003,0.44866740703582764,0.2,0.003196287,14.785455703735352,-0.002637636362123885,-0.8332521915435791,0.042236328125
118784,855,138,-6.822977659999999,58,690.04,570,104.51287531852722,0.0003,0.4817490577697754,0.2,0.005509137,27.959854125976562,-0.004400112017174251,-0.8451992092654109,0.047802734375
120832,856,141,-3.0303595199999993,59,696.37,580,219.17411647439002,0.0003,0.2807750105857849,0.2,0.0016022747,55.94917678833008,-0.002376776839082595,-0.7055360715836286,0.0103515625
122880,853,143,1.76616874,60,710.26,590,53.72422040477395,0.0003,0.6509271264076233,0.2,0.006494068,14.497282028198242,-0.003869236175523838,-0.8186425723135471,0.06748046875
124928,851,146,11.347865340000004,61,717.34,600,223.93849028348922,0.0003,0.33032506704330444,0.2,0.003778527,54.727760314941406,-0.002155420275812503,-0.9563399638980628,0.04140625
126976,849,149,14.930743569999997,62,718.1,610,97.61803193688392,0.0003,0.5770174562931061,0.2,0.0042633396,16.318241119384766,-0.0035123404712066987,-0.838207939080894,0.063818359375
129024,848,152,24.09392802,63,721.95,620,82.43625311106443,0.0003,0.6033518016338348,0.2,0.007146525,8.10289192199707,-0.0032689336796465794,-0.8537913516163826,0.0671875
131072,847,154,29.594499859999996,64,712.62,630,82.44565483629704,0.0003,0.6373000144958496,0.2,0.0040409425,10.297390937805176,-0.0027310639816278126,-0.9027261674404145,0.043115234375
133120,848,156,32.18732759,65,694.16,640,189.1569950580597,0.0003,0.5051111578941345,0.2,0.0052716425,40.82978820800781,-0.003535860106421751,-0.8900566838681698,0.075634765625
135168,850,158,33.04249809,66,675.69,650,300.6963748037815,0.0003,0.3521444797515869,0.2,0.004962926,37.300559997558594,-0.004749109254044015,-0.837085198238492,0.048291015625
137216,851,161,38.21646338,67,658.03,660,345.7720970213413,0.0003,0.25136834383010864,0.2,0.0029097344,34.353450775146484,-0.004318450306163868,-0.8357494618743658,0.01162109375
139264,851,163,43.11824592999999,68,634.43,670,101.07823875397443,0.0003,0.5647942423820496,0.2,0.0035300713,8.85421371459961,-0.003549480635774671,-0.777982022985816,0.037451171875
141312,852,165,43.174222,69,610.04,680,187.37558090388774,0.0003,0.5657411217689514,0.2,0.006990738,17.726699829101562,-0.005511991089588264,-0.8596395261585712,0.065576171875
143360,854,167,43.446149139999996,70,596.11,690,246.3465011268854,0.0003,0.3808872699737549,0.2,0.004689177,60.06856155395508,-0.0030056551593588667,-0.8404188502579928,0.037255859375
145408,855,169,42.88081181999999,71,583.47,700,318.037820905447,0.0003,0.21628785133361816,0.2,0.005358708,28.151611328125,-0.003977117931935936,-0.8823982490226626,0.02685546875
147456,857,172,43.01031430000001,72,558.12,710,228.6445896744728,0.0003,0.4138878583908081,0.2,0.004563115,24.153261184692383,-0.001584105406072922,-0.9040882380679249,0.010791015625
149504,857,174,40.056125349999995,73,539.96,720,230.44360628724098,0.0003,0.5766926109790802,0.2,0.007165839,111.70388793945312,-0.00231183758151019,-0.796645712479949,0.045068359375
151552,857,176,39.729518819999996,74,520.96,730,179.50001235604287,0.0003,0.6971054673194885,0.2,0.0057333787,38.86345291137695,-0.002907402016717242,-0.8193755263462663,0.05126953125
153600,857,179,37.37014616,75,504.92,740,209.9469583183527,0.0003,0.6420608162879944,0.2,0.008139262,76.54363250732422,-0.005061530714920081,-0.851493003219366,0.06474609375
155648,856,181,36.97796725,76,489.49,750,168.0860035419464,0.0003,0.7569893002510071,0.2,0.0045647593,13.414036750793457,-0.0029298681984073482,-0.7903584230691194,0.05068359375
157696,857,183,33.810425439999996,77,484.93,760,153.83773075044155,0.0003,0.6237371563911438,0.2,0.0034860866,20.21828269958496,-0.002809230207276414,-0.7972024790942669,0.048974609375
159744,857,186,31.607753099999996,78,483.11,770,196.73060783147812,0.0003,0.6545529663562775,0.2,0.0028691872,15.839645385742188,-0.001525408351153601,-0.7921471567824483,0.0419921875
161792,857,188,33.792068109999995,79,485.52,780,157.1748216062784,0.0003,0.6760866641998291,0.2,0.0053717103,44.04520034790039,-0.0027514132700162007,-0.8277564819902181,0.033251953125
163840,858,190,34.27515142,80,482.72,790,138.9778210669756,0.0003,0.438326358795166,0.2,0.004742368,36.68754577636719,-0.00298985049885232,-0.8116449404507875,0.08779296875
165888,858,193,31.314626630000003,81,475.24,800,155.39930134415627,0.0003,0.7059653103351593,0.2,0.0040014144,18.722089767456055,-0.0036446945243369553,-0.8006867356598377,0.043603515625
167936,859,195,31.097219820000007,82,468.85,810,211.11194151043892,0.0003,0.6014524698257446,0.2,0.0033982298,70.6698226928711,-0.0035256998642580585,-0.7879584677517414,0.0310546875
169984,859,197,31.676273370000004,83,461.59,820,151.4953093469143,0.0003,0.7490368485450745,0.2,0.0057215365,14.494233131408691,-0.003256008809694322,-0.7645363355055451,0.04111328125
172032,860,199,29.149781589999996,84,454.21,830,170.313721165061,0.0003,0.5603260397911072,0.2,0.005092702,236.47943115234375,-0.005333373411849607,-0.8324189029633999,0.078955078125
174080,861,202,29.141089500000003,85,451.7,840,186.9924209833145,0.0003,0.6765405833721161,0.2,0.003332002,23.75486183166504,-0.0004230328413541429,-0.7867351839318871,0.024658203125
176128,861,204,30.292860760000003,86,449.95,850,120.83980729579926,0.0003,0.6858384013175964,0.2,0.005459517,18.537076950073242,-0.0022766269008570816,-0.751964594423771,0.041552734375
