time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/value_loss,train/clip_fraction
67,208,-1.9961888099999985,137216,880.38,657,-0.9622160859405995,1.7967212200164795,660,0.6231032013893127,0.2,-0.002177057470544241,0.0049808216,0.0003,36.9927415791899,0.07099609375
68,212,0.5186421800000016,139264,887.61,655,-0.8854241551831364,4.24425745010376,670,0.7497661113739014,0.2,-0.002925184658670332,0.009554394,0.0003,47.32575415074825,0.103857421875
69,215,1.4366181200000012,141312,891.83,655,-0.8038917841389775,0.9401763677597046,680,0.8200866729021072,0.2,-0.007234055892331526,0.0129444795,0.0003,48.84889942072332,0.187841796875
70,219,0.1293705900000005,143360,891.83,652,-0.892581257969141,38.6204948425293,690,0.5659572184085846,0.2,-0.003509428249526536,0.0114436485,0.0003,79.19891996905207,0.095849609375
71,224,1.9406544400000008,145408,898.52,648,-0.8061822095885873,6.024356842041016,700,0.7920643240213394,0.2,-0.002984300934622297,0.0028730088,0.0003,60.37707411497831,0.0201171875
72,228,6.03104237,147456,911.79,645,-0.8543299961835146,0.8104799389839172,710,0.8482618480920792,0.2,-0.002025326200237032,0.007596166,0.0003,30.50825834963471,0.101123046875
73,231,10.06484831,149504,916.62,644,-0.8112164899706841,2.4914212226867676,720,0.6657446920871735,0.2,-0.0035197070261347107,0.006672996,0.0003,79.91075310893356,0.0486328125
74,235,12.847878009999997,151552,910.21,644,-0.7688563898205757,12.565522193908691,730,0.5030821561813354,0.2,-0.009162614223896526,0.024700517,0.0003,131.8688053354621,0.034814453125
75,238,15.56555457,153600,913.99,644,-0.796962919831276,25.389041900634766,740,0.5405499339103699,0.2,-0.0019955712130467875,0.0033513838,0.0003,128.95008288174867,0.0173828125
76,242,15.11693908,155648,912.94,642,-0.7986379960551858,4.854506492614746,750,0.4612428545951843,0.2,-0.002139521234494168,0.006146297,0.0003,53.42631922848523,0.0671875
77,245,17.74496098,157696,903.76,642,-0.8613244101405144,37.629905700683594,760,0.6338142454624176,0.2,-0.0038828595956147184,0.014545079,0.0003,64.9766293194145,0.14521484375
78,248,14.691827960000001,159744,902.15,642,-0.8193737773224712,43.43292999267578,770,0.5963440537452698,0.2,-0.006077271648246096,0.005133027,0.0003,165.74274798333644,0.05078125
79,252,17.988792460000003,161792,895.61,640,-0.8206803884357214,64.28729248046875,780,0.3632039427757263,0.2,-0.0051688022667804034,0.005318526,0.0003,128.93109318166972,0.039501953125
80,256,21.43731527,163840,890.0,638,-0.8144390393048525,5.167103290557861,790,0.449141263961792,0.2,-0.002819982143410016,0.004675715,0.0003,114.91304467245936,0.066357421875
81,260,22.613385830000002,165888,891.51,636,-0.7295149462297559,104.3141098022461,800,0.48879390954971313,0.2,-0.0028922576108016073,0.0034669922,0.0003,157.80415026545523,0.0359375
82,264,25.59538148,167936,890.08,634,-0.8171768495813012,10.268102645874023,810,0.6850763261318207,0.2,-0.003644269459255156,0.005767609,0.0003,44.66051796376705,0.0634765625
83,267,24.315623890000005,169984,888.59,634,-0.8420846192166209,13.110586166381836,820,0.6575312316417694,0.2,-0.0002075517135381233,0.008534426,0.0003,85.87075188905001,0.05966796875
84,271,27.394162210000005,172032,892.77,633,-0.8251074992120266,7.373761177062988,830,0.7883867770433426,0.2,-0.001213619301415747,0.005149454,0.0003,67.43036274909973,0.05732421875
85,275,22.366530609999998,174080,896.08,631,-0.8132763558998704,1.7393362522125244,840,0.6024023294448853,0.2,-0.0025702277009258976,0.008923143,0.0003,78.00093354322016,0.0849609375
86,279,22.703147889999997,176128,896.08,630,-0.8764801336452365,3.0806167125701904,850,0.7574369162321091,0.2,0.00018413127399981023,0.0054527763,0.0003,60.46349958255887,0.093505859375
87,284,22.409708279999997,178176,898.78,626,-0.8330467507243157,159.6127471923828,860,0.8471764922142029,0.2,-0.0015901334641966968,0.003994956,0.0003,26.05138116069138,0.060888671875
88,288,23.80687065,180224,900.69,624,-0.7979944735765457,20.255765914916992,870,0.7349884212017059,0.2,-0.002272184147295775,0.006748364,0.0003,58.51059107258916,0.04482421875
89,292,24.929738500000006,182272,902.59,622,-0.779409053735435,3.6002659797668457,880,0.7305653691291809,0.2,-0.003669571440696018,0.004342663,0.0003,64.96274216026067,0.030126953125
90,295,24.39927034,184320,905.58,623,-0.8930678801611066,4.2312846183776855,890,0.7351646423339844,0.2,-0.006773095016978914,0.008394078,0.0003,64.20670645609498,0.099072265625
91,299,23.78157257,186368,911.24,623,-0.814477207325399,1.5781391859054565,900,0.5928750336170197,0.2,-0.00901906336657703,0.017059162,0.0003,22.040040924400092,0.152490234375
92,302,23.79204908,188416,908.37,622,-0.7851921929046511,14.699553489685059,910,0.2618357539176941,0.2,-0.0020379914632940197,0.0022308973,0.0003,71.79085611104965,0.013330078125
93,307,23.73405423,190464,910.44,620,-0.745352129265666,14.616493225097656,920,0.617277979850769,0.2,-0.0014155099503113887,0.0033113463,0.0003,93.21134293079376,0.039013671875
94,310,23.578526619999998,192512,910.44,619,-0.7518198557198048,5.695145130157471,930,0.7065422236919403,0.2,-0.0039158075822342655,0.0071818116,0.0003,45.06614771187306,0.054248046875
95,314,23.4561876,194560,910.44,619,-0.8203309245407582,3.188356637954712,940,0.7252144515514374,0.2,-0.007941249800933293,0.0065080086,0.0003,33.46821749731898,0.06083984375
96,317,24.630587029999997,196608,909.01,618,-0.7677356973290443,3.2918167114257812,950,0.7518674433231354,0.2,-0.0031062517082318664,0.00514483,0.0003,31.998690237104892,0.047119140625
97,321,24.13535741,198656,908.07,618,-0.6837633999064565,16.770944595336914,960,0.7256085574626923,0.2,-0.005902434875315521,0.0055782236,0.0003,93.78905144929885,0.06279296875
98,325,26.292568470000003,200704,906.85,617,-0.7584435625001789,67.18733978271484,970,0.5351797044277191,0.2,-0.00405107177211903,0.009096868,0.0003,78.97270620241761,0.0384765625
99,328,27.024090790000006,202752,900.59,617,-0.6927006598562002,3.616807699203491,980,0.6071026921272278,0.2,-0.002580575156753184,0.004329944,0.0003,109.29564542025328,0.031884765625
100,331,26.873334380000003,204800,898.57,617,-0.8154172690585255,15.181648254394531,990,0.5383488833904266,0.2,-0.0045196461600426115,0.006343453,0.0003,92.95772143304347,0.0529296875
101,334,26.490321469999998,206848,897.6,618,-0.7242141302675009,45.153995513916016,1000,0.6734340190887451,0.2,-0.002600791188160656,0.013489127,0.0003,63.00056455694139,0.114501953125
102,337,32.361026020000004,208896,884.84,619,-0.666014544852078,15.837913513183594,1010,0.6549267172813416,0.2,-0.0037251593974360732,0.0059026903,0.0003,78.97020848691463,0.073828125
103,340,33.09573967,210944,876.14,619,-0.6863184606656432,23.85922622680664,1020,0.4712756276130676,0.2,-0.005469221207022201,0.010649928,0.0003,153.61711418628693,0.078076171875
104,344,36.38658197000001,212992,868.21,618,-0.5988874891772866,25.608680725097656,1030,0.3316657543182373,0.2,-0.0011747253945941338,0.0040055853,0.0003,79.07466366887093,0.029833984375
105,346,37.14535522,215040,846.77,619,-0.7159079169854522,3.5616605281829834,1040,0.48392415046691895,0.2,-0.003606638363271486,0.0044013034,0.0003,74.28726087510586,0.054736328125
106,349,41.835793100000004,217088,827.52,620,-0.7006531057879328,24.064577102661133,1050,0.3448641300201416,0.2,-0.0019498278556056904,0.0042532096,0.0003,175.63129379078745,0.075244140625
107,352,43.536416370000005,219136,819.6,620,-0.7198053417727351,18.706106185913086,1060,0.5400727391242981,0.2,-0.0022645076645858354,0.0043587675,0.0003,118.80883628576994,0.057861328125
108,356,47.59155489999999,221184,814.51,621,-0.7325281353667379,12.22887134552002,1070,0.6683548390865326,0.2,-0.0026582729442452546,0.008764658,0.0003,89.72345705330372,0.07099609375
109,358,48.93179627000001,223232,805.02,622,-0.6611503135412932,9.179494857788086,1080,0.36635053157806396,0.2,-0.003090425931441132,0.003517544,0.0003,92.69704435355962,0.060009765625
110,362,51.703176809999995,225280,795.63,621,-0.7055767253041267,32.88160705566406,1090,0.5678105354309082,0.2,-0.00025824769691098484,0.004616835,0.0003,75.03322513252496,0.037109375
111,365,53.09206628999999,227328,788.73,622,-0.7111827356740832,34.40480422973633,1100,0.6142936944961548,0.2,-0.002676775415602606,0.0048649665,0.0003,84.9770297512412,0.05966796875
112,367,49.825527310000005,229376,782.38,623,-0.6720674708485603,20.697132110595703,1110,0.556729644536972,0.2,-0.0034944167142384685,0.0068660164,0.0003,89.8380765631795,0.0447265625
