time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/entropy_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/value_loss,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss
798,139264,682.67,32.82820047,68,174,-0.8617807446047664,0.0033729991,0.035546875,670,166.23709767982365,0.0003,0.457128643989563,0.2,-0.0033329466183204203,34.923919677734375
795,141312,677.62,34.3213596,69,177,-0.8667261520400643,0.0048761633,0.069189453125,680,133.74754245877267,0.0003,0.5901356935501099,0.2,-0.002602376118375105,31.758115768432617
792,143360,671.19,36.666636780000005,70,180,-0.80855701752007,0.006381904,0.051513671875,690,83.09616793990135,0.0003,0.665828675031662,0.2,-0.003919877626321977,6.211986064910889
792,145408,658.16,39.522862929999995,71,183,-0.8776838660240174,0.0023046988,0.01416015625,700,92.91391490250825,0.0003,0.6009670794010162,0.2,-0.0013284017997648335,16.76569366455078
789,147456,652.39,42.90417829,72,186,-0.8624897724017501,0.0038821318,0.04169921875,710,177.51641250252723,0.0003,0.4254947304725647,0.2,-0.0014430465329496656,20.253976821899414
787,149504,646.55,45.32990898999999,73,189,-0.9175122682005167,0.008747416,0.05703125,720,107.32785398960114,0.0003,0.5405927300453186,0.2,-0.0030330855845022596,231.37847900390625
787,151552,640.24,45.71293231,74,192,-0.7022018574178219,0.0035125543,0.0298828125,730,138.25859299600125,0.0003,0.46065253019332886,0.2,-0.0029810910935339054,57.64029312133789
788,153600,639.04,40.96438934000002,75,194,-0.7965360719710588,0.00623996,0.050341796875,740,105.3445789307356,0.0003,0.6269308030605316,0.2,-0.003327000500576105,27.863725662231445
788,155648,641.02,40.886474099999994,76,197,-0.7471359884366393,0.004436491,0.045166015625,750,256.7921546280384,0.0003,0.38168513774871826,0.2,-0.0019053005271416623,127.27960968017578
785,157696,646.88,41.96107572,77,200,-0.8163299936801195,0.005693133,0.060888671875,760,98.80032464116812,0.0003,0.7294690608978271,0.2,-0.0017190457670949399,34.523948669433594
786,159744,645.29,44.23169563,78,203,-0.8996322503313422,0.0033958678,0.062158203125,770,147.03920102715492,0.0003,0.6405642628669739,0.2,-0.004033474238349299,26.7850284576416
784,161792,648.03,41.86239739,79,206,-0.7074151890352368,0.009372704,0.071435546875,780,207.08676619231701,0.0003,0.5343836843967438,0.2,-0.005302839068463072,8.829216957092285
786,163840,652.53,45.66104109,80,208,-0.8621538147330284,0.0060011973,0.052197265625,790,166.00309099256992,0.0003,0.5485125184059143,0.2,-0.0016394128881074721,52.16657257080078
786,165888,657.52,47.729379419999994,81,210,-0.7809761539101601,0.0066982056,0.112890625,800,162.64060404598712,0.0003,0.5838626325130463,0.2,-0.0031426960340468213,39.51451110839844
786,167936,656.51,44.14362744,82,213,-0.7724056128412485,0.009375672,0.08154296875,810,170.81616356372834,0.0003,0.3911955952644348,0.2,-0.00586541450866207,9.114598274230957
782,169984,662.0,45.32831664,83,217,-0.8074882041662932,0.0057730256,0.08251953125,820,148.89299798607826,0.0003,0.6432434916496277,0.2,-0.0031788325613888446,230.69564819335938
780,172032,667.26,45.22772151,84,220,-0.888613628409803,0.0064530754,0.065966796875,830,80.81707907617093,0.0003,0.5682434439659119,0.2,-0.0025667055022495335,19.5097599029541
779,174080,674.19,47.460908859999996,85,223,-0.8815695405006408,0.003017197,0.019970703125,840,130.7789693892002,0.0003,0.6276929676532745,0.2,-0.0006651118143054191,23.397558212280273
775,176128,684.6,45.75460699999999,86,227,-0.9166619198396802,0.0044106673,0.0546875,850,68.44075476527215,0.0003,0.7469870150089264,0.2,-0.0012833444197895005,12.36577320098877
775,178176,686.51,42.83091228,87,229,-0.9175316739827395,0.0047999592,0.061865234375,860,103.39100063741208,0.0003,0.697010338306427,0.2,-0.0038280473621853162,32.923797607421875
773,180224,696.25,43.99890056,88,233,-0.8918529873713851,0.005972663,0.07001953125,870,161.7432428792119,0.0003,0.45825719833374023,0.2,-0.0012025203908706318,202.62326049804688
769,182272,700.45,43.499415420000005,89,236,-0.792855741456151,0.0034606378,0.036376953125,880,83.04646318405867,0.0003,0.7302268743515015,0.2,-0.001051180891226977,140.67465209960938
770,184320,711.17,44.166638240000005,90,239,-0.71874874625355,0.007832421,0.043310546875,890,95.852756690979,0.0003,0.5865689516067505,0.2,-0.00625417844785261,16.86113166809082
770,186368,715.98,43.38185464,91,241,-0.7261701604351402,0.0034382152,0.032275390625,900,113.176786506176,0.0003,0.662869393825531,0.2,-0.0018091938596626277,12.795653343200684
769,188416,712.76,46.57817431999999,92,244,-0.8619259605184197,0.0068464754,0.033984375,910,119.3140096053481,0.0003,0.5716476738452911,0.2,-0.002381398808756785,25.622732162475586
767,190464,713.31,52.40956284000001,93,248,-0.7939598416909576,0.018071543,0.07939453125,920,96.6473261065781,0.0003,0.5242660045623779,0.2,-0.0019377255608560517,9.934301376342773
767,192512,717.04,48.15849085000001,94,250,-0.815454350784421,0.007905504,0.05244140625,930,88.64898202121257,0.0003,0.6734926104545593,0.2,-0.0027470426612126175,212.82264709472656
766,194560,715.02,48.93958026,95,253,-0.7145291559398175,0.005898664,0.0642578125,940,137.21657622158529,0.0003,0.6370209157466888,0.2,-0.003437333337205928,30.7404727935791
765,196608,719.5,51.446006900000015,96,256,-0.8967035420238971,0.007972374,0.07626953125,950,111.36606491059065,0.0003,0.4481293559074402,0.2,-0.004274946907389676,19.346885681152344
766,198656,714.86,52.71376877000001,97,259,-0.7684761807322502,0.0046819476,0.06357421875,960,82.71574341356754,0.0003,0.6688275337219238,0.2,-0.0012394009841955266,7.1563920974731445
765,200704,706.4,54.950942330000004,98,262,-0.8915023006498813,0.010848183,0.1435546875,970,189.0873715043068,0.0003,0.563151627779007,0.2,-0.007121617475058883,49.63271713256836
765,202752,701.35,54.31717240999999,99,265,-0.7402939228340983,0.004532433,0.02998046875,980,93.26930388957263,0.0003,0.6024864017963409,0.2,-0.00048513213987462224,5.87336540222168
766,204800,697.3,56.434343610000006,100,267,-0.8275622837245464,0.005467614,0.063037109375,990,102.80677224248647,0.0003,0.617814302444458,0.2,-0.0036119037904427387,86.35089111328125
766,206848,693.41,54.06477494999999,101,269,-0.8067869734019041,0.005920174,0.0732421875,1000,134.50560704767705,0.0003,0.6038647592067719,0.2,-0.0019844439506414347,43.39792251586914
766,208896,686.29,52.018970859999996,102,272,-0.7687259707599878,0.003819494,0.0220703125,1010,245.76843816637992,0.0003,0.4502418637275696,0.2,-0.0035889647744625107,49.5648193359375
766,210944,680.53,49.73519363000001,103,275,-0.8472546299919486,0.01273869,0.0978515625,1020,153.0785356938839,0.0003,0.6164997816085815,0.2,-0.0027241599826083986,48.65092849731445
766,212992,681.28,52.404796830000016,104,277,-0.7313858097419143,0.00488041,0.07333984375,1030,131.4272035241127,0.0003,0.6053815484046936,0.2,-0.003779617887266795,233.14173889160156
767,215040,682.35,50.79771958000001,105,280,-0.8151584398001432,0.0046637356,0.064697265625,1040,95.37899540737271,0.0003,0.5801180899143219,0.2,-0.0015667157123971265,17.374847412109375
766,217088,683.81,46.86760376,106,283,-0.7597408348694443,0.011089212,0.116552734375,1050,91.96084999740124,0.0003,0.5447371006011963,0.2,-0.004701038575149141,7.560099124908447
766,219136,683.14,47.17116533999999,107,285,-0.7603537807241082,0.00583733,0.050927734375,1060,86.89021258205176,0.0003,0.6953493356704712,0.2,-0.0012429590191459284,9.573430061340332
766,221184,683.7,46.91741748999998,108,288,-0.6419979734346271,0.0048857224,0.02197265625,1070,152.84507636427878,0.0003,0.5973458588123322,0.2,-0.0010777550931379664,57.034523010253906
767,223232,685.46,43.551437050000004,109,290,-0.8086946960538626,0.009909198,0.068505859375,1080,87.77385095357894,0.0003,0.5622035562992096,0.2,-0.0024131737274728947,13.782378196716309
765,225280,689.42,44.658733639999994,110,294,-0.8115264067426324,0.006177036,0.04501953125,1090,284.07836954146626,0.0003,0.33995258808135986,0.2,-0.0028180685294501018,4.730243682861328
764,227328,688.33,41.87130803,111,297,-0.7322974627837538,0.005443539,0.037353515625,1100,148.53739344477654,0.0003,0.5394746363162994,0.2,-0.001891155536941369,22.40822410583496
765,229376,688.49,36.52561704,112,299,-0.787537639029324,0.0054675564,0.081201171875,1110,131.09954711943865,0.0003,0.5835804045200348,0.2,-0.00032536798062210437,15.743260383605957
764,231424,687.92,39.879408,113,302,-0.7733221711590886,0.005220351,0.0486328125,1120,170.20456426888705,0.0003,0.6179696917533875,0.2,-0.005008496433583786,60.06655502319336
764,233472,686.66,43.66776521,114,305,-0.7988457918167114,0.004927467,0.026904296875,1130,152.60145283043386,0.0003,0.5495059192180634,0.2,-0.0006108207642682828,41.805423736572266
765,235520,683.77,42.63124663000001,115,307,-0.6988822542130947,0.0024317096,0.043896484375,1140,115.84883868694305,0.0003,0.3623437285423279,0.2,-0.000675393359415466,51.96842956542969
765,237568,674.78,45.17872243000001,116,310,-0.6872792622074485,0.00441946,0.053955078125,1150,163.48038218915462,0.0003,0.570082426071167,0.2,-0.004236351318468223,111.38381958007812
765,239616,674.95,43.69685671,117,313,-0.7347151650115847,0.0047030053,0.0755859375,1160,176.8108642935753,0.0003,0.48816239833831787,0.2,-0.0022813616575149353,13.516529083251953
765,241664,659.86,40.80945104,118,315,-0.6195448727346957,0.0021364791,0.0466796875,1170,140.19684063196183,0.0003,0.6650011241436005,0.2,-0.000529885083597037,72.22148132324219
