time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/entropy_loss,train/n_updates,train/clip_fraction,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/loss
83,234,668.02,723,169984,-62.88387642000001,0.0003,-0.898132736608386,820,0.053173828125,0.004901318,87.95338211357594,0.2,0.8483878672122955,-0.0003302953933598474,12.202052116394043
84,237,653.75,724,172032,-65.18788131,0.0003,-0.9313794581219554,830,0.08251953125,0.006705886,88.46784551739692,0.2,0.8221264630556107,-0.002871415510890074,86.9695053100586
85,241,649.31,722,174080,-64.74984309,0.0003,-0.9207042129710317,840,0.077197265625,0.005116443,68.86054800748825,0.2,0.8350102007389069,-0.00121007935522357,53.66151809692383
86,244,635.55,721,176128,-66.92656241,0.0003,-0.8662272309884429,850,0.095703125,0.0070800697,33.86843947768212,0.2,0.8973997384309769,-0.0038570555763726587,5.478991508483887
87,247,639.92,718,178176,-63.332436699999995,0.0003,-0.9388739053159952,860,0.056884765625,0.005950818,34.80577617436647,0.2,0.9054467156529427,-0.0007431427860865369,23.827068328857422
88,250,624.01,719,180224,-67.68027745,0.0003,-0.8719382883980871,870,0.064794921875,0.0044938917,19.94888464063406,0.2,0.8770188540220261,-0.0007310454842809122,3.2212181091308594
89,253,615.03,718,182272,-70.44323125999999,0.0003,-0.8842968694865704,880,0.0509765625,0.005945501,50.399514731764796,0.2,0.8242070525884628,-0.002093424460326787,23.699005126953125
90,255,606.61,720,184320,-69.83327938000001,0.0003,-0.8873659893870354,890,0.057470703125,0.0053485837,39.67234078794718,0.2,0.9074074029922485,-0.0014831923392193858,11.764471054077148
91,258,606.47,719,186368,-65.50693867,0.0003,-0.8648252293467522,900,0.033154296875,0.0035475292,57.86011101454496,0.2,0.8895854949951172,-0.00019806127675110475,10.354680061340332
92,261,586.44,720,188416,-70.28654233000002,0.0003,-0.927388702891767,910,0.065478515625,0.0066079246,33.03809057623148,0.2,0.8882679864764214,-0.000407322401588317,13.904016494750977
93,264,580.25,720,190464,-70.66284454,0.0003,-0.8905540771782399,920,0.06513671875,0.0071240747,81.58354271650315,0.2,0.8542959094047546,-0.004914864750389825,11.607670783996582
94,266,577.45,722,192512,-70.11503037,0.0003,-0.89481345359236,930,0.03046875,0.004011394,54.31539333760738,0.2,0.8922273218631744,-0.0015731205754491383,5.942225456237793
95,270,583.35,720,194560,-67.33179003000001,0.0003,-0.8559547027572989,940,0.058740234375,0.0044166064,58.16640482842922,0.2,0.8533599525690079,-0.002103982797416393,213.07289123535156
96,272,582.88,722,196608,-68.48382168999998,0.0003,-0.9206950848922133,950,0.104345703125,0.008645058,18.85269479006529,0.2,0.8566989153623581,-0.005318585928034736,6.026551723480225
97,274,561.44,722,198656,-72.63209508999999,0.0003,-0.9150963185355068,960,0.0630859375,0.0072600567,62.39411869645119,0.2,0.8453871011734009,-0.0037417420229758137,5.968215465545654
98,277,552.2,724,200704,-72.36812803,0.0003,-0.9279821526259184,970,0.048974609375,0.0035708505,66.04244887828827,0.2,0.8701636493206024,-0.0026329945314500945,25.772119522094727
99,279,554.35,724,202752,-71.19413005,0.0003,-0.8751582983881235,980,0.055810546875,0.00579147,57.932194866240025,0.2,0.8605473190546036,-0.001273276396386791,7.775356769561768
100,282,527.24,726,204800,-75.14090789,0.0003,-0.9491412920877338,990,0.0701171875,0.0053177574,33.4631053507328,0.2,0.8314841091632843,-0.002917985399835743,4.3978166580200195
101,285,520.39,724,206848,-74.99318953000001,0.0003,-0.9217686507850885,1000,0.021240234375,0.001592929,70.44995024502278,0.2,0.8174605965614319,3.380590715096332e-05,12.133675575256348
102,288,527.54,723,208896,-74.02773644,0.0003,-0.8527388203889131,1010,0.03955078125,0.004150713,23.356959976255894,0.2,0.9370685443282127,-0.0026744998365757057,5.665917873382568
103,291,533.84,723,210944,-72.21139176999999,0.0003,-0.9045893525704741,1020,0.049365234375,0.005506741,45.960269418358806,0.2,0.8347780704498291,-0.0011202572997717653,11.976553916931152
104,294,541.48,722,212992,-72.41843864,0.0003,-0.8744979789480567,1030,0.09482421875,0.011194129,32.253308419883254,0.2,0.8731769621372223,-0.004495262418640777,4.595278739929199
105,297,549.58,721,215040,-68.75839712000001,0.0003,-0.8971487198024988,1040,0.066259765625,0.005654253,31.272054366767406,0.2,0.8525985777378082,0.00038396663512685336,2.255359649658203
106,301,558.82,719,217088,-68.37821032,0.0003,-0.9093290472403168,1050,0.063671875,0.00436965,22.718951605260372,0.2,0.8663596659898758,-0.0024325353424501373,4.075209140777588
107,305,571.53,718,219136,-64.74425535,0.0003,-0.9249606028199195,1060,0.039697265625,0.0042723063,36.29494860321283,0.2,0.7292564213275909,-0.002813460591278272,5.534633159637451
108,308,582.9,717,221184,-62.85363985000001,0.0003,-0.8729727169498801,1070,0.044921875,0.0063025905,39.3917200088501,0.2,0.7948354482650757,-0.0008921960812585894,4.745177268981934
109,313,581.02,712,223232,-65.60464613,0.0003,-0.8464488100260497,1080,0.06025390625,0.009542191,38.084009896218774,0.2,0.9428012669086456,0.0005269321882224176,2.688642740249634
110,316,592.16,710,225280,-61.91014664,0.0003,-0.8540857894346118,1090,0.02548828125,0.0033238474,31.930578380078078,0.2,0.8516258001327515,-0.002214685818034923,6.236649990081787
111,320,597.58,709,227328,-60.154062270000026,0.0003,-0.8827053140848875,1100,0.065380859375,0.0059884847,31.102665412425996,0.2,0.8264979869127274,-0.0020588201979990116,4.0919108390808105
112,323,611.35,710,229376,-58.60745751,0.0003,-0.8789129940792918,1110,0.030126953125,0.003810305,36.68726410418749,0.2,0.8683785647153854,-0.000584970409545349,13.211997032165527
113,325,618.41,710,231424,-59.02858157,0.0003,-0.8529626207426191,1120,0.020263671875,0.004581805,85.53405040800571,0.2,0.7550725489854813,-0.001427669708209578,38.73719787597656
114,328,634.58,710,233472,-56.18973485000001,0.0003,-0.9004333982244134,1130,0.089599609375,0.014131357,32.494703917205335,0.2,0.5777783691883087,-0.0030066230574448127,4.4486870765686035
