time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/value_loss,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/learning_rate
183,129024,63,702,925.06,-15.841327339999998,2.569702386856079,20.43444592282176,620,0.0054271608,-0.0009099857139517553,-0.8213421234861016,0.5616850852966309,0.2,0.078271484375,0.0003
187,131072,64,697,938.78,-11.604551839999997,3.1349682807922363,16.78807519748807,630,0.0039552804,-0.0016880789800779894,-0.8476225804537535,0.7187537252902985,0.2,0.076025390625,0.0003
191,133120,65,695,944.65,-13.266386889999994,2.3835487365722656,19.230502168089153,640,0.0076828557,-0.005968269831646467,-0.7872654013335705,0.7378630936145782,0.2,0.084765625,0.0003
195,135168,66,692,944.65,-14.113372859999995,191.80691528320312,53.52798736616969,650,0.005777494,-0.002394780323083978,-0.8111103389412164,0.5504870116710663,0.2,0.061962890625,0.0003
198,137216,67,692,944.65,-13.85343135,92.94755554199219,20.455113906785847,660,0.006958201,-0.00351198830321664,-0.8350300488993525,0.6659558713436127,0.2,0.055126953125,0.0003
201,139264,68,692,950.63,-11.694285649999998,1.6924347877502441,22.61110637411475,670,0.0052617695,-0.0024787490838207304,-0.7719958258792758,0.7861395180225372,0.2,0.071826171875,0.0003
204,141312,69,691,958.36,-10.972994499999997,1.2278681993484497,20.161467246338724,680,0.008912048,-0.0013106748825521207,-0.7254436686635017,0.8392205387353897,0.2,0.06875,0.0003
207,143360,70,691,964.71,-10.00524843,1.2504627704620361,27.110889283567666,690,0.004739682,-0.000928230129648,-0.769966289959848,0.7532804906368256,0.2,0.038916015625,0.0003
210,145408,71,689,969.88,-9.573830950000001,2.8597769737243652,20.94319770000875,700,0.0053521944,-0.0027000604903150817,-0.7950523359701037,0.7669841647148132,0.2,0.053759765625,0.0003
214,147456,72,687,976.06,-7.266576330000003,1.4370836019515991,21.488978468999267,710,0.005408802,-0.0020602854157914406,-0.8003922669216991,0.6835080683231354,0.2,0.059814453125,0.0003
218,149504,73,685,981.35,-6.576479310000002,1.409165382385254,26.45228890553117,720,0.006064615,-0.004182560365006793,-0.7940721748396754,0.6236163973808289,0.2,0.0490234375,0.0003
222,151552,74,681,986.03,-6.572366880000003,130.25523376464844,15.344157429412007,730,0.0038738358,-0.0004846636518777814,-0.7334050491452218,0.8072342723608017,0.2,0.052978515625,0.0003
225,153600,75,679,991.32,-4.457597530000002,1.608021855354309,15.51128916963935,740,0.004124617,-0.0006715208306559362,-0.7817205887287855,0.6428451538085938,0.2,0.05546875,0.0003
229,155648,76,677,991.32,-4.690684710000002,0.6216703057289124,16.922356636449695,750,0.0046219034,-0.0006039802792656701,-0.7693217843770981,0.7044544816017151,0.2,0.05322265625,0.0003
233,157696,77,676,991.32,-4.381044190000002,100.01544189453125,15.178779957816005,760,0.0051036654,-0.0009639942189096473,-0.7968322770670057,0.6915956437587738,0.2,0.04873046875,0.0003
237,159744,78,673,991.32,-4.954632680000001,0.9160482883453369,14.689272268861533,770,0.004212275,-0.0009676406945800409,-0.7524232309311628,0.7485362589359283,0.2,0.04091796875,0.0003
241,161792,79,669,991.32,-4.77523357,0.882756769657135,25.232931008003654,780,0.005928618,-0.001888288187183207,-0.7357894143089652,0.74355548620224,0.2,0.098828125,0.0003
245,163840,80,667,991.32,-4.45459644,1.057673454284668,25.99126594122499,790,0.0045745815,-0.0023394072268274613,-0.7627565434202552,0.7357464134693146,0.2,0.07275390625,0.0003
248,165888,81,667,991.32,-4.91631625,0.5724157691001892,18.383587697893383,800,0.007937678,-0.0029627640229591633,-0.7584311014041305,0.8100461512804031,0.2,0.110693359375,0.0003
252,167936,82,666,992.37,-2.8843097800000006,0.9846378564834595,21.916759973205625,810,0.0056031044,-0.0031731430426589213,-0.7373496836051345,0.822126030921936,0.2,0.089990234375,0.0003
255,169984,83,666,992.92,-4.05119501,0.9904032945632935,23.789919399656355,820,0.004591364,-0.001072725075937342,-0.776984648220241,0.6861438751220703,0.2,0.049755859375,0.0003
258,172032,84,665,992.19,-4.33562116,23.364748001098633,52.21248378381133,830,0.0047089215,-0.001181581187847769,-0.7735155481845141,0.7311793267726898,0.2,0.03623046875,0.0003
261,174080,85,664,992.19,-4.78856222,1.4263975620269775,37.73057413734496,840,0.0052717184,-0.0027451832916995044,-0.781714765354991,0.7555943876504898,0.2,0.049169921875,0.0003
264,176128,86,665,992.19,-5.2802939900000005,52.512245178222656,17.72582151554525,850,0.005693652,-0.00030492728328681553,-0.7461008058860898,0.8336686939001083,0.2,0.056396484375,0.0003
267,178176,87,665,983.79,-6.7641517900000006,0.5921522378921509,19.15632741227746,860,0.007063696,-0.002626623479591217,-0.774995481595397,0.808497965335846,0.2,0.077734375,0.0003
270,180224,88,666,983.79,-5.84621833,42.20182800292969,77.84043294526637,870,0.0052696047,0.00023491162646678277,-0.7514001775532961,0.45358556509017944,0.2,0.052490234375,0.0003
274,182272,89,664,983.79,-6.19500846,0.4071941077709198,26.534746199287476,880,0.0064084996,-0.0038103173152194358,-0.7458917582407594,0.8320986479520798,0.2,0.075634765625,0.0003
277,184320,90,663,986.94,-4.594607,0.5708397030830383,17.54829420465976,890,0.0031654623,-0.00023003577007330023,-0.7255677599459887,0.8594939708709717,0.2,0.045556640625,0.0003
281,186368,91,661,986.94,-4.65097138,0.7343604564666748,12.256279981322587,900,0.00882171,-0.002429171476251213,-0.721531985886395,0.8148232996463776,0.2,0.066650390625,0.0003
285,188416,92,660,986.94,-5.00938214,0.8066497445106506,28.531932500563563,910,0.0036228888,-3.103097842540592e-05,-0.7357520863413811,0.6954857110977173,0.2,0.056640625,0.0003
288,190464,93,660,986.94,-4.58562858,175.8866424560547,25.935937247797845,920,0.0043561785,0.0002545777286286466,-0.7126007676124573,0.7375453114509583,0.2,0.050830078125,0.0003
292,192512,94,659,986.94,-4.973459580000001,0.24078595638275146,19.403687241114675,930,0.005961501,-0.0024313067697221413,-0.7240143451839686,0.836027666926384,0.2,0.067578125,0.0003
295,194560,95,658,986.06,-5.61609416,1.519977331161499,23.517287958599628,940,0.0053912923,-0.0014720110208145342,-0.7022556418552994,0.8471943885087967,0.2,0.073388671875,0.0003
298,196608,96,657,986.06,-6.27619078,0.5298125743865967,52.555329222977164,950,0.0026361602,-0.0012670522410189733,-0.7053910156711936,0.7571553736925125,0.2,0.04970703125,0.0003
301,198656,97,658,986.06,-6.259420120000002,1.5121532678604126,18.130239509046078,960,0.008344909,-0.0030704247998073696,-0.7433863336220383,0.8942005038261414,0.2,0.068408203125,0.0003
304,200704,98,658,986.06,-6.128326820000002,0.5163375735282898,20.157189233787356,970,0.008644126,-0.0038121483754366635,-0.7406078012660146,0.8431404829025269,0.2,0.1001953125,0.0003
308,202752,99,658,986.06,-6.256771940000001,0.6823995113372803,24.84924455303699,980,0.0061231283,7.64011827413924e-05,-0.6969565782696009,0.8028312623500824,0.2,0.0767578125,0.0003
311,204800,100,657,986.06,-5.754705630000002,0.8382378220558167,13.512796710245311,990,0.0062097693,-0.0016496229625772684,-0.6810147335752845,0.8491876870393753,0.2,0.06962890625,0.0003
314,206848,101,658,979.3,-8.732370690000002,115.44707489013672,21.98918887898326,1000,0.0060094483,-0.0026499760890146716,-0.6935707267373801,0.7732190191745758,0.2,0.07353515625,0.0003
316,208896,102,659,979.3,-7.744748459999999,6.4172821044921875,89.19932958111167,1010,0.0053395294,-0.003166636498644948,-0.6840774357318878,0.5783643424510956,0.2,0.0701171875,0.0003
319,210944,103,660,975.54,-7.11740178,1.0194940567016602,18.72637247927487,1020,0.0073658195,0.0008764782869548071,-0.7132343132048845,0.8787014931440353,0.2,0.073291015625,0.0003
323,212992,104,658,967.37,-9.433657570000001,28.644243240356445,64.47675621435046,1030,0.004495195,-9.051939050550573e-05,-0.6768200860358775,0.7019376158714294,0.2,0.051025390625,0.0003
326,215040,105,658,967.37,-9.122701590000002,0.7635264992713928,67.27573646064847,1040,0.005572477,0.0006431342269934248,-0.6607481013983488,0.5325310230255127,0.2,0.063134765625,0.0003
329,217088,106,658,967.37,-9.053565490000002,145.7470245361328,16.911611982807518,1050,0.008295848,-0.0007600839147926308,-0.677324577793479,0.8740178495645523,0.2,0.078369140625,0.0003
332,219136,107,658,964.07,-10.305461410000003,0.42781928181648254,15.984201217349618,1060,0.0061042053,-0.00245458929130109,-0.6530177682638169,0.8413650691509247,0.2,0.0884765625,0.0003
335,221184,108,658,964.07,-9.926217950000002,1.0087437629699707,50.47115321457386,1070,0.0066156276,-0.001752127701183781,-0.6721593357622624,0.674273818731308,0.2,0.0451171875,0.0003
339,223232,109,657,964.07,-10.012461590000001,0.6326784491539001,9.856882879696787,1080,0.0057203625,-0.0001741580301313661,-0.6595263164490461,0.9229561164975166,0.2,0.075830078125,0.0003
343,225280,110,655,964.07,-9.19184148,2.6069889068603516,20.03942987229675,1090,0.0030444171,-0.002082981853163801,-0.6514689354225993,0.8099336177110672,0.2,0.05390625,0.0003
347,227328,111,655,964.07,-10.187048650000001,0.38962671160697937,29.6401531977579,1100,0.0063379193,-0.0008428714834735728,-0.6461578684858977,0.788748636841774,0.2,0.081396484375,0.0003
350,229376,112,653,966.42,-8.93805423,0.8046525120735168,20.007824445329607,1110,0.009661521,-0.005081341450568289,-0.6367202950641513,0.9454473070800304,0.2,0.11416015625,0.0003
354,231424,113,652,964.12,-9.682919459999999,2.5519120693206787,25.098851784318686,1120,0.0052162306,-0.002829716601627297,-0.6052697003819049,0.9004690274596214,0.2,0.05703125,0.0003
358,233472,114,650,960.14,-11.311016369999997,75.03695678710938,108.1038068793714,1130,0.0012523803,-0.0013208157259214203,-0.6126072550192475,0.5743471086025238,0.2,0.039697265625,0.0003
363,235520,115,648,958.67,-13.04785136,47.767791748046875,69.85011350363493,1140,0.003570374,-0.003597214179171715,-0.6207405460998416,0.7436054348945618,0.2,0.0232421875,0.0003
366,237568,116,647,958.67,-12.816573470000003,50.412967681884766,52.1176907684654,1150,0.0056440895,-4.829224417335354e-05,-0.6886710148304701,0.673564225435257,0.2,0.060986328125,0.0003
369,239616,117,647,955.86,-14.32205826,1.4168914556503296,16.086207092925907,1160,0.009291456,-0.0014563711047230754,-0.6415929187089204,0.9269590228796005,0.2,0.060595703125,0.0003
372,241664,118,648,955.86,-14.054625190000001,38.15043258666992,68.31634958833456,1170,0.0074847243,-0.0033021531118720302,-0.6514664826914668,0.8501315265893936,0.2,0.06884765625,0.0003
376,243712,119,647,955.86,-12.630145190000002,37.57929611206055,17.962608438357712,1180,0.008464985,0.0019460438212263397,-0.6946750421077013,0.9183238074183464,0.2,0.085302734375,0.0003
379,245760,120,647,955.53,-12.218814430000002,0.44322752952575684,30.695323509257285,1190,0.0099201305,-0.003181163537374232,-0.6586831607855856,0.8526386320590973,0.2,0.10078125,0.0003
383,247808,121,646,955.16,-11.430081690000002,24.282697677612305,106.65582999736071,1200,0.005065428,-0.0011723002131475368,-0.6262290538288653,0.537437230348587,0.2,0.037744140625,0.0003
386,249856,122,646,939.6,-14.528487740000001,2.011737823486328,78.83634481597691,1210,0.0042916224,-0.0017863236891571433,-0.6588490758091211,0.38800519704818726,0.2,0.051611328125,0.0003
390,251904,123,644,939.6,-12.94036924,16.445791244506836,111.2681645438075,1220,0.004241427,-0.0005086638317152392,-0.6828428188338875,0.518505871295929,0.2,0.05703125,0.0003
2,2048,1,684,859.0,-101.905,2.118018388748169,46.3781113570556,1230,0.006079261,-0.003289288855739869,-0.6221109884791076,0.5044716596603394,0.2,0.084375,0.0003
7,4096,2,580,929.5,-141.54500000000002,0.699485182762146,36.27019461430609,1240,0.009242352,0.0002167197482776828,-0.6606373135000467,0.6285237967967987,0.2,0.073388671875,0.0003
11,6144,3,533,869.5,-139.19333333333336,0.7924730777740479,3.049028358794749,1250,0.008366074,0.000451157902716659,-0.6944350702688098,0.8339376598596573,0.2,0.0935546875,0.0003
