time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/loss,train/explained_variance,train/clip_range,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/value_loss,train/learning_rate
688,-56.90803559999999,47,664.73,96256,139,2.298793315887451,0.29059213399887085,0.2,-0.9734471609815956,0.050341796875,-0.0036189308622851966,0.005253557,460,25.619512552022933,0.0003
684,-53.063890810000004,48,677.6,98304,143,4.565489292144775,0.438539981842041,0.2,-0.9496940571814776,0.063525390625,-0.004224599928420503,0.0056421594,470,26.47567447125912,0.0003
683,-48.43407991000001,49,693.5,100352,146,2.3054845333099365,0.2673065662384033,0.2,-0.926908697001636,0.052685546875,-0.0022479506977106213,0.0070443973,480,63.213072715699674,0.0003
681,-47.04770885,50,710.13,102400,150,4.5378031730651855,0.29244768619537354,0.2,-0.8879595745354891,0.0580078125,-0.0021999134405632503,0.0071534375,490,46.501545653492215,0.0003
673,-45.430157179999995,51,726.98,104448,155,1.725873351097107,0.5580558478832245,0.2,-0.92410425003618,0.05283203125,-0.003052857596776448,0.005559871,500,13.50888329744339,0.0003
669,-42.18062126000001,52,742.67,106496,159,7.846012592315674,0.19112396240234375,0.2,-0.9434296073392033,0.108544921875,-0.007048508706066059,0.010625916,510,39.870873623341325,0.0003
668,-39.917661280000004,53,761.74,108544,162,10.190074920654297,0.3599841594696045,0.2,-0.9300185902044177,0.10693359375,-0.008925563924276503,0.012040007,520,58.28912990838289,0.0003
663,-37.35305563,54,778.17,110592,166,38.81757736206055,0.18499469757080078,0.2,-0.8506901953369379,0.024951171875,-0.0012194997463666369,0.00084310933,530,114.74141435921192,0.0003
665,-34.05795774,55,793.88,112640,169,2.9540343284606934,0.358931303024292,0.2,-0.9105793602764607,0.090869140625,-0.0042801228526514025,0.008699958,540,31.774027006328105,0.0003
664,-34.04189997,56,809.88,114688,172,2.698989152908325,0.487107515335083,0.2,-0.9180623335763812,0.063330078125,-0.0026256455326802096,0.005803156,550,16.620213560014964,0.0003
656,-29.267439,57,824.64,116736,177,120.99728393554688,0.14707201719284058,0.2,-0.9549013266339899,0.03876953125,-0.0022662871742795687,0.0024547589,560,107.56528016626835,0.0003
656,-28.08531593,58,840.9,118784,181,6.482986927032471,0.28102248907089233,0.2,-0.8589533947408199,0.03505859375,-0.0038626409019343554,0.007353221,570,79.76824540495872,0.0003
650,-24.914571960000004,59,851.22,120832,185,1.590325951576233,0.7391288876533508,0.2,-0.7846567498520016,0.102099609375,-0.0059448526735650375,0.008477729,580,16.256462816894054,0.0003
651,-19.469491190000003,60,866.75,122880,188,2.6785688400268555,0.37945300340652466,0.2,-0.9112463790923357,0.065771484375,-0.0035869742096110713,0.0057414547,590,80.84652062952519,0.0003
648,-16.1651229,61,865.98,124928,192,11.778599739074707,0.29335659742355347,0.2,-0.7632620669901371,0.046337890625,-0.003921385153080337,0.007735394,600,95.03527669683099,0.0003
646,-14.451811380000004,62,881.58,126976,196,43.4721565246582,0.21850109100341797,0.2,-0.8013153273612261,0.04189453125,-0.002763570948445704,0.0062248767,610,153.54190135896206,0.0003
643,-13.943575370000001,63,893.0,129024,200,21.0319766998291,0.46510374546051025,0.2,-0.8293060768395663,0.011328125,-0.0019220932168536819,0.0029873175,620,123.45335462093354,0.0003
643,-9.84546583,64,905.27,131072,203,4.169806480407715,0.861187294125557,0.2,-0.7731539323925972,0.146435546875,-0.004809810574806761,0.014337715,630,50.38588125482202,0.0003
642,-3.7519999400000006,65,917.6,133120,207,5.704787254333496,0.5048811435699463,0.2,-0.7976033812388778,0.137109375,-0.012004636102938093,0.029812783,640,65.53006880432368,0.0003
641,-3.5765925600000004,66,921.72,135168,210,3.9288570880889893,0.2376338243484497,0.2,-0.8427538555115461,0.03564453125,-0.002240213949698955,0.0044922326,650,91.51449860334397,0.0003
639,0.9744366300000007,67,930.44,137216,214,14.187273979187012,0.1392894983291626,0.2,-0.8151021104305982,0.012158203125,-0.0011991610233963001,0.0033468865,660,110.78230319619179,0.0003
640,3.4352196700000013,68,937.29,139264,217,2.1074166297912598,0.42270660400390625,0.2,-0.9269102811813354,0.116015625,0.0003765508532524109,0.0067866347,670,23.41194943264127,0.0003
639,5.578009640000002,69,942.57,141312,220,7.804471492767334,0.32664191722869873,0.2,-0.923046114295721,0.070703125,-0.002675975367310457,0.007035017,680,67.4818587064743,0.0003
640,4.40745576,70,940.81,143360,223,283.2820129394531,0.11886918544769287,0.2,-0.8245167909190059,0.01767578125,-0.002195796842352138,0.0036880418,690,173.03664829581976,0.0003
641,5.56946913,71,935.61,145408,226,3.3464670181274414,0.44967716932296753,0.2,-0.8736111208796501,0.04794921875,-0.0013920733850682153,0.0036621985,700,55.70451983064413,0.0003
640,9.233251869999998,72,927.93,147456,230,17.037860870361328,0.40280765295028687,0.2,-0.8982260743156075,0.028955078125,-0.0006157373145470046,0.0042361226,710,111.5768577978015,0.0003
641,9.355382550000002,73,921.28,149504,233,34.31441116333008,0.401131272315979,0.2,-0.8938985258340836,0.043017578125,-0.0011349933651217726,0.0077559855,720,99.00772010833025,0.0003
641,10.324130570000001,74,919.32,151552,236,91.05205535888672,0.21168792247772217,0.2,-0.8536212282255292,0.02080078125,-0.001778773519981769,0.002404446,730,202.2660867214203,0.0003
641,9.84782283,75,919.32,153600,239,2.5360541343688965,0.5549189150333405,0.2,-0.8076259471476078,0.09013671875,-0.0046372544908081185,0.0110773435,740,42.12800847366452,0.0003
642,9.415452490000002,76,913.05,155648,242,2.7607171535491943,0.2982873320579529,0.2,-0.8845509614795446,0.09287109375,7.973579195095227e-05,0.005580562,750,25.661559955775736,0.0003
640,11.806530519999999,77,907.36,157696,246,3.456207036972046,0.46218836307525635,0.2,-0.7877578537911176,0.05771484375,-0.0009705061005661264,0.0062074964,760,85.40035821795463,0.0003
639,11.75500051,78,905.07,159744,249,9.088025093078613,0.2767500877380371,0.2,-0.8945988904684782,0.08359375,-0.0027974104348686525,0.009726541,770,65.34346421286463,0.0003
639,11.922389740000002,79,894.05,161792,253,4.407880783081055,0.5431323349475861,0.2,-0.8390914095565677,0.066748046875,-0.0019432422461250099,0.00414876,780,62.62384725511074,0.0003
639,8.9333319,80,886.89,163840,256,76.1063003540039,0.38358259201049805,0.2,-0.8458891911432147,0.076953125,-0.003589478738285834,0.005633465,790,158.50138540267943,0.0003
639,7.43527302,81,878.15,165888,259,78.18359375,0.13319265842437744,0.2,-0.8688605690374971,0.045703125,-0.002253133914200589,0.007273612,800,164.455462141335,0.0003
640,5.038460500000002,82,866.3,167936,262,92.19673156738281,0.15140187740325928,0.2,-0.8660798134282232,0.0154296875,-0.0010245495461276733,0.0021128922,810,192.7573512494564,0.0003
641,7.173136020000002,83,863.03,169984,264,82.62477111816406,0.5270591080188751,0.2,-0.8334129009395838,0.069140625,-6.54703559121117e-05,0.0038401342,820,111.467573428154,0.0003
640,9.62081805,84,859.65,172032,268,5.175522327423096,0.5418816804885864,0.2,-0.9030578916892409,0.085791015625,-0.0028224491848959587,0.0066679455,830,48.23809442669153,0.0003
640,10.674929510000002,85,846.15,174080,271,29.640825271606445,0.6629601418972015,0.2,-0.8284458845853806,0.09931640625,-0.0040135519309842495,0.013236644,840,62.049858298897746,0.0003
642,10.246935380000002,86,838.41,176128,274,13.094367027282715,0.48732101917266846,0.2,-0.8322554040700197,0.067626953125,-0.004401040692027891,0.010394394,850,128.15256421864032,0.0003
643,10.316854940000002,87,835.5,178176,276,19.313018798828125,0.6624594926834106,0.2,-0.7925094684585929,0.0287109375,-0.001786191468272591,0.0031232382,860,89.18974726200103,0.0003
644,8.04300907,88,826.38,180224,279,110.0020751953125,0.048902928829193115,0.2,-0.8471837377175688,0.036669921875,-0.0007546117209130898,0.0053484896,870,133.47462219893933,0.0003
644,8.016799899999999,89,828.54,182272,282,8.301628112792969,0.340411901473999,0.2,-0.8456458115950227,0.067138671875,-0.005827024630343658,0.0051918817,880,123.81759611815214,0.0003
645,4.714280419999998,90,822.38,184320,285,4.2123823165893555,0.5435263514518738,0.2,-0.8373759128153324,0.066943359375,-0.0028533780146972275,0.006249159,890,56.0180770277977,0.0003
646,2.7899755699999993,91,815.82,186368,288,48.2602653503418,0.036982953548431396,0.2,-0.8507339797914029,0.02666015625,-0.002052967123745475,0.003747908,900,244.65135020315648,0.0003
645,4.686310429999999,92,812.36,188416,291,45.74325180053711,0.6550800800323486,0.2,-0.8133176473900676,0.0875,-0.001317619979090523,0.008717397,910,60.15493321046233,0.0003
645,2.866238590000001,93,814.83,190464,295,86.95243835449219,-0.10360598564147949,0.2,-0.8161363262683153,0.055712890625,-0.001744846335350303,0.0055555743,920,132.35200630202888,0.0003
643,3.0247100900000037,94,810.12,192512,299,202.08544921875,0.22582626342773438,0.2,-0.8191165367141366,0.092431640625,-0.0038865309732500465,0.008561591,930,114.53024436682463,0.0003
643,2.793941600000002,95,810.12,194560,302,3.7643496990203857,0.6758031249046326,0.2,-0.8092324361205101,0.059521484375,-0.0016439021481346571,0.008401293,940,99.13197127580642,0.0003
644,1.4287231900000033,96,809.72,196608,305,6.481049060821533,0.5392971038818359,0.2,-0.7935194397345186,0.120947265625,-0.00217387094598962,0.008538514,950,32.94009175971151,0.0003
643,0.7426780699999992,97,807.93,198656,308,20.702096939086914,0.350330114364624,0.2,-0.842163908481598,0.068359375,-0.003367862683808198,0.0062481514,960,76.57105628848076,0.0003
643,3.8388378399999965,98,797.16,200704,311,3.6346349716186523,0.5980717241764069,0.2,-0.8224651334807277,0.076953125,-3.536669137247372e-05,0.0051411185,970,48.51096544936299,0.0003
643,1.0974614099999942,99,797.16,202752,315,191.88034057617188,0.5313043594360352,0.2,-0.795176250487566,0.0208984375,-0.004719758679129882,0.0053346623,980,226.73070048391818,0.0003
642,-0.46878299000000484,100,798.82,204800,318,144.64474487304688,0.014094054698944092,0.2,-0.890598557330668,0.113232421875,-0.003515982942917617,0.008913063,990,137.37194309458135,0.0003
642,0.6302121199999963,101,799.16,206848,321,4.393863201141357,0.5045710802078247,0.2,-0.7718350572511554,0.049951171875,-0.00295432346247253,0.006846025,1000,127.70806549564004,0.0003
643,2.1974570999999994,102,786.9,208896,324,8.346137046813965,0.5928919911384583,0.2,-0.7802701348438859,0.093603515625,-0.003039606126549188,0.0075940094,1010,61.83547247797251,0.0003
644,-0.39541191999999925,103,774.78,210944,327,17.94920539855957,0.34523487091064453,0.2,-0.8438261106610299,0.03525390625,-0.0008884336821211036,0.0034037326,1020,120.16684897392989,0.0003
645,0.21078831999999867,104,772.36,212992,330,7.4948015213012695,0.5352555811405182,0.2,-0.7880066858604551,0.019189453125,-0.0018817826763552147,0.0032464296,1030,202.46577034592627,0.0003
645,0.8143268499999979,105,766.43,215040,333,36.42807388305664,0.6132863461971283,0.2,-0.7919373175129294,0.086572265625,-0.0002497249059160822,0.008601606,1040,50.53498596698046,0.0003
644,-2.2173085400000008,106,762.02,217088,336,25.76362419128418,0.6761088073253632,0.2,-0.784205956198275,0.081201171875,-0.0016771568603871855,0.006509978,1050,87.85524427443742,0.0003
645,1.5855796900000003,107,751.49,219136,339,33.106117248535156,0.5205658078193665,0.2,-0.8048159202560783,0.0576171875,-0.0032765687836217696,0.004526518,1060,122.11155858039857,0.0003
646,-2.0020214999999997,108,754.13,221184,342,11.127860069274902,0.5008019506931305,0.2,-0.8086354708299041,0.051611328125,-0.0020719307824037967,0.006707699,1070,202.44548704624177,0.0003
645,-0.5912454299999973,109,752.83,223232,345,46.10408401489258,0.3015466332435608,0.2,-0.7903576059266925,0.062353515625,-0.004799005780296284,0.008466912,1080,194.82215426415206,0.0003
645,-1.376861319999998,110,753.49,225280,348,21.15774917602539,0.5607798993587494,0.2,-0.8480432802811265,0.0517578125,-0.0032756350963609295,0.006501288,1090,128.35451976954937,0.0003
645,1.36651877,111,748.01,227328,352,6.549315929412842,0.42171943187713623,0.2,-0.7508101314306259,0.07392578125,-0.0032730722068663454,0.00730751,1100,100.57666336372495,0.0003
644,3.206411609999999,112,745.57,229376,355,23.295154571533203,0.5602223873138428,0.2,-0.739439083635807,0.035009765625,-0.0003545907216903288,0.0045931293,1110,69.1671990737319,0.0003
644,0.49144119999999863,113,744.59,231424,358,185.93014526367188,0.4520305395126343,0.2,-0.843124502338469,0.049169921875,-0.004040788140628138,0.0062199673,1120,132.6056634902954,0.0003
646,-1.4732988199999995,114,736.17,233472,361,2.3254752159118652,0.6428547501564026,0.2,-0.771900056488812,0.1021484375,-0.0030048666150833013,0.007610617,1130,92.93786191791295,0.0003
645,-2.5972555000000024,115,738.36,235520,364,58.127052307128906,0.580162912607193,0.2,-0.7316087707877159,0.073193359375,-0.0011275206947175321,0.005635237,1140,151.25329607874156,0.0003
645,1.3211748699999992,116,734.56,237568,367,24.409868240356445,0.5413325428962708,0.2,-0.7966104693710804,0.070068359375,-0.0039807149529224265,0.0041213846,1150,148.82890269607304,0.0003
645,-2.965469830000001,117,730.28,239616,370,10.287235260009766,0.6323321461677551,0.2,-0.7818105347454548,0.10791015625,0.0005645946737786289,0.0059958026,1160,116.59423754513264,0.0003
645,4.046402240000001,118,737.44,241664,374,47.1887092590332,0.4507160186767578,0.2,-0.7739574009552598,0.063134765625,-0.001536422743811272,0.007818114,1170,129.7315416306257,0.0003
646,0.2807841700000011,119,738.6,243712,377,15.123680114746094,0.4171391725540161,0.2,-0.7080505300313235,0.081494140625,-0.003346432484249817,0.0074536116,1180,88.57126456946135,0.0003
645,-0.8888696199999998,120,739.18,245760,380,98.56470489501953,0.2477020025253296,0.2,-0.7521423993632197,0.093505859375,-0.0027641043277981227,0.014492281,1190,80.61270942687989,0.0003
646,0.07062167000000094,121,746.96,247808,383,2.8198726177215576,0.48202234506607056,0.2,-0.7322105824947357,0.063916015625,-0.0007470668093446875,0.008060563,1200,86.62209545820951,0.0003
647,-6.356811419999999,122,745.5,249856,385,7.192416667938232,0.7023817300796509,0.2,-0.7542099114507437,0.1115234375,-0.002642340621241601,0.012560068,1210,72.00165913254023,0.0003
647,-1.9977891099999996,123,748.89,251904,389,69.1301040649414,0.7769529223442078,0.2,-0.7617358414456248,0.066015625,0.0001898942129628267,0.004779518,1220,88.01787138581275,0.0003
653,-433.738334,1,798.0,2048,3,32.74147415161133,0.605127364397049,0.2,-0.8117239121347666,0.060693359375,-0.002375855603531818,0.005256511,1230,99.81228512078523,0.0003
678,-532.7051094999999,2,796.0,4096,6,7.9045586585998535,0.7081220746040344,0.2,-0.6985955061390996,0.035498046875,-0.0020260037243133413,0.0050429786,1240,88.01982992067933,0.0003
620,-602.7700398571429,3,871.1428571428571,6144,9,231.5880889892578,0.528277188539505,0.2,-0.7434186963364482,0.085546875,-0.0029133159478078596,0.008264252,1250,163.8070390328765,0.0003
568,-614.5201955555555,4,895.4444444444445,8192,14,49.94513702392578,0.779780238866806,0.2,-0.7498392902314663,0.073388671875,-0.00403983775722736,0.0077854213,1260,77.89453686922789,0.0003
548,-611.5605562727272,5,880.5454545454545,10240,18,5.632566928863525,0.8718901574611664,0.2,-0.766630894318223,0.061767578125,-0.0025632749806391076,0.0065438263,1270,59.62413696646691,0.0003
517,-622.8148481538461,6,885.5384615384615,12288,23,3.8921992778778076,0.7381744980812073,0.2,-0.8129825763404369,0.035498046875,-0.0009002850580145605,0.0036502262,1280,77.14914494603872,0.0003
540,-606.4852077647058,7,842.5294117647059,14336,26,20.442066192626953,0.9225466549396515,0.2,-0.7746429000049829,0.048828125,-0.0005780304163636174,0.00445148,1290,47.79476102590561,0.0003
541,-601.0506904210526,8,821.3684210526316,16384,30,5.63563346862793,0.9021409675478935,0.2,-0.6525432715192437,0.08017578125,-0.000792103007552214,0.013349492,1300,74.96166815310717,0.0003
533,-615.0080709545455,9,837.1818181818181,18432,34,13.936399459838867,0.8423893451690674,0.2,-0.8177752101793885,0.096337890625,-0.0018069975809339666,0.014426991,1310,63.18947158157825,0.0003
542,-651.128553,10,846.9583333333334,20480,37,3.6352031230926514,0.9171673879027367,0.2,-0.7918503513559699,0.037841796875,-0.0015268270661181304,0.0041954266,1320,69.2907545864582,0.0003
539,-669.0802457307692,11,858.7307692307693,22528,41,16.65907096862793,-0.5678954124450684,0.2,-0.7930941121652723,0.085009765625,0.0012002695752016735,0.008413344,1330,59.7951148673892,0.0003
540,-678.3484693214285,12,863.75,24576,45,1.9914331436157227,0.8214164525270462,0.2,-0.8280369516462087,0.07529296875,-0.00017609288115636446,0.0076438114,1340,15.2446353033185,0.0003
551,-673.2775598999999,13,856.0333333333333,26624,48,2.7320656776428223,0.8611257672309875,0.2,-0.7895592911168933,0.03671875,-0.00024553128750994804,0.0024259961,1350,50.5798263348639,0.0003
555,-677.3663812424243,14,845.3333333333334,28672,51,66.11888885498047,0.5746694207191467,0.2,-0.7868097838014364,0.057666015625,-0.0034766533397487366,0.007776332,1360,130.37309669703245,0.0003
