time/fps,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_range,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/loss,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_fraction,train/explained_variance
682,225,75,153600,876.06,-8.85181077,0.2,-0.0016509495399077423,149.70330376923084,0.0003,21.340431213378906,740,0.0036842881,-0.7798153506591916,0.028271484375,0.5675371885299683
678,229,76,155648,876.06,-9.45363426,0.2,-0.002718542725779116,41.094018786773084,0.0003,5.646571159362793,750,0.008089622,-0.8046644147485494,0.065576171875,0.7581943720579147
676,233,77,157696,871.71,-8.183488879999999,0.2,-0.009068809024756774,35.23391229733825,0.0003,4.444937705993652,760,0.0186852,-0.8456211190670728,0.1892578125,0.8623958677053452
674,236,78,159744,867.17,-8.88789136,0.2,-0.00207219037329196,73.09356537237764,0.0003,8.694731712341309,770,0.0043442533,-0.8744983864948154,0.043115234375,0.6133619248867035
674,239,79,161792,871.4,-7.710162309999999,0.2,-0.001529377754923189,85.51045179963111,0.0003,14.198548316955566,780,0.005975651,-0.9013854524120688,0.045263671875,0.6783318817615509
675,242,80,163840,865.92,-7.668306530000002,0.2,-0.0015636813834134955,31.817755513638257,0.0003,3.4476258754730225,790,0.0053955987,-0.8628775781020522,0.080322265625,0.8074343800544739
675,245,81,165888,861.07,-3.6534130400000016,0.2,-0.0018259595683048247,116.28372949510813,0.0003,40.34450912475586,800,0.006625111,-0.8907082689926028,0.06513671875,0.5747217237949371
674,248,82,167936,860.51,-0.23463706999999928,0.2,-0.0012848821104853414,126.0337124094367,0.0003,14.785853385925293,810,0.004119673,-0.8268601231276989,0.05830078125,0.6336257755756378
673,252,83,169984,860.43,1.5843388300000012,0.2,-0.0009235369263478788,165.78146545290946,0.0003,4.184616565704346,820,0.00405081,-0.8464543985202908,0.03388671875,0.47936224937438965
673,255,84,172032,856.54,-0.09006864999999947,0.2,-0.0001329342099779751,63.01669312492013,0.0003,60.065399169921875,830,0.007488877,-0.8388636896386743,0.05908203125,0.5864095687866211
673,258,85,174080,852.88,1.4990736600000003,0.2,-0.002127372898394242,144.8973873630166,0.0003,45.4074821472168,840,0.003715119,-0.9055741397663951,0.060595703125,0.4438883066177368
673,261,86,176128,844.47,5.3405208,0.2,-0.0010678651589842048,129.4811626523733,0.0003,208.4482879638672,850,0.0018508593,-0.6629052340053022,0.008349609375,0.5854905247688293
669,266,87,178176,844.47,6.351516279999999,0.2,-0.0006735739065334201,132.0488802343607,0.0003,66.1327896118164,860,0.0047051483,-0.7756934866309166,0.030517578125,0.5920760929584503
669,269,88,180224,830.81,8.237851249999999,0.2,-0.0022797847639594694,37.28728558495641,0.0003,8.828667640686035,870,0.012829432,-0.9339526481926441,0.118017578125,0.7595781534910202
669,272,89,182272,825.5,11.09854243,0.2,-0.0011927869039936923,174.90291074216367,0.0003,65.18885803222656,880,0.0034445692,-0.7654192928224802,0.04814453125,0.5185411274433136
669,275,90,184320,817.13,8.72109824,0.2,-0.0008078616858256283,104.07740347832441,0.0003,24.81850242614746,890,0.0033119938,-0.8765038555487991,0.051806640625,0.5287991464138031
666,279,91,186368,817.13,10.149510980000002,0.2,0.0002074993222777266,65.4003892429173,0.0003,11.053132057189941,900,0.0042679193,-0.6237792922183871,0.045654296875,0.5552357733249664
666,282,92,188416,817.4,9.10599219,0.2,0.0011908841828699225,26.142433119565247,0.0003,4.935916900634766,910,0.008053741,-0.9102709122002125,0.098876953125,0.8622335642576218
667,285,93,190464,808.76,12.148445200000001,0.2,-0.0009935492504155262,58.76345415860415,0.0003,2.963212251663208,920,0.0028064302,-0.7581892751157284,0.052978515625,0.6220466494560242
667,288,94,192512,805.55,13.588141969999999,0.2,-0.001894760371396842,88.0587618380785,0.0003,5.989426136016846,930,0.0036633897,-0.7639050178229809,0.026416015625,0.5839449167251587
668,291,95,194560,802.77,12.126671289999999,0.2,-0.0019225153690058505,99.26378014981746,0.0003,56.52372741699219,940,0.0076015703,-0.7958816399797797,0.08349609375,0.27984172105789185
667,294,96,196608,798.44,14.14273629,0.2,-0.002139507756510284,142.18121029436588,0.0003,31.250551223754883,950,0.006719772,-0.7604098621755838,0.043798828125,0.4696146845817566
667,297,97,198656,800.72,13.225933770000001,0.2,-0.002708599935431266,87.69054187312722,0.0003,48.49577713012695,960,0.011267738,-0.8361024275422096,0.076806640625,0.3740125298500061
667,300,98,200704,810.61,15.04044805,0.2,-0.0019250155019108206,183.5341213643551,0.0003,87.34526824951172,970,0.006949123,-0.8117738256230951,0.050048828125,0.3801685571670532
668,303,99,202752,811.47,17.034802,0.2,-0.008299353947222698,21.81062181740999,0.0003,3.837088108062744,980,0.019691736,-0.849157041311264,0.169482421875,0.8425921946763992
669,305,100,204800,795.4,15.040825490000001,0.2,-0.0029077567742206156,103.32390222847462,0.0003,9.141963958740234,990,0.004084472,-0.7250359678640962,0.062841796875,0.6362805962562561
669,309,101,206848,796.85,16.12484238,0.2,-0.0015485200347029604,157.75143835544586,0.0003,79.59454345703125,1000,0.0029691386,-0.7108680790290236,0.026953125,0.614118218421936
667,313,102,208896,797.64,16.61568436,0.2,-0.004395582732104231,79.63233123719692,0.0003,8.903572082519531,1010,0.01164366,-0.8385233074426651,0.06923828125,0.5441288650035858
668,315,103,210944,776.04,13.019316249999997,0.2,-0.00015285533299902454,129.86077654212713,0.0003,7.081294059753418,1020,0.006307128,-0.7413971481844783,0.0375,0.5307406783103943
668,318,104,212992,774.29,14.229322419999995,0.2,-0.004034239796601469,142.4163052916527,0.0003,88.79249572753906,1030,0.007883531,-0.7596219792962075,0.0900390625,0.6968989670276642
669,321,105,215040,752.86,12.838223180000002,0.2,-0.0002188385737099452,83.00198893621564,0.0003,46.571044921875,1040,0.0101788,-0.8350587859749794,0.126708984375,0.6727184653282166
