time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/entropy_loss,train/explained_variance,train/clip_range,train/n_updates,train/loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_fraction
59,764.72,120832,770,-34.920992299999995,156,0.00415996,-0.9177441406995058,0.5028954744338989,0.2,580,3.1396846771240234,0.0003,-0.0027583464885537977,89.04877497479319,0.037060546875
60,774.28,122880,763,-28.52051106,161,0.0019710935,-0.858682600222528,0.4138193726539612,0.2,590,26.10297393798828,0.0003,-0.0035948123057096383,219.6707953184843,0.041845703125
61,780.0,124928,762,-29.95381179,163,0.0085343495,-0.855343802459538,0.2891588807106018,0.2,600,11.270030975341797,0.0003,-0.0038719981457688846,65.57629666030407,0.07705078125
62,783.2,126976,761,-23.58015513000001,166,0.005401592,-0.7930025953799487,0.6273539960384369,0.2,610,40.213340759277344,0.0003,6.723846381646581e-05,66.6208333954215,0.053173828125
63,781.88,129024,759,-23.08260845,169,0.006282844,-0.952499258518219,0.3898875117301941,0.2,620,3.1080315113067627,0.0003,-0.005256149519118481,72.58724808171391,0.065673828125
64,789.28,131072,758,-17.7151415,172,0.009091178,-0.8959258349612356,0.4582661986351013,0.2,630,50.49156951904297,0.0003,-0.006556460255524144,153.58030691295863,0.088232421875
65,795.76,133120,758,-14.898424630000004,175,0.004565101,-0.8015703240409493,0.6825693249702454,0.2,640,27.118669509887695,0.0003,-0.0017716478774673305,78.8366112023592,0.037109375
66,800.61,135168,758,-6.2857845200000035,178,0.00488908,-0.8606964392587543,0.24890732765197754,0.2,650,30.698877334594727,0.0003,-0.0038421060748078163,78.0929763123393,0.0646484375
67,812.13,137216,757,-2.0870393100000024,181,0.006711182,-0.8139858588576316,0.491325318813324,0.2,660,17.225404739379883,0.0003,-0.004241040245688055,117.9913234949112,0.07333984375
68,811.69,139264,756,3.8635888800000004,184,0.003745142,-0.7818401966243982,0.2693139910697937,0.2,670,33.173099517822266,0.0003,-0.003871283527041669,154.558644130826,0.017236328125
69,817.61,141312,757,8.717612390000001,186,0.007579932,-0.8544021040201187,0.2768210768699646,0.2,680,248.0550994873047,0.0003,-0.003081100488634547,134.0787412881851,0.084130859375
70,811.45,143360,758,10.370130059999997,189,0.0050827684,-0.7645965976640582,0.3002661466598511,0.2,690,12.118803977966309,0.0003,-0.004218319459323538,111.47618514895439,0.035791015625
71,814.51,145408,757,16.492916639999997,191,0.010764664,-0.7124232234433293,-0.03455984592437744,0.2,700,53.70688247680664,0.0003,-0.0022752622644475196,117.09437420517206,0.090673828125
72,811.87,147456,757,21.47048049,194,0.004679363,-0.7614119613543153,0.5540086627006531,0.2,710,3.6110477447509766,0.0003,-0.0025837440789473476,70.55908856838941,0.073046875
73,805.39,149504,758,18.687109720000002,197,0.006940107,-0.7954332698136568,0.15723222494125366,0.2,720,11.821317672729492,0.0003,-0.0017322586816590046,205.37981349825859,0.04580078125
74,798.75,151552,759,23.319519239999995,199,0.0040972065,-0.881974664889276,0.2801920175552368,0.2,730,224.9302215576172,0.0003,-0.002829029858548893,250.9392971277237,0.025927734375
75,791.47,153600,758,29.08939706,202,0.007234794,-0.7054864631965756,0.49377870559692383,0.2,740,47.22272872924805,0.0003,-0.0033825694452389145,116.2641927331686,0.055126953125
76,773.19,155648,760,35.71346362,204,0.0076890117,-0.8075542470440269,0.2820054292678833,0.2,750,13.656538009643555,0.0003,-0.001342342448697309,122.80834812819958,0.04130859375
77,748.61,157696,761,39.81470908,207,0.008176902,-0.7986886207014322,0.5027507543563843,0.2,760,20.021892547607422,0.0003,-0.0014784663453610847,111.27421869039536,0.0650390625
78,735.07,159744,762,39.77457740999999,209,0.004630887,-0.764095027372241,0.45646417140960693,0.2,770,358.5337219238281,0.0003,-0.0018363117502303793,148.9053716212511,0.034716796875
79,715.99,161792,763,43.664578629999994,211,0.006448672,-0.7815780621021986,0.42662519216537476,0.2,780,53.0649299621582,0.0003,-0.0031673265893914504,149.6444111853838,0.064892578125
80,686.86,163840,765,42.332432520000005,213,0.0054566786,-0.8052259800955653,0.27878642082214355,0.2,790,35.464073181152344,0.0003,-0.001890599203397869,153.6652521252632,0.05859375
81,661.16,165888,766,43.771701750000005,216,0.0027881467,-0.8562241280451417,0.42636364698410034,0.2,800,82.01022338867188,0.0003,-0.0018536815263360041,241.55681191682817,0.01513671875
82,639.95,167936,768,49.91189558000001,218,0.005386468,-0.8179170351475478,0.5196967124938965,0.2,810,13.107869148254395,0.0003,-0.0037315887060685783,193.3545927017927,0.03818359375
83,629.98,169984,769,55.468083340000014,220,0.008950187,-0.8217191562056542,0.5166275501251221,0.2,820,75.12214660644531,0.0003,-0.002964199084453867,173.8549473106861,0.10390625
84,626.21,172032,770,53.09554142000001,223,0.024075001,-0.7146293727681041,0.7903799712657928,0.2,830,9.937750816345215,0.0003,-0.006302417130791582,88.09339407086372,0.151123046875
85,616.4,174080,771,51.44223602,225,0.007699197,-0.7056115990504622,0.7771164178848267,0.2,840,12.678361892700195,0.0003,-0.002816491455450887,84.5723056383431,0.10341796875
86,607.06,176128,772,47.04685402000001,227,0.031069111,-0.6596221273764968,0.4695255756378174,0.2,850,55.30573654174805,0.0003,-0.004611569641565438,135.51656403541566,0.05927734375
87,599.97,178176,773,44.004251100000005,230,0.0051837256,-0.8076681366190315,0.7465892136096954,0.2,860,52.73276138305664,0.0003,-0.0033867272723000497,107.41776446402073,0.06025390625
88,589.19,180224,774,47.24212668999999,232,0.0053766966,-0.7559498662129045,0.680447906255722,0.2,870,16.535974502563477,0.0003,-0.0018975642480654642,127.61625051349401,0.04033203125
89,581.96,182272,775,46.73265854999999,234,0.0052909357,-0.6935435118153691,0.6496421694755554,0.2,880,14.379936218261719,0.0003,-0.004338092697071261,165.5477214396,0.06943359375
90,575.0,184320,775,46.63551734,237,0.012757711,-0.75081498157233,0.6364202201366425,0.2,890,22.677350997924805,0.0003,-0.003995264533295994,111.5374397471547,0.1578125
91,562.11,186368,776,47.34796277,240,0.005257859,-0.79973458442837,0.6154077053070068,0.2,900,18.38372039794922,0.0003,-0.0023919472165289334,97.5853803306818,0.0443359375
92,557.05,188416,777,47.587155249999995,242,0.007683701,-0.7431832375004888,0.6772972643375397,0.2,910,32.90235137939453,0.0003,-0.002895741292013554,172.58613949418069,0.051953125
93,553.18,190464,778,47.68995922,244,0.0031633736,-0.7158530283719301,0.25775617361068726,0.2,920,27.46381378173828,0.0003,-0.001412215395248495,95.44397861361503,0.02392578125
94,544.77,192512,777,49.664101970000004,247,0.006168671,-0.8007349178195,0.6644041836261749,0.2,930,30.200271606445312,0.0003,-0.0036371015608892775,108.67078183293343,0.05166015625
95,538.2,194560,778,48.86948934,249,0.007981555,-0.8080426905304193,0.6982748508453369,0.2,940,9.317438125610352,0.0003,-0.004670199986139778,93.32110657989979,0.089892578125
96,532.72,196608,779,49.75864799,252,0.0055602393,-0.7113772716373206,0.6646965146064758,0.2,950,13.362524032592773,0.0003,-0.004109013602283084,108.07942337095737,0.069482421875
97,530.15,198656,779,49.36331285999999,254,0.010535842,-0.7623815501108766,0.5523425340652466,0.2,960,73.27104187011719,0.0003,-0.0037584165525913703,151.6561154037714,0.09375
98,527.76,200704,780,48.92913558,257,0.005930411,-0.6456416165456176,0.5966828763484955,0.2,970,9.285160064697266,0.0003,-0.0014509629792883061,70.24490319490432,0.08916015625
99,524.63,202752,781,55.85341826999999,259,0.006513109,-0.7710860412567854,0.4245210289955139,0.2,980,48.785125732421875,0.0003,-0.004470358055550605,173.3869216352701,0.035400390625
100,524.22,204800,781,53.94319554,262,0.0046021035,-0.708236370049417,0.7000403702259064,0.2,990,7.663301944732666,0.0003,-0.0012851200539444108,68.50277840197086,0.0388671875
101,529.57,206848,782,53.143317350000004,264,0.010146564,-0.7295392345637083,0.7329701483249664,0.2,1000,9.255610466003418,0.0003,-0.001903334468806861,86.49102548807859,0.072119140625
102,534.68,208896,781,51.362401020000014,267,0.0063356077,-0.7621744139119982,0.7120412588119507,0.2,1010,35.64658737182617,0.0003,-0.002088428918796126,75.5962571926415,0.075537109375
103,531.83,210944,782,51.48138896,269,0.014186411,-0.7781302828341723,0.7836467772722244,0.2,1020,108.23614501953125,0.0003,-0.0032052116264821963,47.40263374112546,0.119921875
104,525.85,212992,784,53.86047839999999,271,0.0052992553,-0.7785031333565712,0.5876227915287018,0.2,1030,4.826616287231445,0.0003,-0.004447218182758661,111.1791292309761,0.05908203125
105,529.73,215040,785,54.53488547000002,273,0.0048694964,-0.7501062817871571,0.6754119694232941,0.2,1040,240.0117950439453,0.0003,-0.0030228077484935056,102.43744875788688,0.04794921875
106,536.98,217088,783,61.11584268000001,276,0.007520726,-0.7433339009061456,0.5331701338291168,0.2,1050,2.4859485626220703,0.0003,-0.002812611528497655,62.86754308268428,0.084765625
107,535.88,219136,784,64.69780054,279,0.005356066,-0.6130684923380614,0.5231014490127563,0.2,1060,8.619449615478516,0.0003,-0.0027881675465323496,79.1429081633687,0.03408203125
108,535.48,221184,785,64.90050917999999,281,0.0061238357,-0.8191881636157632,0.6205500662326813,0.2,1070,4.7763471603393555,0.0003,-0.0028145237221906426,105.58049721941352,0.090087890625
109,540.38,223232,785,63.07102633999999,284,0.0025530774,-0.7109274920076132,0.23787295818328857,0.2,1080,25.380571365356445,0.0003,-0.002278367213693855,166.26727377325295,0.050927734375
110,529.46,225280,786,68.42323849,286,0.0072969534,-0.7415118858218193,0.73757204413414,0.2,1090,12.373448371887207,0.0003,-0.001317898026900366,78.36134682297707,0.0505859375
111,529.54,227328,786,70.87347158,288,0.0053328937,-0.681587285734713,0.6386118829250336,0.2,1100,10.26793098449707,0.0003,-0.006121321789032663,102.00603547841311,0.0509765625
112,523.55,229376,787,76.19721727,291,0.008254516,-0.6963880131021142,0.7851232290267944,0.2,1110,2.5148794651031494,0.0003,-0.0050590069826284886,49.37518807575107,0.099365234375
113,522.62,231424,787,77.70973894,293,0.007294722,-0.7736962353810668,0.6948486864566803,0.2,1120,4.338884353637695,0.0003,-0.0021235127169347834,95.3010955169797,0.07763671875
114,518.34,233472,787,82.10365144,296,0.008429299,-0.773418583162129,0.7500353008508682,0.2,1130,6.955790042877197,0.0003,-0.0014698345643409994,91.92938334345817,0.061767578125
115,509.19,235520,789,77.34428675000001,298,0.006275872,-0.7399790413677693,0.803072914481163,0.2,1140,9.846491813659668,0.0003,-0.0012851539941038936,90.29290688559414,0.064208984375
116,506.13,237568,790,77.51750891,300,0.003940581,-0.7557629257440567,0.2555989623069763,0.2,1150,26.003503799438477,0.0003,-0.0021682054157281527,279.16232458353045,0.01025390625
117,501.17,239616,791,75.04133997,302,0.0034728758,-0.7473821392282843,0.5389623939990997,0.2,1160,9.568416595458984,0.0003,-0.001627340180129977,191.54332873821258,0.018798828125
118,497.83,241664,792,75.22121553000001,304,0.008272724,-0.7010483786463737,0.6173969507217407,0.2,1170,46.868629455566406,0.0003,-0.003954946453450248,157.25487755388022,0.0591796875
119,501.85,243712,793,74.06109865000002,307,0.016139023,-0.7188898587599397,0.6120964884757996,0.2,1180,52.092647552490234,0.0003,-0.008182497541565682,146.56663677990437,0.037890625
