rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/learning_rate,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/loss,train/explained_variance,train/n_updates,train/value_loss
10.432829830000001,700,248,174080,85,688.57,0.0003,0.2,-0.6866206115111708,0.006722132,-0.0025250056998629587,0.063671875,140.34967041015625,0.5841443538665771,840,232.42401744127272
13.399605860000003,700,251,176128,86,691.23,0.0003,0.2,-0.7473984695971012,0.00544648,-0.0025068914179428247,0.035888671875,324.65374755859375,0.3247601389884949,850,175.20822426080704
13.397891649999998,701,253,178176,87,676.87,0.0003,0.2,-0.6810710389167071,0.0066489205,0.00012976647703908384,0.066259765625,65.72808837890625,0.32340365648269653,860,116.90700820088387
14.979634499999998,701,256,180224,88,682.23,0.0003,0.2,-0.7025713805109263,0.012229207,-0.003888143452786608,0.119091796875,20.706565856933594,0.5219464004039764,870,121.95782247781753
17.82504952,703,259,182272,89,678.47,0.0003,0.2,-0.7005399951711297,0.007998401,-0.0004176679318334209,0.093359375,32.96928787231445,0.41273367404937744,880,99.61490696519613
20.493631089999997,704,261,184320,90,666.31,0.0003,0.2,-0.7263908181339502,0.0025148483,-0.0008427101805864367,0.031787109375,52.4791374206543,0.5838482081890106,890,103.11549363434315
25.32463525,705,264,186368,91,653.08,0.0003,0.2,-0.7967047115787864,0.007667049,-0.0030928836788007173,0.074755859375,60.49513626098633,0.33679598569869995,900,190.1391726449132
27.355686860000006,706,266,188416,92,633.99,0.0003,0.2,-0.6948265919461847,0.0022448201,-0.0010997423840308329,0.019873046875,222.51834106445312,0.2609344720840454,910,155.38471168577672
27.77204527,705,269,190464,93,627.88,0.0003,0.2,-0.7274203578010201,0.0035469888,-0.0014268886086938437,0.071630859375,38.15626907348633,0.39037418365478516,920,192.25031080543994
31.78103819,705,272,192512,94,622.5,0.0003,0.2,-0.7243581237271428,0.006501718,-0.0010802473210787867,0.06337890625,55.223628997802734,0.26031792163848877,930,93.46764113903046
31.982082049999995,706,275,194560,95,617.5,0.0003,0.2,-0.7033039843663573,0.00689964,0.0009723852504976094,0.048095703125,60.000606536865234,0.14379948377609253,940,91.30906790941954
37.50614454000001,705,278,196608,96,623.01,0.0003,0.2,-0.6821924898773432,0.005340226,-0.002478887391043827,0.036083984375,72.57097625732422,0.3056566119194031,950,228.11556891202926
40.40406259,705,281,198656,97,621.98,0.0003,0.2,-0.7124765686690807,0.0049396884,0.00035293509499751964,0.09541015625,47.55062484741211,0.3160495162010193,960,120.27811606824397
38.947213960000006,707,283,200704,98,614.51,0.0003,0.2,-0.7380089174956084,0.0051196236,-2.403874786978122e-05,0.02587890625,15.130066871643066,0.599341630935669,970,125.4009708225727
38.9698896,706,286,202752,99,605.01,0.0003,0.2,-0.7143417194485664,0.0044582747,-0.0023111432903533567,0.032177734375,115.5108642578125,0.21174949407577515,980,275.3236705720425
42.686932880000015,706,289,204800,100,602.64,0.0003,0.2,-0.7271785823628306,0.007953246,-0.0034523125981650083,0.084619140625,36.46895217895508,0.6136133968830109,990,114.61457270681858
46.23400512000001,706,292,206848,101,610.89,0.0003,0.2,-0.7290498923510313,0.0066938004,-0.0016049279089202172,0.060546875,88.24493408203125,0.5481233894824982,1000,164.7192193210125
52.506899250000004,707,295,208896,102,611.72,0.0003,0.2,-0.6696765160188078,0.015603055,-0.003147982079826761,0.08369140625,4.646421432495117,0.3812386393547058,1010,64.08120073080063
54.099890419999994,707,298,210944,103,600.65,0.0003,0.2,-0.7206335205584764,0.0060712304,-0.0003608585289839539,0.06376953125,24.75237464904785,0.2605985999107361,1020,122.44386751055717
55.69113981,708,300,212992,104,603.81,0.0003,0.2,-0.6714257119223476,0.003402193,-0.0010977745398122352,0.0404296875,592.353759765625,0.3945830464363098,1030,159.10461476147174
54.22393666000001,708,303,215040,105,603.47,0.0003,0.2,-0.6205513089895248,0.0072021815,-0.0020400617435370806,0.032861328125,156.42214965820312,0.6172754168510437,1040,140.16904044151306
52.59926344,708,306,217088,106,600.01,0.0003,0.2,-0.6879619119688869,0.009858653,-0.0025619242724133073,0.059521484375,49.54029846191406,0.4275956153869629,1050,217.49983210563659
54.183460159999996,708,309,219136,107,605.13,0.0003,0.2,-0.7319349687546491,0.008061269,-0.0014221448254829738,0.07001953125,29.564857482910156,0.4311285614967346,1060,158.7008215755224
54.914313549999996,708,312,221184,108,611.86,0.0003,0.2,-0.6406957687810063,0.014997575,-0.0014202714672137517,0.109912109375,100.86726379394531,0.723371833562851,1070,95.88543699756265
50.62231430999999,709,314,223232,109,610.65,0.0003,0.2,-0.6674086045473814,0.003744114,-0.0010520815500058233,0.043310546875,69.1465835571289,0.5664348006248474,1080,137.40204379707575
47.94541387,709,317,225280,110,610.84,0.0003,0.2,-0.7211885547265411,0.0023993328,-0.0009693479230918455,0.023193359375,52.667335510253906,0.2538467049598694,1090,247.24838154911996
47.73835828,708,320,227328,111,610.77,0.0003,0.2,-0.7206706931814552,0.0039012246,-0.0017674170183454407,0.031787109375,68.66304779052734,0.6669161021709442,1100,166.7237285912037
48.379287080000005,709,323,229376,112,607.46,0.0003,0.2,-0.5962596723809839,0.025369925,-0.006446273101028055,0.062548828125,20.276750564575195,0.6822516024112701,1110,186.55543820858003
48.70693246,708,326,231424,113,616.56,0.0003,0.2,-0.695414943434298,0.006648317,-0.004641738654936489,0.07607421875,44.62139129638672,0.716986894607544,1120,170.99648808538913
50.28002296,708,329,233472,114,625.69,0.0003,0.2,-0.6602801568806171,0.0071562487,-0.002702614439476747,0.164990234375,52.93611145019531,0.37504369020462036,1130,145.09772699922323
51.93072769,707,332,235520,115,630.95,0.0003,0.2,-0.6990176262333989,0.0037096369,-0.003080183758720523,0.074560546875,40.64237976074219,0.5712989866733551,1140,98.13497504740954
46.737319779999986,708,335,237568,116,636.08,0.0003,0.2,-0.7000700950622558,0.0068545383,-0.0016598954622168093,0.04912109375,20.83334732055664,0.4604527950286865,1150,107.69799373447896
47.86350041000001,707,338,239616,117,641.89,0.0003,0.2,-0.7658401440829039,0.012148364,-0.002275866719719488,0.141650390625,78.91387939453125,0.33914583921432495,1160,143.16906698197127
48.72707449000001,707,341,241664,118,642.79,0.0003,0.2,-0.6692584946751594,0.0019894426,-0.0007164114234910812,0.02421875,15.808558464050293,0.4157752990722656,1170,111.76492644101381
48.44590416999999,705,345,243712,119,647.1,0.0003,0.2,-0.6729906475171447,0.005059997,-0.0025707681943458738,0.08203125,227.19772338867188,0.49784499406814575,1180,142.52606223374605
48.94888157999999,706,347,245760,120,645.61,0.0003,0.2,-0.5913375158794224,0.006832971,-0.0010288404850143707,0.030126953125,32.45730209350586,0.3823644518852234,1190,173.50052385926247
51.13212952999999,705,351,247808,121,652.83,0.0003,0.2,-0.6865444842725992,0.015621194,-0.0034856720696552655,0.1283203125,6.283919334411621,0.5129991471767426,1200,66.25910570472479
50.578766399999985,705,354,249856,122,656.72,0.0003,0.2,-0.6072385113686323,0.0045661544,-0.00253657600551378,0.0546875,10.005327224731445,0.5356329083442688,1210,91.25520624220371
48.40445563,705,356,251904,123,661.21,0.0003,0.2,-0.7241661289706827,0.008399994,-0.0005766910689999349,0.06455078125,32.488685607910156,0.3116711974143982,1220,105.49745262861252
-389.8984990000001,677,3,2048,1,675.0,0.0003,0.2,-0.6931269038468599,0.0060876273,-0.0006988813445786945,0.0673828125,23.7425479888916,0.4083706736564636,1230,146.46978639513253
-385.8305813333334,653,6,4096,2,619.5,0.0003,0.2,-0.6771733833476901,0.0035255358,-0.002593490862636827,0.06943359375,187.4571533203125,0.4309312701225281,1240,192.58992822170256
-412.11383266666667,650,9,6144,3,671.2222222222222,0.0003,0.2,-0.7154677437618375,0.0039340993,-0.0024178812956961336,0.02880859375,17.601879119873047,0.3967779278755188,1250,203.83572714328767
