time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,train/approx_kl,train/value_loss,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/clip_fraction,train/learning_rate,train/loss
114688,141,-38.24136375999999,708.04,56,807,0.0066564153,140.177634100616,550,0.5278320610523224,-0.0031782493759237697,-0.7521307909861207,0.2,0.050537109375,0.0003,74.6436538696289
116736,145,-37.58099738999999,723.09,57,802,0.0026086457,79.79835242182017,560,0.6355116665363312,4.5821873209206386e-05,-0.8886718023568392,0.2,0.025390625,0.0003,44.102386474609375
118784,149,-30.44330078,740.37,58,796,0.0048656985,129.40704931914806,570,0.578466385602951,-0.0021501633513253183,-0.7795317303389311,0.2,0.052099609375,0.0003,7.121492385864258
120832,152,-26.661338750000006,746.39,59,793,0.0079849325,184.19603781998157,580,0.4815031886100769,-0.0031308699915825857,-0.9665207341313362,0.2,0.088134765625,0.0003,40.538604736328125
122880,154,-24.511678120000003,759.76,60,794,0.007584508,155.05013822317125,590,0.3650698661804199,-0.003723053845897084,-0.8210552889853716,0.2,0.04560546875,0.0003,66.37652587890625
124928,157,-18.198545600000003,775.24,61,792,0.0075040553,67.86094472855329,600,0.5685221254825592,-0.0018862238655856344,-0.7933283722028136,0.2,0.0923828125,0.0003,10.620572090148926
126976,160,-12.788945059999998,778.12,62,792,0.009500021,98.03354193121194,610,0.36811089515686035,-0.0032840503874467684,-0.7414841096848249,0.2,0.091748046875,0.0003,55.80230712890625
129024,162,-7.83863811,780.36,63,792,0.005413801,115.49073559939862,620,0.2904144525527954,-0.002955944335553795,-0.8128194268792868,0.2,0.047119140625,0.0003,75.00975799560547
131072,165,-5.524097279999998,780.38,64,789,0.0050832704,162.88983698785304,630,0.3163943290710449,-0.0013770057434157935,-0.7931168362498283,0.2,0.03212890625,0.0003,114.21302032470703
133120,168,0.8609849400000006,783.66,65,789,0.006575644,78.39409957677125,640,0.5812835097312927,-0.002272555010858923,-0.8703866388648749,0.2,0.099951171875,0.0003,73.97940826416016
135168,171,3.1078857099999997,778.55,66,789,0.0048605273,228.63902621269227,650,0.41399842500686646,-0.0004047125072247582,-0.8637903178110719,0.2,0.01875,0.0003,48.652740478515625
137216,175,3.5802733899999994,779.98,67,782,0.005156433,166.67937418222428,660,0.45738905668258667,-0.0034544301641290078,-0.8373200533911586,0.2,0.035107421875,0.0003,22.203231811523438
139264,177,5.28996858,773.5,68,782,0.012997445,111.41901116073132,670,0.6579987406730652,-0.003224350568052614,-0.8568182887509466,0.2,0.1369140625,0.0003,34.46879196166992
141312,180,5.84441016,768.04,69,782,0.008028373,89.406354367733,680,0.5524315536022186,-0.004469357850030065,-0.7917237782850861,0.2,0.091943359375,0.0003,10.032462120056152
143360,183,9.909671540000001,758.86,70,781,0.010498914,170.5986843660474,690,0.4288244843482971,-0.002645055484754266,-0.7857605736702681,0.2,0.092529296875,0.0003,81.15702819824219
145408,186,12.305821590000003,758.02,71,781,0.0049002357,159.97945134341717,700,0.33094853162765503,-0.0033609140125918204,-0.882641770131886,0.2,0.035693359375,0.0003,39.55335998535156
147456,189,18.040578410000002,748.14,72,779,0.0073232455,202.04714415371419,710,0.30649620294570923,-0.004185485104972031,-0.879144499823451,0.2,0.051708984375,0.0003,136.9049072265625
149504,191,19.00342484,726.75,73,779,0.008374852,139.72075605243444,720,0.4297525882720947,-0.004423642853362253,-0.8473593611270189,0.2,0.114306640625,0.0003,27.94878387451172
151552,194,20.385731980000003,710.87,74,779,0.0038434996,173.89342582821845,730,0.5287522077560425,-0.0022041155989427352,-0.8030299182981253,0.2,0.0375,0.0003,24.799654006958008
153600,197,20.499712199999998,694.34,75,779,0.004443729,303.3994628071785,740,0.23028433322906494,-0.0031600754566170506,-0.8295502711087466,0.2,0.046630859375,0.0003,112.46623229980469
155648,199,21.665253800000002,681.94,76,780,0.007883785,183.61798431575298,750,0.4530922770500183,-0.0038528004035470074,-0.814193038828671,0.2,0.065185546875,0.0003,59.11041259765625
157696,201,18.1759264,665.57,77,781,0.0049140546,159.43878201544285,760,0.6260712742805481,-0.0029684146811632672,-0.8258705113083125,0.2,0.030908203125,0.0003,41.842586517333984
159744,204,20.533936940000004,645.24,78,782,0.008019058,143.86192002147436,770,0.6236703395843506,-0.002972178812342463,-0.8279169650748373,0.2,0.05078125,0.0003,10.065445899963379
161792,206,19.672050090000006,633.49,79,782,0.0052382755,208.81523529291152,780,0.548660010099411,-0.0023291400422749573,-0.8886411180719733,0.2,0.040673828125,0.0003,53.45497131347656
163840,209,20.53835951,631.61,80,781,0.004498111,156.99182677268982,790,0.6832658052444458,-0.002135736680793343,-0.7596746006980538,0.2,0.048583984375,0.0003,39.214027404785156
165888,212,24.556820650000006,626.06,81,779,0.0052101277,106.28600247055292,800,0.8457265645265579,-0.004213885748322354,-0.7278759690001607,0.2,0.04833984375,0.0003,79.63524627685547
167936,215,26.766091430000003,610.17,82,779,0.005137455,91.71705973297358,810,0.3424575924873352,-0.0012929865308251465,-0.7004409052431584,0.2,0.03017578125,0.0003,17.33881950378418
169984,217,28.136511140000003,597.2,83,780,0.008091894,174.17459073662758,820,0.5578208565711975,-0.0012465949770557928,-0.8509508131071926,0.2,0.041162109375,0.0003,12.690330505371094
172032,220,28.575358850000008,590.09,84,780,0.006075045,97.7649978518486,830,0.6022393107414246,-0.002137817163747968,-0.8516945142298937,0.2,0.07158203125,0.0003,352.5302429199219
174080,222,29.853097500000004,578.73,85,780,0.0061059035,155.65519106686116,840,0.6805146038532257,-0.0021529362275032327,-0.8403535254299641,0.2,0.047314453125,0.0003,8.22774887084961
176128,225,30.563328500000008,573.48,86,781,0.0055255434,135.76962155103683,850,0.6669323146343231,-0.001890811753219168,-0.8476739702746272,0.2,0.057470703125,0.0003,21.369291305541992
