time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/policy_gradient_loss,train/loss,train/clip_fraction,train/n_updates,train/value_loss,train/explained_variance,train/learning_rate,train/clip_range,train/entropy_loss
135168,66,776.22,774,-6.293188389999998,174,0.0029245603,-0.0024237240242655387,116.30863952636719,0.031005859375,650,280.6309473693371,0.49451446533203125,0.0003,0.2,-0.7060386095196008
137216,67,764.71,777,0.7901792199999985,176,0.002616521,-0.002114390948190703,138.1861572265625,0.006396484375,660,341.12406941652296,0.564793586730957,0.0003,0.2,-0.7590230060741305
139264,68,759.14,779,13.432307100000001,178,0.00234525,-0.00222126081425813,79.30330657958984,0.0060546875,670,288.25961167216303,0.5757499933242798,0.0003,0.2,-0.760747953504324
141312,69,724.8,782,14.699984140000002,180,0.006080978,-0.00263304081527167,106.11662292480469,0.028857421875,680,238.73223655819893,0.33110666275024414,0.0003,0.2,-0.6692073691636324
143360,70,708.36,783,20.21593192,183,0.003938354,-0.0027465630428196164,414.24163818359375,0.024169921875,690,276.7301819562912,0.6232055723667145,0.0003,0.2,-0.6911631625145673
145408,71,692.8,785,25.04177666,185,0.006595902,-0.0033358306372974766,46.68304443359375,0.04296875,700,168.99110293388367,0.5247966647148132,0.0003,0.2,-0.6320624943822623
147456,72,665.06,785,30.108254459999998,187,0.0030064755,0.00010307825286872684,7.292068958282471,0.03232421875,710,119.20544069707394,0.6798447966575623,0.0003,0.2,-0.6353396339341998
149504,73,636.45,788,33.82809479,189,0.006380344,-0.0021592338889604434,6.320612907409668,0.073974609375,720,148.34206393659116,0.2784384489059448,0.0003,0.2,-0.7043738653883338
151552,74,606.77,789,36.33210549,191,0.0053179264,-0.001462503623588418,18.37877655029297,0.058056640625,730,144.7634744644165,0.5030814409255981,0.0003,0.2,-0.7464385321363807
153600,75,579.88,791,37.22751057000001,193,0.010461902,-0.0070493216000613755,24.824703216552734,0.06904296875,740,171.98208678364753,0.26124513149261475,0.0003,0.2,-0.7332688599824906
155648,76,559.66,793,38.77541732,196,0.0064760162,-0.0029702045445446855,82.03372955322266,0.068310546875,750,234.7328452795744,0.41955095529556274,0.0003,0.2,-0.7290849752724171
157696,77,539.67,795,38.63880708,198,0.0024869107,-0.0014453948260779725,106.32109069824219,0.02724609375,760,260.5177974939346,0.4561377763748169,0.0003,0.2,-0.6557892169803381
159744,78,526.89,794,42.589294849999995,200,0.006188333,-0.0009489178322837688,64.157958984375,0.04677734375,770,259.8887506723404,0.5401587784290314,0.0003,0.2,-0.7387147337198258
161792,79,516.62,795,44.52059584999999,203,0.006454901,-0.0036843435475020668,329.1894836425781,0.091015625,780,110.64604575634003,0.8575768172740936,0.0003,0.2,-0.7007620632648468
163840,80,503.58,796,44.323999119999996,205,0.0057340246,-0.0021678155004337895,14.161689758300781,0.0859375,790,67.92001253068447,0.8683246970176697,0.0003,0.2,-0.6966372763738036
165888,81,473.8,798,49.85822378000001,207,0.0038956502,-0.0013534730744140689,35.099239349365234,0.053271484375,800,130.91545134931803,0.5386078059673309,0.0003,0.2,-0.6050227399915457
