time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/learning_rate,train/n_updates,train/std,train/clip_range,train/loss,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/explained_variance
55,-15.63583971,840.77,511,112640,220,-2.1876793250441553,0.0003,540,0.7250075340270996,0.2,1.8443397283554077,43.2147792454809,0.075439453125,-0.0019227408643928356,0.0072453683,0.48427700996398926
56,-13.321707919999996,855.33,513,114688,223,-2.1806787699460983,0.0003,550,0.717431902885437,0.2,27.359468460083008,84.11749478727579,0.070654296875,-0.0046929897405789235,0.009163888,0.6504918932914734
57,-11.911039719999998,865.11,514,116736,227,-2.161900656670332,0.0003,560,0.7133989334106445,0.2,4.871399879455566,31.895138232037425,0.071630859375,0.0028229336203366984,0.004932395,0.8613953441381454
58,-9.503872679999999,867.35,511,118784,232,-2.15708037763834,0.0003,570,0.7145543098449707,0.2,50.24857711791992,125.80741286426783,0.054931640625,-0.0037456171710800847,0.0071286485,0.3702723979949951
59,-6.090010969999998,883.05,511,120832,236,-2.134722089022398,0.0003,580,0.6968652009963989,0.2,1.4031882286071777,49.86886660456658,0.065478515625,-0.0031139489423367196,0.0077310847,0.7595090419054031
60,-5.0177942500000015,896.56,512,122880,239,-2.1036052741110325,0.0003,590,0.6924965977668762,0.2,10.161492347717285,56.5778723731637,0.060009765625,-0.005518317771202419,0.005751573,0.7359095811843872
61,-5.852812390000002,896.56,512,124928,243,-2.1137592785060404,0.0003,600,0.7025346755981445,0.2,2.5012412071228027,39.08469993695617,0.1076171875,-0.008465097961015999,0.0095092645,0.7736760079860687
62,-4.742570330000001,899.11,510,126976,248,-2.100532554090023,0.0003,610,0.6866172552108765,0.2,4.597373008728027,29.538615373522042,0.09169921875,-0.0011130071987281553,0.008255376,0.8658728301525116
63,-4.37803171,894.06,508,129024,253,-2.073247292637825,0.0003,620,0.6830834150314331,0.2,1.9341670274734497,38.01854392886162,0.112109375,-0.00585903992105159,0.009231806,0.7343691289424896
64,-2.31756145,895.29,509,131072,257,-2.0689751423895357,0.0003,630,0.6812902092933655,0.2,314.1982727050781,88.87981042191386,0.06435546875,-0.0032857505073479844,0.005559046,0.5386725068092346
65,0.26373696000000035,902.13,505,133120,263,-2.061226687580347,0.0003,640,0.6782790422439575,0.2,2.3171615600585938,62.8587613530457,0.07080078125,-0.000690870571997948,0.0045444435,0.7268394529819489
66,3.174669420000001,905.28,505,135168,267,-2.0534968346357347,0.0003,650,0.6762778162956238,0.2,9.657211303710938,46.15330684781075,0.0248046875,-0.002840967017255025,0.0026951572,0.7648039609193802
67,1.6909040800000008,896.84,504,137216,272,-2.046380140632391,0.0003,660,0.6731224060058594,0.2,28.64836311340332,97.13806458637119,0.079150390625,-0.0002144966012565419,0.006309106,0.6918736398220062
68,2.539097340000002,903.59,502,139264,277,-2.031353249400854,0.0003,670,0.6675627827644348,0.2,55.77004623413086,109.63542106747627,0.064404296875,-0.003361169590789359,0.0043226713,0.6453044712543488
