time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,train/approx_kl,train/explained_variance,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/value_loss,train/loss
110592,652.27,-52.839595689999996,54,135,815,0.009367298,0.8608389645814896,0.0003,530,-1.0107452679425477,-0.0018329287893720902,0.2,0.07265625,36.99728637207299,1.0240912437438965
112640,669.18,-53.34086076,55,139,808,0.008801688,0.8676769137382507,0.0003,540,-0.9728407325223088,-0.0033551608823472632,0.2,0.087744140625,36.58667060956359,0.4465731084346771
114688,681.72,-49.55908321000001,56,141,811,0.0064142174,0.861639142036438,0.0003,550,-1.005279320664704,-0.0009864393512543756,0.2,0.04521484375,35.732034283876416,2.940155029296875
116736,696.78,-43.81120142,57,143,811,0.0020434957,0.3929483890533447,0.0003,560,-0.8489700069651007,-0.0009056837698153686,0.2,0.00283203125,296.5931627690792,185.67283630371094
118784,713.85,-44.572693359999995,58,147,807,0.0032413932,0.7087374627590179,0.0003,570,-0.9172730395570398,-0.0014542053657351061,0.2,0.002880859375,179.55513350963594,54.37712860107422
120832,716.38,-41.848361530000005,59,150,802,0.008855952,0.8936258181929588,0.0003,580,-0.8438616190105677,-0.001998346707841847,0.2,0.0525390625,42.45004406869411,2.3667359352111816
122880,726.39,-37.334917340000004,60,152,803,0.013828829,0.7327395081520081,0.0003,590,-0.8269252171739936,-0.0017254768812563271,0.2,0.068896484375,74.78715927153826,11.833470344543457
124928,734.63,-35.49916581,61,156,798,0.001814962,0.6724715530872345,0.0003,600,-0.8412808774039149,-0.0006386296667187707,0.2,0.00283203125,156.1397959947586,51.583656311035156
126976,745.61,-33.18228662,62,159,796,0.010786891,0.7939474880695343,0.0003,610,-0.9510791651904583,-0.005011661621392704,0.2,0.1234375,35.496895260922614,2.178595781326294
129024,756.98,-29.417293400000002,63,162,794,0.013994457,0.6070905327796936,0.0003,620,-0.9054315341636539,-0.004187844710031641,0.2,0.167236328125,115.74875678494573,17.47918128967285
131072,753.52,-26.589374149999998,64,165,793,0.01342722,0.7241483628749847,0.0003,630,-0.8739709137007594,-0.009210112778964686,0.2,0.18056640625,96.94020831435918,9.595267295837402
133120,767.86,-24.783763889999996,65,168,791,0.005688446,0.6203508675098419,0.0003,640,-0.9013429164886475,-0.00310332230055792,0.2,0.0212890625,159.14435662329197,45.41108703613281
135168,781.85,-19.0535557,66,170,792,0.006504167,0.8324581533670425,0.0003,650,-0.8551750659942627,-0.003338362948852591,0.2,0.058642578125,44.71565820164979,4.9251790046691895
