time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/loss,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/clip_fraction,train/value_loss
82,742,555.45,226,8.288388250000002,167936,-0.7834017327055335,-0.0040255968022393064,0.0003,8.08974838256836,0.0059373397,0.7540147602558136,810,0.2,0.097998046875,98.29855535924435
83,745,531.71,228,8.02688584,169984,-0.7997445976361632,-0.002388764711213298,0.0003,26.41300392150879,0.0033024687,0.6790007650852203,820,0.2,0.066455078125,241.49704750180246
84,745,517.96,230,7.214065290000001,172032,-0.7663566287606954,-0.0012816803267924116,0.0003,114.25686645507812,0.0034738353,0.5174973011016846,830,0.2,0.033154296875,329.9086259186268
85,746,507.84,233,4.176981390000002,174080,-0.7161773182451725,-0.002757837245007977,0.0003,39.472957611083984,0.0043602125,0.6737441122531891,840,0.2,0.06259765625,166.89115051031112
86,747,509.88,235,2.3438779700000025,176128,-0.6975166093558073,-0.0023488467137212864,0.0003,304.85107421875,0.008020832,0.6964894831180573,850,0.2,0.05263671875,162.20175017416477
87,747,490.17,238,-2.8592594799999973,178176,-0.7736285835504532,-0.001827935849360074,0.0003,7.120088577270508,0.012874904,0.6691517233848572,860,0.2,0.110205078125,119.67832064256072
88,748,488.62,240,1.7937431700000013,180224,-0.7993757702410221,-0.0006228548481885809,0.0003,48.64104461669922,0.00183087,0.7255271673202515,870,0.2,0.0208984375,187.06353246569634
89,749,468.4,243,2.0537451100000013,182272,-0.806043172441423,-0.001626686610688921,0.0003,8.960845947265625,0.0037427437,0.4472482204437256,880,0.2,0.035009765625,93.53310363516212
90,750,462.26,245,0.4265169300000029,184320,-0.8100084755569696,-0.0022865969898703043,0.0003,40.29936981201172,0.005892699,0.5039112269878387,890,0.2,0.07783203125,229.36328745484352
91,751,456.79,248,-6.514442,186368,-0.8534808522090316,-0.0015517994204856222,0.0003,34.829166412353516,0.0037049525,0.7056943774223328,900,0.2,0.05849609375,169.5823978483677
92,751,467.14,250,-5.851001699999999,188416,-0.8022127762436867,-0.0017209572917636252,0.0003,5.546873092651367,0.0058859494,0.8538325428962708,910,0.2,0.0509765625,91.25997653901577
93,753,456.88,252,-13.177429649999999,190464,-0.7744431177154183,-0.004081879962177482,0.0003,36.0549201965332,0.0068568042,0.835357129573822,920,0.2,0.060498046875,93.6760229960084
94,754,452.04,255,-10.586135499999997,192512,-0.8423695364966989,-0.0032574611788732,0.0003,52.73288345336914,0.0042427313,0.738007515668869,930,0.2,0.02294921875,200.79150169491768
95,756,455.41,257,-13.308743920000001,194560,-0.7816606823354959,-0.0008228963484725682,0.0003,247.44873046875,0.001890427,0.10014736652374268,940,0.2,0.0078125,279.3301904425025
96,755,458.89,260,-9.265750440000001,196608,-0.7319268673658371,-0.00403554150252603,0.0003,15.263864517211914,0.008191143,0.9429687112569809,950,0.2,0.06220703125,48.553330178558824
97,755,470.21,262,-5.773809870000001,198656,-0.8259708561003208,-0.0015218260534311412,0.0003,370.5057373046875,0.0059559997,0.5373711884021759,960,0.2,0.072314453125,132.803293928504
98,753,470.5,266,-8.26083173,200704,-0.6927180545404553,-0.002928207095101243,0.0003,121.40489196777344,0.010415217,0.5939109921455383,970,0.2,0.056689453125,197.73372840285302
99,754,463.65,268,-14.145452720000002,202752,-0.7078472584486007,-0.0028876700838736725,0.0003,62.66950607299805,0.012830992,0.708567202091217,980,0.2,0.063818359375,154.2630856901407
100,755,464.89,271,-5.36338189,204800,-0.8160269074141979,-0.0023069936542015057,0.0003,52.882598876953125,0.0051697325,0.7518036216497421,990,0.2,0.049853515625,188.4630702763796
101,755,471.66,273,-5.22969589,206848,-0.7305985191836953,-0.001349785346610588,0.0003,109.50435638427734,0.0048564393,0.6184674799442291,1000,0.2,0.030859375,175.7761476755142
102,754,475.19,276,-0.8112792500000006,208896,-0.7301731046289206,-0.0035219729856180494,0.0003,27.15869903564453,0.015400222,0.7267987132072449,1010,0.2,0.08720703125,66.59815286993981
103,756,474.22,278,1.9215951799999988,210944,-0.6622240191325546,-0.005134280501806643,0.0003,69.22920989990234,0.0053192023,0.6648949682712555,1020,0.2,0.041552734375,168.777962949872
104,757,469.2,281,-4.528524459999999,212992,-0.8029497358947992,-0.00465700335407746,0.0003,60.545719146728516,0.005431702,0.654730349779129,1030,0.2,0.051611328125,248.06277154684068
105,758,468.27,283,2.5296867199999995,215040,-0.8234482713043689,-0.003969110478647053,0.0003,41.01478576660156,0.006311007,0.6557564735412598,1040,0.2,0.1248046875,223.10913158655165
106,760,472.59,285,-3.1173135,217088,-0.7537322491407394,-0.0023628250884939915,0.0003,232.9842987060547,0.004066574,0.5847188234329224,1050,0.2,0.02314453125,203.7711710870266
107,760,474.63,288,-3.2781850899999996,219136,-0.8318556843325495,-0.0033886649092892186,0.0003,25.466962814331055,0.00487819,0.7432995736598969,1060,0.2,0.059033203125,172.27257145643233
108,761,467.48,290,-3.4155982999999988,221184,-0.6669436359778047,-0.001892663758189883,0.0003,44.94607925415039,0.0037149212,0.5898295342922211,1070,0.2,0.0369140625,142.31444151103497
109,761,465.18,293,-0.12497100000000132,223232,-0.8243685284629464,-0.0035883795673726125,0.0003,67.00157928466797,0.0064964714,0.7067292928695679,1080,0.2,0.08037109375,161.41515148878096
110,761,469.54,295,2.4081856499999996,225280,-0.8267299151048064,-0.005566979173454456,0.0003,13.669472694396973,0.009376952,0.8547577857971191,1090,0.2,0.122412109375,103.42579085826874
111,759,468.9,299,-0.2356034800000029,227328,-0.6779140884056687,-0.003991017676889896,0.0003,7.433417797088623,0.010208055,0.511214941740036,1100,0.2,0.122412109375,70.23229433000088
112,760,474.8,301,-1.9168044500000028,229376,-0.7494017815217375,-0.002483830972050782,0.0003,131.3307342529297,0.009911429,0.4148993492126465,1110,0.2,0.161328125,149.45814182162286
113,761,477.91,304,4.989619239999997,231424,-0.7279122110456229,-0.002263948931795312,0.0003,57.459022521972656,0.0064920397,0.76492939889431,1120,0.2,0.06904296875,131.22314924001694
114,761,483.52,306,5.385661829999998,233472,-0.7752202646806836,-0.004448024296289077,0.0003,171.15443420410156,0.006988844,0.5152296423912048,1130,0.2,0.12177734375,124.72510634064675
115,762,476.73,309,10.927680219999997,235520,-0.6937568303197622,-0.00023748196472297422,0.0003,59.631229400634766,0.005380993,0.7791575342416763,1140,0.2,0.03359375,104.22163789570331
116,761,484.8,312,15.826922589999999,237568,-0.740055306442082,-0.0028513675730209797,0.0003,391.39019775390625,0.0047914432,0.7985825687646866,1150,0.2,0.01826171875,178.53545102477074
117,761,489.91,314,19.406614519999998,239616,-0.7522409612312912,-0.0010115748380485456,0.0003,29.63602638244629,0.010378411,0.6208086609840393,1160,0.2,0.11220703125,78.07537206858396
118,762,491.11,316,21.02499113,241664,-0.6702022947371006,-0.002580242489420925,0.0003,5.533153533935547,0.0030713025,0.6130412518978119,1170,0.2,0.020751953125,189.9689796447754
119,763,487.61,319,25.5765294,243712,-0.7159295501187444,-0.0022113241054285025,0.0003,67.67012023925781,0.0060363496,0.6396149694919586,1180,0.2,0.066357421875,178.2700671672821
120,764,477.04,321,22.9130973,245760,-0.6877438753843308,-0.003154269904916873,0.0003,74.61512756347656,0.004327446,0.6986145675182343,1190,0.2,0.037451171875,186.1197461336851
121,765,470.19,323,24.98851357000001,247808,-0.7166778407990932,-0.0014764373627258465,0.0003,47.40317153930664,0.007853526,0.7406704425811768,1200,0.2,0.066162109375,141.35296825766562
122,765,469.83,326,29.294693840000004,249856,-0.6322145466692746,-0.003987986045831349,0.0003,43.28234100341797,0.003409647,0.7003901600837708,1210,0.2,0.045166015625,195.414181381464
123,766,469.12,328,25.93565965,251904,-0.7699867384508252,-0.0031367767180199733,0.0003,36.56181335449219,0.008001378,0.8363807797431946,1220,0.2,0.05595703125,125.70781231224537
1,1229,501.25,1,-300.7375,2048,-0.7480780377984046,-0.0019721287666470745,0.0003,20.601823806762695,0.003752573,0.4572531580924988,1230,0.2,0.043115234375,189.85472345650197
2,1087,448.0,3,-347.70000000000005,4096,-0.7445728359743953,-0.005764712157542817,0.0003,16.72153663635254,0.010234911,0.503113180398941,1240,0.2,0.127587890625,147.1257472574711
3,1004,467.0769230769231,6,-312.9423076923077,6144,-0.7962696632370353,-0.0029178023272834253,0.0003,16.426481246948242,0.011559135,0.6398779153823853,1250,0.2,0.11162109375,199.54867713451387
4,913,463.3125,8,-298.0125,8192,-0.7027844915166497,-0.0019591132062487305,0.0003,11.419793128967285,0.008700315,0.8673550933599472,1260,0.2,0.08662109375,83.93862414956092
5,905,482.04761904761904,11,-281.03809523809525,10240,-0.6198685304261744,-0.005105333458050154,0.0003,15.026457786560059,0.022672415,0.8428236097097397,1270,0.2,0.117919921875,104.42857486903668
6,848,486.16,14,-277.96,12288,-0.6650905285030604,-0.0018199123034719378,0.0003,11.986841201782227,0.008787606,0.9060022681951523,1280,0.2,0.060205078125,68.01886767297984
7,849,465.0689655172414,16,-284.8137931034483,14336,-0.7109528468921781,-0.006255567916377913,0.0003,54.7246208190918,0.008868036,0.9546213448047638,1290,0.2,0.083642578125,64.25088026076556
8,863,461.8,18,-278.2942857142857,16384,-0.6865321857854724,-0.0022283079801127315,0.0003,19.804729461669922,0.0027497378,0.9467592984437943,1300,0.2,0.04111328125,86.83926939219236
9,878,441.3170731707317,20,-269.5609756097561,18432,-0.6935900453478098,-0.002654929527489003,0.0003,41.94518280029297,0.0044820816,0.8919995501637459,1310,0.2,0.034423828125,152.51419853568078
10,880,428.4347826086956,23,-266.10434782608695,20480,-0.6864982180297374,-0.004416200422565453,0.0003,41.81792449951172,0.0093302885,0.9144520983099937,1320,0.2,0.078369140625,116.30490991473198
11,886,446.82,25,-265.885,22528,-0.6699356123805046,0.0001714584926958196,0.0003,27.14741325378418,0.0057520997,0.9622803777456284,1330,0.2,0.049951171875,48.77934091836214
12,894,438.05357142857144,27,-254.52232142857142,24576,-0.7102068422362209,-0.0029259489056130406,0.0003,53.18157196044922,0.009207827,0.9626023285090923,1340,0.2,0.131005859375,42.70107791349292
