rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/approx_kl,train/loss,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,train/n_updates,train/clip_range,train/clip_fraction
919.72,157696,77,220,-4.69138572,715,-0.0020802708088012876,0.0069949133,7.260324001312256,-0.7781260281801223,0.0003,61.71252864301205,0.5415780544281006,760,0.2,0.085791015625
921.75,159744,78,223,-4.540407389999999,715,-0.0018598102389660199,0.0076684835,69.15376281738281,-0.8177605761215091,0.0003,82.54407000467181,0.5073096454143524,770,0.2,0.056103515625
920.05,161792,79,226,-3.495732679999999,713,-0.0017504284594906494,0.0034722863,17.211942672729492,-0.8157168386504055,0.0003,123.23545742928982,0.3862799406051636,780,0.2,0.044580078125
918.57,163840,80,230,-3.6776099299999987,710,-0.001876386958610965,0.0051681064,6.144214630126953,-0.8466928759589791,0.0003,60.81192767694593,0.570601612329483,790,0.2,0.1169921875
918.57,165888,81,233,-3.7234610299999984,709,-0.003943050772068091,0.008454872,41.36100769042969,-0.8745235053822398,0.0003,67.00078094080091,0.5499870181083679,800,0.2,0.068505859375
915.2,167936,82,236,-5.491088699999999,709,-0.0036560206426656805,0.016116355,1.9497060775756836,-0.7886291710659862,0.0003,33.95222805924713,0.7400180101394653,810,0.2,0.12041015625
911.49,169984,83,240,-5.225811650000001,707,-0.003093405678373529,0.008876513,4.70540189743042,-0.8463326327502727,0.0003,77.27339227721095,0.4766213893890381,820,0.2,0.0779296875
911.49,172032,84,243,-5.1301599399999995,705,-0.0009628439282096223,0.01576341,8.259940147399902,-0.7692307008430361,0.0003,108.89780075028538,0.5140296220779419,830,0.2,0.06708984375
909.13,174080,85,248,-3.915715939999999,701,-0.0022879117095726542,0.0060182493,4.393295764923096,-0.8184262776747346,0.0003,35.141549456119535,0.7898116111755371,840,0.2,0.07578125
902.96,176128,86,250,-3.254494299999999,701,-0.0033920567453606053,0.005584632,4.7901930809021,-0.8235994964838028,0.0003,63.41275540143251,0.401326060295105,850,0.2,0.056689453125
902.96,178176,87,254,-3.2014178399999986,700,-0.0010255949790007434,0.00569275,16.880931854248047,-0.758339230529964,0.0003,194.01236619651317,0.26068115234375,860,0.2,0.064013671875
901.95,180224,88,258,-2.6638038299999995,697,-0.0037927784564089962,0.012067855,4.355868339538574,-0.7809292249381542,0.0003,37.38652261570096,0.7203093469142914,870,0.2,0.157763671875
896.51,182272,89,261,-6.5915570300000015,695,-0.006253040308365598,0.03433098,12.271209716796875,-0.6996424404904247,0.0003,50.484355663508175,0.38750141859054565,880,0.2,0.13125
890.35,184320,90,265,-7.510694910000002,695,-0.0013360839293454774,0.0031304355,42.5539665222168,-0.7738140318542719,0.0003,191.8982334136963,0.2667396664619446,890,0.2,0.054833984375
891.46,186368,91,268,-7.164422790000001,693,-0.0013679492731171194,0.0045272713,10.819791793823242,-0.7636434432119131,0.0003,149.06982517540456,0.334974467754364,900,0.2,0.01806640625
887.66,188416,92,272,-6.097202450000003,692,-0.0006024682224960998,0.0090409815,57.794281005859375,-0.75531170014292,0.0003,91.91443439126014,0.49403703212738037,910,0.2,0.071484375
886.04,190464,93,274,-10.298823370000003,693,-0.0012474594301238539,0.0051984168,12.518111228942871,-0.8168736010789871,0.0003,101.60707574859262,0.5065256059169769,920,0.2,0.051416015625
879.54,192512,94,277,-12.034373140000003,693,6.213538363226689e-05,0.0069574034,44.98820877075195,-0.8010861732065677,0.0003,89.87474725544453,0.7770578563213348,930,0.2,0.05126953125
879.19,194560,95,280,-12.847309930000003,693,-0.0015874168151640334,0.006416672,6.935502052307129,-0.7323250249028206,0.0003,132.50879887491465,0.4517902135848999,940,0.2,0.07001953125
878.16,196608,96,283,-13.69498248,693,-0.00011894373456016183,0.0071529485,7.91860294342041,-0.7910903619602323,0.0003,49.27076954469085,0.8182330578565598,950,0.2,0.10185546875
872.7,198656,97,286,-13.20652315,693,-0.001959263983007986,0.0072988505,147.97035217285156,-0.7634750001132489,0.0003,57.056432105600834,0.6842950880527496,960,0.2,0.05068359375
872.6,200704,98,291,-15.815660909999998,688,-0.0017826037037593778,0.0047415746,50.38213348388672,-0.7359464565292001,0.0003,154.6179460167885,0.35735535621643066,970,0.2,0.066943359375
875.66,202752,99,295,-12.001004279999997,685,-0.007977023588318843,0.014325386,14.0912446975708,-0.7701634388417006,0.0003,65.97388712465764,0.6999194324016571,980,0.2,0.08779296875
873.98,204800,100,299,-13.194457299999996,684,-0.002823055501357885,0.006974985,5.491896152496338,-0.7471348406746984,0.0003,41.9206290833652,0.8073227256536484,990,0.2,0.07861328125
877.65,206848,101,302,-10.452795950000002,684,-0.002666466718437732,0.006379244,40.954463958740234,-0.7684078227728606,0.0003,152.6298393458128,0.5098402798175812,1000,0.2,0.102587890625
874.45,208896,102,305,-9.899775539999997,683,-0.0028604575934878087,0.009383483,52.79069137573242,-0.7539180036634207,0.0003,112.56333417966962,0.4250985383987427,1010,0.2,0.06279296875
872.31,210944,103,308,-11.31787889,683,-0.001633933728589909,0.008536665,30.99338722229004,-0.7192788379266858,0.0003,147.60921777039766,0.5862469375133514,1020,0.2,0.0728515625
