time/iterations,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/approx_kl,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_fraction,train/value_loss,train/loss
103,210944,677,38.36514175,676.92,311,-0.0018579579176730477,0.7135805487632751,0.2,0.0043361243,0.0003,1020,-0.8081728383898735,0.073681640625,137.08008699342608,11.81571102142334
104,212992,679,44.458992200000004,675.25,313,-0.002806404751027003,0.43399208784103394,0.2,0.009027677,0.0003,1030,-0.7759889524430037,0.064599609375,66.94339317083359,2.4511213302612305
105,215040,679,42.04950752999999,668.29,316,-0.0022255478834267706,0.5302147567272186,0.2,0.003915836,0.0003,1040,-0.7523859357461333,0.05078125,88.37766055837274,9.90468692779541
106,217088,679,42.26057425,659.54,319,-0.00340491289171041,0.3566638231277466,0.2,0.010445932,0.0003,1050,-0.7685704331845045,0.0755859375,128.87508920505644,152.58804321289062
107,219136,681,44.74255832000001,656.58,321,-0.001449457246781094,0.5679507553577423,0.2,0.0026565497,0.0003,1060,-0.7148985542356968,0.011181640625,149.81843640208245,34.29915237426758
108,221184,681,44.31031577999999,660.98,324,-0.0029593259667308304,0.7667027115821838,0.2,0.0039511174,0.0003,1070,-0.8224105190485715,0.047998046875,97.418475972116,16.47417449951172
109,223232,681,45.438826000000006,659.49,327,-0.001982242160374881,0.7358359694480896,0.2,0.004202445,0.0003,1080,-0.7938383478671313,0.031591796875,140.7079839333892,13.491142272949219
110,225280,682,44.72043464,655.87,330,-0.0011844904882309492,0.6625036001205444,0.2,0.0045828675,0.0003,1090,-0.6969060381874442,0.06875,85.38278966844082,13.343692779541016
111,227328,682,45.847240740000004,660.1,333,-0.003932603843713878,0.5406603515148163,0.2,0.0069487486,0.0003,1100,-0.7762034352868795,0.0896484375,176.14831082224845,98.2951431274414
112,229376,682,47.885543160000005,665.56,336,3.15870376653038e-05,0.39353102445602417,0.2,0.002933909,0.0003,1110,-0.7619294855743647,0.0162109375,86.5984459400177,23.828664779663086
113,231424,680,49.97688217000001,664.85,340,-0.00029662425367860124,0.9014066606760025,0.2,0.010890625,0.0003,1120,-0.8431117741391063,0.106396484375,22.74414867311716,2.55379319190979
114,233472,681,43.3878059,669.42,342,-0.0018207934277597814,0.5081973075866699,0.2,0.0039945766,0.0003,1130,-0.8108625981956721,0.01923828125,64.44116941466928,8.214688301086426
115,235520,680,43.753266640000014,656.87,346,-0.002607898847600154,0.4644981026649475,0.2,0.0052454537,0.0003,1140,-0.8039451263844967,0.025341796875,174.429834972322,14.3483304977417
116,237568,680,42.67910220000001,658.84,349,-0.0019133093273921986,0.6870953440666199,0.2,0.0030304906,0.0003,1150,-0.7849074335768819,0.014208984375,155.1560948431492,49.801918029785156
117,239616,679,44.77534276,668.06,352,-0.000868192603229545,0.7028644979000092,0.2,0.0033696871,0.0003,1160,-0.7380910450592637,0.013818359375,68.07407325208187,6.606222152709961
118,241664,678,42.61363386,670.82,356,-0.0018316163113922812,0.7792820632457733,0.2,0.007268396,0.0003,1170,-0.6743592260405421,0.055712890625,56.34911220297217,2.7706613540649414
119,243712,679,45.42896578999999,675.96,358,-0.0011553014064702438,0.8096352070569992,0.2,0.005482249,0.0003,1180,-0.6917791541665792,0.0306640625,107.21876810789108,38.13163375854492
