rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/loss,train/n_updates,train/value_loss
807.9,2.4724698200000006,94,270,711,192512,-0.8578281618654728,0.0003,0.45067065954208374,0.120654296875,0.009154238,-0.00010792235916596837,0.2,45.57597351074219,930,105.88057178929448
812.09,3.891754200000002,95,274,709,194560,-0.8441427716985345,0.0003,0.7158125936985016,0.08251953125,0.00892246,-0.0032763774885097518,0.2,2.1665945053100586,940,37.16088969707489
812.6,4.730634050000001,96,277,708,196608,-0.863844339363277,0.0003,0.7637490332126617,0.07548828125,0.0072742356,-0.0034781477683281992,0.2,1.3765044212341309,950,35.352408684417604
809.88,4.310853510000001,97,280,707,198656,-0.7428884105756879,0.0003,0.6225546300411224,0.099169921875,0.0071758553,-0.00173372936915257,0.2,38.161739349365234,960,128.7109109044075
805.3,6.518573070000002,98,284,705,200704,-0.7973254853859544,0.0003,0.7414862513542175,0.014453125,0.0044351025,-0.0007441391153406585,0.2,6.891452312469482,970,69.14844582155347
798.19,6.051083190000002,99,287,704,202752,-0.7925404254347086,0.0003,0.636935830116272,0.056298828125,0.0041043228,-0.0010905610368354246,0.2,57.85739517211914,980,80.67881338484585
794.03,7.2837865900000045,100,290,704,204800,-0.7418276123702526,0.0003,0.6103355288505554,0.068212890625,0.005693361,-0.004558102288865484,0.2,60.8151741027832,990,116.33556829616427
788.01,10.275891230000003,101,293,703,206848,-0.7759528892114759,0.0003,0.6952378749847412,0.039404296875,0.0036344049,-0.00043674179396475666,0.2,18.45659828186035,1000,94.19619900733232
787.66,8.58580715,102,296,704,208896,-0.8182773565873503,0.0003,0.5503448247909546,0.027734375,0.005604557,-0.0005579943255725084,0.2,6.973328113555908,1010,96.5883429273963
782.49,9.00265959,103,298,705,210944,-0.730632790736854,0.0003,0.6292659640312195,0.0541015625,0.004049101,-0.0026149317403906026,0.2,305.9059143066406,1020,201.11549971401692
782.67,9.482870770000002,104,302,705,212992,-0.7613984102383256,0.0003,0.7078297138214111,0.0388671875,0.005678232,-0.0012413956985255937,0.2,11.324670791625977,1030,131.012720939517
778.31,10.039423340000003,105,305,704,215040,-0.7883127061650157,0.0003,0.7220761179924011,0.0888671875,0.0032789183,0.0021539643792493736,0.2,15.237281799316406,1040,48.57390583269298
777.93,13.403660720000003,106,308,704,217088,-0.8227185606956482,0.0003,0.7240214645862579,0.050732421875,0.0052415095,-0.001598367535189027,0.2,1.8953851461410522,1050,85.56865963339806
772.89,9.873490580000002,107,311,703,219136,-0.782996765524149,0.0003,0.6128379702568054,0.077587890625,0.0073216734,-0.0017150565545307472,0.2,20.632619857788086,1060,96.60719522386789
771.16,14.662525019999999,108,313,704,221184,-0.8357927605509758,0.0003,0.8931883424520493,0.05068359375,0.0050615068,-0.00389088008669205,0.2,6.0266923904418945,1070,53.68393042609095
772.37,18.366887950000002,109,316,704,223232,-0.8261516524478794,0.0003,0.7463821470737457,0.115478515625,0.010309596,-0.003873403649777174,0.2,8.003304481506348,1080,112.3665133945644
774.84,20.165205030000003,110,321,700,225280,-0.7917001284658909,0.0003,0.6150532960891724,0.0748046875,0.005334652,-0.002078173942209105,0.2,30.590425491333008,1090,131.65166797190903
775.46,16.359503620000005,111,323,701,227328,-0.7310038458555936,0.0003,0.687163770198822,0.032568359375,0.0024157157,-0.0008094698885543039,0.2,6.543808937072754,1100,91.43910904340446
778.69,15.071742670000003,112,327,701,229376,-0.8768065717071295,0.0003,0.5736907422542572,0.052685546875,0.005426035,-0.0009811875737796073,0.2,26.843149185180664,1110,154.3386897906661
775.46,20.581669579999996,113,329,702,231424,-0.8050656815990805,0.0003,0.7197273075580597,0.135595703125,0.011227479,0.0010742800273874308,0.2,1.8390743732452393,1120,90.20316320471466
773.82,19.769347229999997,114,333,699,233472,-0.7465123301371932,0.0003,0.4768598675727844,0.080224609375,0.010682131,-0.0016689048996340716,0.2,30.55331039428711,1130,124.86483323276043
777.3,19.06048254,115,338,696,235520,-0.8919842636212707,0.0003,0.47100746631622314,0.12255859375,0.010155568,-0.002975267735746456,0.2,3.8984086513519287,1140,67.12181237712502
777.23,20.20885215,116,341,695,237568,-0.8293156692758202,0.0003,0.7643168121576309,0.148583984375,0.010238247,-0.0020193391072098167,0.2,1.0577105283737183,1150,36.25471375528723
