rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/approx_kl,train/clip_range,train/learning_rate,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/loss
-52.92393188,96256,264,363,484.99,47,0.0031702635,0.2,0.0003,-0.9643164180219174,460,0.4417515993118286,0.020703125,239.0797876417637,-0.0022668610428809187,253.65777587890625
-46.00673331000001,98304,267,367,500.02,48,0.003905997,0.2,0.0003,-0.9188876824453474,470,0.41298627853393555,0.01611328125,257.05277527570723,-0.0036869679046503735,50.04140853881836
-46.979365969999996,100352,270,371,504.08,49,0.004483069,0.2,0.0003,-0.8795100683346391,480,0.5460155010223389,0.035595703125,242.14610841870308,-0.0030861957267916294,61.4815673828125
-43.08712839,102400,273,374,515.5,50,0.0060582208,0.2,0.0003,-0.9132610592991114,490,0.7034812867641449,0.0716796875,124.6317824214697,-0.0045364234050794035,88.15299987792969
-41.89997416999999,104448,276,377,529.94,51,0.006240247,0.2,0.0003,-0.8449945652857422,500,0.53993821144104,0.05341796875,154.60925615727902,-0.004306027937855106,71.12728881835938
-37.03248832999999,106496,279,381,542.22,52,0.0039808853,0.2,0.0003,-1.0035977810621262,510,0.8368112295866013,0.052197265625,41.958952439576386,-0.005304325258475728,14.853763580322266
-32.971587109999994,108544,281,385,554.64,53,0.0083324965,0.2,0.0003,-0.9546175304800272,520,0.7123220264911652,0.117333984375,144.67538761496544,-0.005819307720958023,23.775178909301758
-27.877790819999994,110592,284,388,566.03,54,0.0044158897,0.2,0.0003,-0.968929229862988,530,0.6473199427127838,0.04248046875,173.76175074279308,-0.002245879532711115,109.9111328125
-26.375371619999996,112640,287,391,571.99,55,0.0050779884,0.2,0.0003,-0.8758848087862134,540,0.800647646188736,0.02109375,99.06551187336444,-0.0011237869242904709,35.13929748535156
-21.214303339999997,114688,289,395,572.07,56,0.0050751073,0.2,0.0003,-0.907661266066134,550,0.7044561207294464,0.04091796875,184.8183332592249,-0.0032857483805855737,134.7665557861328
-16.61623009999999,116736,292,399,575.19,57,0.0053681117,0.2,0.0003,-0.8851772470399737,560,0.4185495376586914,0.04111328125,250.90804698467255,-0.0041790744398895185,64.12076568603516
-10.365525589999994,118784,294,403,580.12,58,0.0031683443,0.2,0.0003,-0.9337171187624336,570,0.4326944947242737,0.02958984375,217.50530248880386,-0.0016832327884912957,351.61932373046875
-8.670022750000001,120832,296,407,590.36,59,0.007784271,0.2,0.0003,-0.8873143412172795,580,0.5057292580604553,0.0833984375,181.0208037853241,-0.0037211922557617073,33.78830337524414
-8.446872070000001,122880,298,411,597.61,60,0.0048073716,0.2,0.0003,-0.9650919295847415,590,0.6212328970432281,0.047119140625,164.09430569708348,-0.004036392747366335,11.611902236938477
1.5762267300000001,124928,301,414,600.54,61,0.003212978,0.2,0.0003,-0.9015401113778353,600,0.5779498219490051,0.024462890625,280.895826625824,-0.0029852359788492323,55.2420654296875
1.0175569900000019,126976,303,418,596.48,62,0.004275224,0.2,0.0003,-0.7966034663841128,610,0.4853774905204773,0.0154296875,150.12950471937657,-0.0015907897664874326,36.39594268798828
4.5340582099999995,129024,305,422,577.36,63,0.0044641625,0.2,0.0003,-0.9385835431516171,620,0.5843148529529572,0.050537109375,247.07092885673046,-0.0018308522827283013,232.15882873535156
6.8661884099999995,131072,307,425,571.13,64,0.0022139833,0.2,0.0003,-0.9043358407914639,630,0.48517799377441406,0.01689453125,298.16715569496154,-0.005741919652064098,117.68013763427734
8.382367969999999,133120,310,428,562.82,65,0.0032428827,0.2,0.0003,-0.9075603490695358,640,0.6757835149765015,0.031005859375,167.30404227674006,-0.0036833318205026443,52.339080810546875
4.065025609999999,135168,312,432,542.96,66,0.003976579,0.2,0.0003,-0.8762903021648526,650,0.6375883221626282,0.03115234375,156.33653877973558,-0.004256702938437229,44.05208206176758
4.7339013900000015,137216,315,435,530.44,67,0.0057830424,0.2,0.0003,-0.8003687741234898,660,0.6441150605678558,0.048681640625,264.4186047613621,-0.005525004261289723,146.75245666503906
-1.3114829999999986,139264,317,439,513.4,68,0.0067030946,0.2,0.0003,-0.8260809550061822,670,0.6712997555732727,0.0689453125,135.07899617552758,-0.0033661945068161002,31.087501525878906
-3.8292117799999996,141312,319,442,507.84,69,0.005710937,0.2,0.0003,-0.7180740622803569,680,0.5933085680007935,0.06142578125,256.2900673151016,-0.0071003541204845535,104.30458068847656
-2.972051009999999,143360,322,444,506.01,70,0.0040041064,0.2,0.0003,-0.8511986339464783,690,0.7360069751739502,0.0826171875,136.6876900911331,-0.0014201193276676348,24.959505081176758
-6.73321635,145408,325,447,505.63,71,0.0025148354,0.2,0.0003,-0.8167306937277317,700,0.5492217838764191,0.012548828125,210.30753366947175,-0.0010056931248982437,12.96519660949707
-7.627561350000001,147456,328,448,503.13,72,0.010136647,0.2,0.0003,-0.8701036909595132,710,0.8423990607261658,0.10390625,83.22455759644508,-0.002865556721371831,33.07623291015625
-6.738105090000001,149504,332,450,510.11,73,0.0063618533,0.2,0.0003,-0.9226108742877841,720,0.8144493103027344,0.04052734375,108.43651374280452,-0.0023669129244808574,19.50244903564453
-8.231551950000002,151552,335,451,515.06,74,0.0051213615,0.2,0.0003,-0.89295169506222,730,0.7827045321464539,0.068310546875,106.4806047052145,-0.007515513024191023,60.850425720214844
-9.003040409999999,153600,339,452,520.44,75,0.0036564548,0.2,0.0003,-0.9038887433707714,740,0.7473102509975433,0.032763671875,86.9702004134655,-0.002746949888387462,13.511491775512695
-8.826753799999999,155648,343,453,517.03,76,0.0015104224,0.2,0.0003,-0.8146594474092126,750,0.7526531219482422,0.038720703125,46.9141379147768,-0.000567355452949414,38.03726577758789
-7.16495479,157696,346,455,521.16,77,0.006184073,0.2,0.0003,-0.9665573328733444,760,0.756535217165947,0.0501953125,99.60143025070428,-0.004860996826027986,217.3236541748047
-10.01464407,159744,349,457,526.93,78,0.0062984037,0.2,0.0003,-0.8800681078806519,770,0.8170584589242935,0.069580078125,74.6075608536601,-0.005127989645188791,17.62895965576172
-10.638639659999999,161792,352,458,530.71,79,0.00829952,0.2,0.0003,-0.9287126444280147,780,0.9511954113841057,0.078759765625,35.7281835436821,-0.00572782589297276,10.590599060058594
-8.90946278,163840,356,460,536.89,80,0.0035169898,0.2,0.0003,-0.8125981071963906,790,0.6913811266422272,0.01572265625,167.6240108668804,-0.0009545017815980828,64.53300476074219
