rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,train/approx_kl,train/clip_range,train/loss,train/value_loss,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/learning_rate
528.13,156,133120,65,851,-6.778175149999998,0.007198422,0.2,90.47827911376953,173.31911298930646,0.6203598082065582,640,-0.8391152817755938,0.061962890625,-0.005699243103299523,0.0003
530.93,158,135168,66,851,-8.998188859999997,0.005599276,0.2,45.4374885559082,116.01436747908592,0.7469507455825806,650,-0.7539248695597053,0.051806640625,-0.0031864569617027884,0.0003
536.47,161,137216,67,849,-4.366018800000002,0.008166095,0.2,52.8206787109375,152.68639295101167,0.7325807511806488,660,-0.8462067943066358,0.0390625,-0.005127515940694138,0.0003
525.36,164,139264,68,846,-9.27674098,0.0056668944,0.2,25.055355072021484,124.41344625651837,0.7317962050437927,670,-0.8486906059086323,0.043505859375,-0.004866283127921633,0.0003
531.11,167,141312,69,843,-5.855980060000002,0.008069023,0.2,78.24591064453125,120.96941013336182,0.7861282229423523,680,-0.8455769991502166,0.084033203125,-0.0041771603500819765,0.0003
547.53,170,143360,70,839,-3.3716120199999984,0.0096153505,0.2,93.43927001953125,68.42839926034212,0.6795967817306519,690,-0.9043814418837428,0.1025390625,-0.004030666515609483,0.0003
552.01,173,145408,71,835,-1.818314810000001,0.0035581493,0.2,86.36161804199219,129.3931561112404,0.6058459877967834,700,-0.7720614591613412,0.03447265625,-0.00216835080209421,0.0003
555.21,176,147456,72,833,0.7427744700000021,0.01139544,0.2,32.77906799316406,76.3338697001338,0.6811763048171997,710,-0.9388959651812911,0.120703125,-0.00655822388434899,0.0003
557.25,179,149504,73,833,-0.6280303599999973,0.0036511733,0.2,9.92302131652832,100.54831242263317,0.7146182358264923,720,-0.8176174433901906,0.04951171875,-0.0030121381416392977,0.0003
553.33,181,151552,74,832,0.5728280100000024,0.00465542,0.2,146.17333984375,217.22093425095082,0.48185622692108154,730,-0.8260956550016999,0.024755859375,-0.005282051789981779,0.0003
550.84,184,153600,75,832,2.3421133500000026,0.00617145,0.2,56.68421173095703,167.0652817517519,0.6181025803089142,740,-0.7713494803756475,0.024609375,-0.002266078460525023,0.0003
546.73,187,155648,76,831,5.1831249,0.007897694,0.2,126.34992980957031,164.18312686681747,0.6600006520748138,750,-0.8477906273677945,0.086376953125,-0.004345691663093021,0.0003
