time/iterations,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_range,train/approx_kl,train/loss
73,149504,220,677,923.84,-10.499726239999998,0.07607421875,0.0003,-0.0029644823633134367,720,-0.8605391526594758,26.731308713182806,0.8518047332763672,0.2,0.010004299,1.6688883304595947
74,151552,224,674,927.81,-10.876265629999999,0.097021484375,0.0003,-0.004640271289099473,730,-0.8128702994436026,40.88592181801796,0.7778434157371521,0.2,0.010250149,2.7991371154785156
75,153600,228,672,937.46,-6.839537900000002,0.062109375,0.0003,-0.004099411779316142,740,-0.764090882614255,87.4959927342832,0.5988585352897644,0.2,0.005282321,1.8542371988296509
76,155648,231,672,943.96,-4.49955865,0.049560546875,0.0003,-0.005482563951227348,750,-0.7887308482080698,58.80976100564003,0.6840310394763947,0.2,0.0074121384,253.4163055419922
77,157696,234,672,948.67,-1.9738460499999997,0.082421875,0.0003,-0.006189978135080309,760,-0.8264141567051411,158.31452532559632,0.19736403226852417,0.2,0.0077408105,308.3857116699219
78,159744,238,669,951.41,-1.746883709999999,0.0623046875,0.0003,-0.0026452905047335664,770,-0.7985738139599562,52.12396879196167,0.7570019662380219,0.2,0.0053603845,7.936882972717285
79,161792,241,670,944.41,1.5124680199999998,0.07666015625,0.0003,-0.0024189873765863013,780,-0.8537204464897513,57.33414028286934,0.44498997926712036,0.2,0.006886149,14.30354118347168
80,163840,245,667,947.47,2.4978693499999993,0.032470703125,0.0003,-0.004746197006898001,790,-0.8256594279780984,160.17322379648687,0.2625477910041809,0.2,0.008662305,15.610030174255371
81,165888,249,666,938.9,6.4504743599999985,0.071875,0.0003,-0.0027385625122406053,800,-0.7220123078674078,49.03215657025576,0.8017178773880005,0.2,0.008594782,20.67407989501953
82,167936,252,665,931.71,9.38075105,0.026171875,0.0003,-0.0010534125063713872,810,-0.7782042048871517,110.05504958927631,0.2204945683479309,0.2,0.0038405075,12.827284812927246
83,169984,255,664,920.99,11.89549503,0.027099609375,0.0003,-0.002500741159019526,820,-0.8004483852535487,102.13197755962611,0.4137788414955139,0.2,0.003674733,3.0465259552001953
84,172032,259,663,913.92,16.605056289999997,0.0798828125,0.0003,-0.006005678093788447,830,-0.8180536380037665,115.5492319509387,0.5168787240982056,0.2,0.006003465,63.35530090332031
85,174080,262,664,896.95,19.25955334,0.049853515625,0.0003,-0.005413306561604258,840,-0.7542523296549917,129.43855139911176,0.5731928050518036,0.2,0.01969402,33.503318786621094
86,176128,264,665,885.74,23.965506029999997,0.0494140625,0.0003,-0.0016268452876829543,850,-0.7782711684703827,125.51246277689934,0.4745839834213257,0.2,0.004622284,30.12254524230957
