rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,train/loss,train/n_updates,train/entropy_loss,train/value_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/explained_variance
19.53887629,190,791.8,141312,69,742,14.946009635925293,680,-0.8080476950854063,77.59367501735687,0.007721333,0.2,0.089208984375,-0.0064673929337004665,0.0003,0.6240675151348114
24.96241803,193,793.55,143360,70,742,11.911886215209961,690,-0.7551606640219688,95.38051197230816,0.004809823,0.2,0.03408203125,-0.0023378031506581464,0.0003,0.4592463970184326
23.749999969999998,195,777.18,145408,71,741,16.057010650634766,700,-0.8178059935569764,106.42844718545675,0.0044590663,0.2,0.068701171875,-0.0031066222898516573,0.0003,0.4537624716758728
26.845861770000003,198,760.22,147456,72,742,112.37297058105469,710,-0.7828190069645643,253.54713360965252,0.0040588016,0.2,0.043505859375,-0.0014948512001865311,0.0003,0.22057926654815674
31.294533209999994,201,754.03,149504,73,741,25.85797119140625,720,-0.7795239264145494,168.86397265195848,0.0061367527,0.2,0.05966796875,-0.0021288577474479096,0.0003,0.5340946912765503
31.33212268,203,740.72,151552,74,743,15.506342887878418,730,-0.70100684966892,68.55924118459225,0.008102199,0.2,0.0859375,-0.0048644982336554675,0.0003,0.6661136746406555
32.64270808,206,721.03,153600,75,744,186.5814208984375,740,-0.7637429995462298,159.31149672418832,0.0056929477,0.2,0.054638671875,-0.005773249349294929,0.0003,0.5044352114200592
35.698621620000004,209,711.31,155648,76,743,30.68947982788086,750,-0.7582181353121996,160.57245237231254,0.0044240104,0.2,0.0392578125,-0.002586079662432894,0.0003,0.43093085289001465
37.61720521,211,700.58,157696,77,744,48.353187561035156,760,-0.7729132235050201,96.95610522925854,0.011234128,0.2,0.09775390625,-0.004922532854470774,0.0003,0.4842892289161682
36.52257232,214,681.76,159744,78,745,9.417184829711914,770,-0.760250266827643,85.65404178798198,0.009943617,0.2,0.06201171875,-0.000964809836295899,0.0003,0.5815683305263519
34.09765536,216,664.15,161792,79,746,57.51932907104492,780,-0.7814709104597568,204.87788876742124,0.004115654,0.2,0.0375,-0.0032428399528726002,0.0003,0.515783965587616
38.74922709,219,642.58,163840,80,746,213.70822143554688,790,-0.794617397338152,229.66808597445487,0.005080348,0.2,0.04677734375,-0.003527767206833232,0.0003,0.49294155836105347
35.45950885,221,621.5,165888,81,748,259.41766357421875,800,-0.7675683155655861,131.59706311821938,0.021514192,0.2,0.107177734375,-0.004955415388394613,0.0003,0.34636616706848145
32.17840372,224,603.35,167936,82,749,11.922874450683594,810,-0.7500952478498221,168.53170002996922,0.0058855647,0.2,0.064453125,-0.0014308986348623876,0.0003,0.6884591281414032
35.09286448999999,226,598.28,169984,83,749,36.207611083984375,820,-0.8018478557467461,193.14293245673178,0.008004352,0.2,0.038623046875,-0.002075058388618345,0.0003,0.6603847742080688
36.2538578,229,594.36,172032,84,748,11.018214225769043,830,-0.8164131233468652,107.76392554789781,0.0053975238,0.2,0.081640625,-0.0022073784148233244,0.0003,0.7432414889335632
37.34139474999999,233,592.33,174080,85,747,25.958141326904297,840,-0.7844843413680792,69.1408569291234,0.0058957567,0.2,0.064794921875,-0.003277055000944529,0.0003,0.7404199242591858
38.31380591999999,235,580.37,176128,86,746,12.732775688171387,850,-0.8442644786089659,145.96060042381288,0.0054409495,0.2,0.0705078125,-0.0009652483029640279,0.0003,0.6301338970661163
37.27452801,238,575.48,178176,87,746,338.5278625488281,860,-0.8266796264797449,171.5535431355238,0.0033913902,0.2,0.03212890625,-0.0018254612878081389,0.0003,0.665450781583786
39.06472994,241,574.01,180224,88,747,98.63094329833984,870,-0.7507941413670778,164.3059805035591,0.0076522985,0.2,0.071630859375,-0.003409811128221918,0.0003,0.6958788335323334
40.0889786,243,565.32,182272,89,748,19.491744995117188,880,-0.7651688247919083,88.91934361457825,0.0055237925,0.2,0.059130859375,-0.0015329029673011973,0.0003,0.742504358291626
44.70977419999999,246,567.14,184320,90,748,5.740898132324219,890,-0.7300892971456051,163.50351651906968,0.0047136294,0.2,0.05234375,-0.002587539168598596,0.0003,0.58149653673172
41.684161519999996,249,571.96,186368,91,747,230.55357360839844,900,-0.842736935056746,74.15761563032865,0.006444665,0.2,0.0890625,-0.004221618916199077,0.0003,0.8170845210552216
40.449530839999994,251,567.74,188416,92,748,124.36277770996094,910,-0.7483938211575151,181.81509810686111,0.005680916,0.2,0.0453125,-0.00020277171570342033,0.0003,0.6336748898029327
41.36825718,254,569.68,190464,93,749,95.90015411376953,920,-0.7085851712152362,155.08552019298077,0.011787597,0.2,0.087744140625,-0.005492287030938315,0.0003,0.7082920968532562
39.75321255,256,563.52,192512,94,749,13.753596305847168,930,-0.7732339333742857,108.48560643196106,0.007032207,0.2,0.051806640625,-0.0027450799982034367,0.0003,0.736807644367218
36.783485070000005,259,555.98,194560,95,750,92.768310546875,940,-0.7753087108954787,186.82599942088126,0.003194444,0.2,0.0173828125,-0.0015430257215484744,0.0003,0.5797074735164642
34.82767617,261,554.57,196608,96,750,241.2359161376953,950,-0.8141339618712664,250.7868716299534,0.0064867283,0.2,0.075146484375,-0.0060118609879282305,0.0003,0.30534636974334717
30.518120190000005,264,555.53,198656,97,751,37.149654388427734,960,-0.7504261178895831,114.15289047062397,0.0064975275,0.2,0.044189453125,-0.002447535821556812,0.0003,0.5768149793148041
33.47765318,267,556.25,200704,98,751,131.97210693359375,970,-0.8784461829811334,84.58257169723511,0.0063450225,0.2,0.127587890625,-0.0009102149637328693,0.0003,0.7453448176383972
34.740532429999995,269,558.9,202752,99,751,48.188899993896484,980,-0.7035386757925153,90.57705804407597,0.0064286105,0.2,0.059326171875,-0.004058827168046264,0.0003,0.6256886124610901
35.343822599999996,272,550.99,204800,100,752,23.750476837158203,990,-0.739220792427659,152.02428603172302,0.006096355,0.2,0.031298828125,-0.0028725187068630474,0.0003,0.6540128886699677
36.2582375,275,555.03,206848,101,750,30.9066104888916,1000,-0.7704965660348535,160.58325178623198,0.005201606,0.2,0.0548828125,-0.001579707874043379,0.0003,0.696735292673111
34.572780110000004,277,553.92,208896,102,752,8.51281452178955,1010,-0.7500868298113346,91.63222971260548,0.0034778109,0.2,0.05068359375,-0.0027469518232464906,0.0003,0.5476257801055908
32.87628851,279,557.37,210944,103,753,228.75164794921875,1020,-0.8110141377896071,235.48906001150607,0.005506268,0.2,0.026904296875,-0.0024067843827651814,0.0003,0.5277323722839355
32.63102179,283,559.05,212992,104,751,46.59427261352539,1030,-0.7834040431305767,64.96754512637854,0.006236713,0.2,0.05595703125,-0.0016401021275669336,0.0003,0.716330349445343
27.073972500000004,286,566.52,215040,105,751,1.7950057983398438,1040,-0.8968192331492901,22.687901739776134,0.0070173084,0.2,0.087109375,-0.0025940698556951246,0.0003,0.8415021300315857
30.953830130000007,289,571.48,217088,106,750,9.444621086120605,1050,-0.865381459519267,160.77192980200053,0.0075364,0.2,0.058837890625,-0.005632966208577272,0.0003,0.4473237991333008
34.45294021,291,577.36,219136,107,751,19.669166564941406,1060,-0.7820500819012522,70.58088209927082,0.005227513,0.2,0.053173828125,-0.002956286100379657,0.0003,0.7616478502750397
34.10454169,294,587.61,221184,108,751,5.998199462890625,1070,-0.8520899578928948,75.66672253608704,0.0055697225,0.2,0.026611328125,-0.0013406350193690742,0.0003,0.7726529538631439
30.589507650000005,297,590.97,223232,109,750,11.150585174560547,1080,-0.8025504870340228,52.73972102999687,0.0065240706,0.2,0.066845703125,-0.008162336080567911,0.0003,0.6374287009239197
30.445111360000002,299,597.36,225280,110,751,17.29741096496582,1090,-0.8991608416661621,92.83868766874075,0.0057468787,0.2,0.065380859375,-0.00021478257040143944,0.0003,0.7618541121482849
34.11154385,303,606.47,227328,111,748,212.18203735351562,1100,-0.8140997929498553,200.24120492488146,0.0032771588,0.2,0.01650390625,-0.002473336225739331,0.0003,0.5026134848594666
36.5523953,306,611.04,229376,112,748,22.537233352661133,1110,-0.863877834007144,61.406872548908,0.0051572924,0.2,0.067529296875,-0.0031264545978046954,0.0003,0.6581172943115234
34.61296521,309,613.84,231424,113,748,8.429166793823242,1120,-0.8109105203300715,65.99936503469944,0.0067383824,0.2,0.066796875,-0.004355895837215939,0.0003,0.7743340879678726
30.940981970000003,312,613.99,233472,114,748,40.228206634521484,1130,-0.8038248673081398,90.20776776373387,0.005007657,0.2,0.0541015625,-0.003106126446800772,0.0003,0.79535973072052
