rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate,train/n_updates,train/clip_range,train/entropy_loss
927.04,-7.109839670000001,244,636,155648,76,0.20131689310073853,-0.005697896180208772,131.02285297960043,0.047509765625,16.68993377685547,0.008398188,0.0003,750,0.2,-0.8178864482790231
925.56,-6.601091170000002,248,635,157696,77,0.40213704109191895,-0.004080206521757645,71.59725743532181,0.11171875,14.188343048095703,0.0070785447,0.0003,760,0.2,-0.8213511602953076
925.56,-5.309717800000002,251,634,159744,78,0.41807591915130615,-0.00226780899320147,191.6022618919611,0.054541015625,98.55831909179688,0.006853454,0.0003,770,0.2,-0.8475610824301839
923.72,-5.089226800000001,254,635,161792,79,0.6304237544536591,-0.0005974820698611439,37.40264845043421,0.074609375,2.396712303161621,0.004767336,0.0003,780,0.2,-0.7739640755578876
916.11,-4.898872369999999,258,633,163840,80,0.6324906647205353,-0.0037295398808055323,47.23439676612615,0.065185546875,3.6138412952423096,0.0053163166,0.0003,790,0.2,-0.8344080276787281
907.24,-7.267904249999999,261,634,165888,81,0.3175756335258484,-0.0009228075279679615,154.67180454134942,0.052099609375,20.349750518798828,0.005652963,0.0003,800,0.2,-0.8205291748046875
902.29,-9.95677318,264,634,167936,82,0.5482986271381378,-0.0030993934007710775,136.9609042569995,0.021533203125,278.9697570800781,0.0034729906,0.0003,810,0.2,-0.8498722428455949
899.08,-8.456621500000002,268,633,169984,83,0.6318700313568115,-0.002997511665307684,123.53991482257842,0.040869140625,28.609336853027344,0.004696154,0.0003,820,0.2,-0.870044975169003
896.12,-4.5946819900000015,271,633,172032,84,0.5549962818622589,0.00016437558369943872,59.03180205002427,0.051708984375,19.339584350585938,0.0034316955,0.0003,830,0.2,-0.7781188627704978
889.21,-4.382426170000001,274,633,174080,85,0.44043171405792236,-0.0012993388176255395,84.17999219149351,0.055419921875,7.437448024749756,0.005220347,0.0003,840,0.2,-0.8068594314157963
882.05,-3.8626377500000024,277,634,176128,86,0.5310139358043671,-0.0019947768334532155,118.24125757813454,0.06689453125,36.1773681640625,0.004533504,0.0003,850,0.2,-0.8529809143394231
870.6,-5.510535090000001,280,634,178176,87,0.5762677788734436,-0.006358532037120312,141.15585597902538,0.1005859375,128.91014099121094,0.01094172,0.0003,860,0.2,-0.781730030849576
861.02,-6.881728169999997,284,634,180224,88,0.4701404571533203,-0.002924822074055555,162.6927438661456,0.065576171875,131.93875122070312,0.0063009197,0.0003,870,0.2,-0.840129459835589
855.59,-6.652918299999998,287,633,182272,89,0.48082542419433594,-0.003379537002183497,91.27779253870249,0.111669921875,73.59288024902344,0.010313315,0.0003,880,0.2,-0.8576695788651705
841.5,-9.74381542,290,634,184320,90,0.5574608445167542,-0.0015422743897943291,103.14143885076047,0.068310546875,31.207883834838867,0.004683786,0.0003,890,0.2,-0.8440582508221268
839.28,-11.85224698,293,634,186368,91,0.7152070701122284,-0.000926612367038615,121.37492994219065,0.061669921875,13.149710655212402,0.0059803366,0.0003,900,0.2,-0.844819176569581
837.13,-9.516855119999999,297,634,188416,92,0.761463537812233,-0.002653987340454478,93.02018621861934,0.097998046875,7.279860019683838,0.009022081,0.0003,910,0.2,-0.8680754473432899
837.13,-9.655073159999999,300,633,190464,93,0.6125201284885406,-0.002503375593732926,50.087209965288636,0.072314453125,6.422774314880371,0.007387462,0.0003,920,0.2,-0.8420713348314166
838.37,-7.6251699,304,632,192512,94,0.8190870732069016,0.00023204839963000267,22.25652455985546,0.076220703125,1.9651718139648438,0.005129168,0.0003,930,0.2,-0.8884019266813994
826.37,-11.12667633,307,632,194560,95,0.8410070687532425,-0.0014388623705599457,18.958108779788017,0.067333984375,5.5837483406066895,0.006975566,0.0003,940,0.2,-0.8094124568626284
815.36,-11.78659514,310,633,196608,96,0.7777501940727234,-0.002136924708611332,96.01232943832875,0.0697265625,28.49846839904785,0.007434192,0.0003,950,0.2,-0.8592090209946036
812.74,-13.5285429,314,631,198656,97,0.6479487717151642,-0.004637318638560828,137.07147725224496,0.089111328125,115.17578125,0.009772012,0.0003,960,0.2,-0.8799438174813986
812.67,-11.620414160000001,317,631,200704,98,0.6628937125205994,-6.469091022154316e-05,65.0042228795588,0.07763671875,23.551218032836914,0.010924613,0.0003,970,0.2,-0.8921908594667911
811.67,-11.879009240000002,321,629,202752,99,0.5486080348491669,-0.002738439194945386,68.64215621054173,0.050927734375,8.505912780761719,0.007497774,0.0003,980,0.2,-0.7890310477465391
794.86,-13.113007829999999,325,630,204800,100,0.8595993965864182,-0.00811009974895569,44.950475943088534,0.07900390625,20.62502670288086,0.009519344,0.0003,990,0.2,-0.8694847971200943
790.65,-14.37270708,327,631,206848,101,0.7486269772052765,-0.004124032259278465,154.03784916698933,0.0763671875,266.73748779296875,0.0072151907,0.0003,1000,0.2,-0.862557877600193
782.27,-13.707857989999997,330,632,208896,102,0.4583383798599243,-0.005359161119122291,133.37657274901866,0.07861328125,73.80435943603516,0.0082960455,0.0003,1010,0.2,-0.8775141637772321
770.52,-14.527630840000002,333,632,210944,103,0.6194009780883789,-0.002890646542800823,146.13495856374502,0.055712890625,143.432861328125,0.0063782344,0.0003,1020,0.2,-0.8190698977559805
767.72,-14.892494739999997,336,633,212992,104,0.6153037846088409,-0.003464461328985635,167.09616476297379,0.081689453125,49.4786491394043,0.0068772305,0.0003,1030,0.2,-0.8212561335414648
763.68,-13.165007379999999,340,632,215040,105,0.45396459102630615,-0.006153454780724132,144.18589927256107,0.059619140625,34.984066009521484,0.007918039,0.0003,1040,0.2,-0.7949789332225918
755.32,-15.544082179999998,343,631,217088,106,0.4956704378128052,-0.0026874986491748133,150.10472677201034,0.072998046875,63.770347595214844,0.008179305,0.0003,1050,0.2,-0.8360924482345581
746.38,-16.9183633,346,632,219136,107,0.551967978477478,-0.00258179240336176,83.28601894676686,0.10927734375,4.46663761138916,0.008545426,0.0003,1060,0.2,-0.8012859340757131
741.4,-15.59080291,349,632,221184,108,0.611523449420929,-0.00043918748197029344,105.78553161025047,0.038427734375,38.78441619873047,0.004336369,0.0003,1070,0.2,-0.8303080435842276
724.25,-21.76488925,352,632,223232,109,0.3505787253379822,-0.0018962677666422678,141.5327354386449,0.068359375,37.640621185302734,0.0060647735,0.0003,1080,0.2,-0.750981075130403
712.64,-25.69343395,356,632,225280,110,0.5394279956817627,0.0005233772797510027,138.19385110139848,0.11220703125,82.69173431396484,0.014996169,0.0003,1090,0.2,-0.8166508791968227
707.45,-25.20796476000001,359,632,227328,111,0.6789905726909637,-0.0032740961061790584,81.55303881168365,0.055859375,7.689057350158691,0.0041269525,0.0003,1100,0.2,-0.8152182210236788
709.41,-19.5436099,362,632,229376,112,0.4901655912399292,-0.003226930606615497,122.72366447150708,0.063671875,17.286022186279297,0.0073945215,0.0003,1110,0.2,-0.802099140547216
707.21,-22.15660539,366,631,231424,113,0.36420106887817383,0.0006102546314650681,48.12979499176144,0.0701171875,8.223503112792969,0.0070532244,0.0003,1120,0.2,-0.8092487435787916
709.55,-22.542278590000006,370,630,233472,114,0.30612605810165405,-0.0015224923587084048,118.76125116199255,0.0505859375,27.056116104125977,0.0050642127,0.0003,1130,0.2,-0.7402587877586484
711.91,-21.870880200000002,373,629,235520,115,0.68251833319664,-0.0022058793001633603,55.72330034524202,0.067236328125,8.242506980895996,0.005208938,0.0003,1140,0.2,-0.7873460642993451
716.92,-21.46502865,377,629,237568,116,0.5305764675140381,-0.004956932139612036,94.31773611456155,0.081396484375,36.864105224609375,0.009228466,0.0003,1150,0.2,-0.8191917976364493
