time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/clip_range,train/explained_variance,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/entropy_loss
742,79,878.96,217,8.726343759999999,161792,0.0003,0.2,0.3265252709388733,9.038330078125,0.057177734375,179.95722387284042,0.006705979,-0.004033498943681479,780,-0.8439700100570917
740,80,879.53,221,8.70941925,163840,0.0003,0.2,0.38537949323654175,45.325721740722656,0.07421875,114.07361522316933,0.0061429455,-0.0031592260726029052,790,-0.8689114868640899
737,81,871.25,224,11.678915519999999,165888,0.0003,0.2,0.35597288608551025,4.620887756347656,0.03955078125,63.798257899284366,0.0062161814,-0.002423621411435306,800,-0.8646131321787834
737,82,869.97,227,10.883631379999999,167936,0.0003,0.2,0.41313618421554565,121.04987335205078,0.080419921875,105.79894068539143,0.0064689573,-0.0048744956991868095,810,-0.7996346611529589
737,83,865.76,230,14.198690269999997,169984,0.0003,0.2,-0.025804758071899414,34.17906951904297,0.02919921875,218.91675270348787,0.0048220903,-0.0039611592335859315,820,-0.839224099740386
737,84,863.75,233,14.71830636,172032,0.0003,0.2,0.4422796964645386,233.99508666992188,0.095166015625,72.85180261582136,0.009214378,-0.0044869486795505505,830,-0.8873928025364876
736,85,859.54,236,17.12842562,174080,0.0003,0.2,0.6151973009109497,10.242948532104492,0.046826171875,70.30145871937275,0.0055158166,-0.0005817390097945463,840,-0.8130282323807478
736,86,851.02,239,17.737307740000002,176128,0.0003,0.2,0.6302049160003662,27.397085189819336,0.07119140625,76.7892151504755,0.0063056713,-0.0018912493200332393,850,-0.8509242134168744
736,87,857.44,242,19.618947780000003,178176,0.0003,0.2,0.3489946722984314,46.880550384521484,0.0658203125,179.4955401942134,0.005449487,-0.0027457622534711847,860,-0.8874197605997324
735,88,850.22,244,23.957579139999996,180224,0.0003,0.2,0.6796842217445374,5.340205669403076,0.04990234375,47.70158598870039,0.009051092,-0.005448333531967364,870,-0.836404462903738
732,89,841.69,248,27.055423189999996,182272,0.0003,0.2,0.4953208565711975,27.058757781982422,0.03798828125,103.58843692094088,0.004965285,-0.0019265808070485946,880,-0.8169360846281052
731,90,835.42,251,29.04983125,184320,0.0003,0.2,0.495248019695282,3.6229987144470215,0.069287109375,81.56466813385487,0.005640407,-0.0033581992578547216,890,-0.7961244029924274
732,91,823.1,254,30.89578709,186368,0.0003,0.2,0.6095046401023865,28.231660842895508,0.10126953125,73.83052738606929,0.0076366523,-0.002804965214454569,900,-0.7754999088123441
732,92,815.85,257,30.69001707,188416,0.0003,0.2,0.3366393446922302,24.44024085998535,0.10537109375,171.25798662006855,0.009078993,-0.004036044704480446,910,-0.7408136637881398
