time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,train/loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,train/clip_range
68,713,195,139264,824.01,-15.347479369999997,-0.003627273257370689,1.191223382949829,0.149609375,0.009347511,0.0003,0.8911275118589401,670,-0.8446912223473191,30.75378315653652,0.2
69,709,199,141312,831.99,-13.300383359999998,-0.0023442225938197225,13.968308448791504,0.017236328125,0.0032987837,0.0003,0.7970672845840454,680,-0.8162730403244496,71.53555533587932,0.2
70,709,202,143360,844.34,-10.248511559999999,-0.0025621817250794264,1.0423409938812256,0.038427734375,0.0057153315,0.0003,0.8315205127000809,690,-0.951895141042769,69.9628331117332,0.2
71,708,205,145408,852.08,-8.824798829999999,-0.0011731989150575827,3.158931016921997,0.044482421875,0.0045880163,0.0003,0.8988559991121292,700,-0.8733881060034037,39.73220767118037,0.2
72,708,208,147456,848.39,-9.000740619999998,-0.002175061095476849,0.9989627003669739,0.11240234375,0.0113714505,0.0003,0.9110053926706314,710,-0.9771464398130775,43.361985163297504,0.2
73,707,211,149504,848.39,-8.83766081,-0.002669495649752207,1.4108439683914185,0.064794921875,0.0057267263,0.0003,0.7830400168895721,720,-0.8986537767574191,65.302026232332,0.2
74,707,214,151552,862.63,-4.04749671,-0.005202165140508442,1.5954632759094238,0.156787109375,0.012232052,0.0003,0.8969995975494385,730,-0.9372297022491693,41.51581380590797,0.2
75,707,216,153600,869.58,-5.75158861,-0.005025725321320351,0.5956847667694092,0.11748046875,0.007982394,0.0003,0.8903464004397392,740,-0.969219671189785,44.5478134136647,0.2
76,705,220,155648,876.89,-4.091525139999999,-0.00029650474461959673,1.4757835865020752,0.038818359375,0.0049607595,0.0003,0.9014079496264458,750,-0.8555828576907516,43.78748781224713,0.2
77,705,223,157696,888.62,-3.54866389,-0.001581182518566493,0.46873360872268677,0.04921875,0.0065833023,0.0003,0.8799809068441391,760,-0.8827901931479574,40.73388629481197,0.2
78,706,226,159744,894.72,-1.4245087799999991,-0.002658560805139132,2.562363386154175,0.042138671875,0.0069871717,0.0003,0.7700622081756592,770,-0.9025726284831762,93.41058024466038,0.2
79,700,231,161792,894.72,-2.44706806,-0.0031673017670982516,4.790250301361084,0.141748046875,0.015467053,0.0003,0.9079309031367302,780,-0.8407998919487,42.7599220414646,0.2
80,699,234,163840,898.01,-1.5013628800000003,-0.004587734426604584,7.2062249183654785,0.060546875,0.0036326596,0.0003,0.9033307582139969,790,-0.7707667920738459,43.11301143020391,0.2
81,697,237,165888,898.01,-2.0683033800000006,-0.0010217022732831537,1.8894696235656738,0.027392578125,0.0053224433,0.0003,0.8752735182642937,800,-0.770730498060584,55.13858120795339,0.2
82,696,241,167936,898.01,-2.2544729200000004,-0.007862412428221433,0.5818294286727905,0.172607421875,0.03117404,0.0003,0.901616558432579,810,-0.7551499785855412,33.44997550090775,0.2
83,694,244,169984,902.65,-1.030048690000001,-0.003498849188326858,1.1891568899154663,0.116015625,0.00809682,0.0003,0.9238653853535652,820,-0.7955123417079448,36.34089072439819,0.2
84,692,248,172032,900.99,-1.3360967799999994,-0.0032903548832109663,0.5766652226448059,0.1341796875,0.015419636,0.0003,0.9419832490384579,830,-0.7266920238733292,33.53446772955358,0.2
85,693,251,174080,894.7,0.6278398000000007,-0.002198245721956482,1.6903340816497803,0.046630859375,0.004701645,0.0003,0.8111004829406738,840,-0.7498199570924043,69.29864301234484,0.2
