time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_range,train/clip_fraction,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance
945,149,141312,71.01862016000001,425.7,69,0.2,0.045849609375,96.6937026977539,-0.0075041156080260405,680,0.0003,-0.7509528251364828,308.0358816742897,0.006065647,0.13683027029037476
945,151,143360,66.70097716000001,415.99,70,0.2,0.061279296875,57.33144760131836,-0.006436737642070511,690,0.0003,-0.7580613674595952,346.5356878042221,0.0058864458,0.32911568880081177
945,153,145408,68.48890763,413.59,71,0.2,0.038623046875,191.1598663330078,-0.0056686700656428,700,0.0003,-0.8150365773588419,274.59880946576595,0.0063376175,0.5206249952316284
943,156,147456,66.78472782,413.29,72,0.2,0.03388671875,41.096805572509766,-0.003063354623736814,710,0.0003,-0.7270269667729735,171.8838512957096,0.005261539,0.4299662709236145
942,158,149504,64.46343128000001,407.95,73,0.2,0.0224609375,48.50821304321289,-0.00039320533323916607,720,0.0003,-0.7341775052249432,184.029007601738,0.006240773,0.5345505774021149
939,161,151552,63.01414766,409.52,74,0.2,0.077099609375,171.4768829345703,-0.005128167632574332,730,0.0003,-0.8151938563212753,241.45887324213982,0.006047235,0.42097169160842896
940,163,153600,62.76224474000001,409.77,75,0.2,0.032373046875,145.6954803466797,-0.0013624828916363185,740,0.0003,-0.7276038143783807,215.77910292744636,0.0038385042,0.37228327989578247
940,165,155648,59.45243128999999,409.89,76,0.2,0.076708984375,11.322446823120117,-0.00717914551278227,750,0.0003,-0.8569760913029313,179.7504609078169,0.005497589,0.517881840467453
939,167,157696,60.18086783,411.51,77,0.2,0.017431640625,75.3499755859375,-0.0029185437259002358,760,0.0003,-0.7926305878907443,339.7558983922005,0.0037914482,0.4354356527328491
937,170,159744,59.071921839999995,414.28,78,0.2,0.055126953125,174.12986755371094,-0.004647740674954548,770,0.0003,-0.7617191199213267,150.2275799334049,0.0060314056,0.6251222789287567
936,172,161792,58.04424658,412.49,79,0.2,0.01826171875,108.67008972167969,-0.0034613954267115332,780,0.0003,-0.8554005358368159,255.10807830691337,0.0020716898,0.5724675357341766
935,175,163840,58.935586429999994,409.53,80,0.2,0.056689453125,6.184075832366943,-0.0022185660527611617,790,0.0003,-0.8235471192747355,131.08528483211995,0.0062721665,0.4461342692375183
936,177,165888,53.72965026000001,407.31,81,0.2,0.035009765625,32.569671630859375,-0.001484897224145243,800,0.0003,-0.815366829931736,212.90097984671593,0.0028227717,0.5522598624229431
935,179,167936,56.60986226000001,407.57,82,0.2,0.065771484375,16.61826515197754,-0.006742464601484244,810,0.0003,-0.7065682372078299,226.30978994071484,0.0070813107,0.6000465452671051
935,181,169984,53.93505050000001,406.1,83,0.2,0.052734375,16.687726974487305,-0.0028108602158681607,820,0.0003,-0.8220179047435522,122.92428563535213,0.0047081197,0.584258109331131
934,184,172032,51.056626370000004,403.0,84,0.2,0.046240234375,13.240744590759277,-0.004557012830628082,830,0.0003,-0.7557545071467757,173.0433004975319,0.006999312,0.6624840795993805
931,186,174080,51.63541984000001,402.17,85,0.2,0.034619140625,11.797809600830078,-0.0058894082045299005,840,0.0003,-0.7987189367413521,152.1116740822792,0.0045113545,0.7052301466464996
929,189,176128,47.432203400000006,402.8,86,0.2,0.04267578125,56.74996566772461,-0.0013053353090072052,850,0.0003,-0.6790272377431392,138.9336576282978,0.0038120744,0.6134680211544037
929,191,178176,49.60740285,405.83,87,0.2,0.0384765625,271.6465148925781,-0.0023939849670568947,860,0.0003,-0.7511019613593817,284.71385074257853,0.0047623366,0.3941170573234558
929,193,180224,51.720240620000006,406.81,88,0.2,0.078857421875,7.2674994468688965,-0.0035135755599185357,870,0.0003,-0.8490188479423523,94.24478560090066,0.007077245,0.65550097823143
929,196,182272,44.152941150000004,405.43,89,0.2,0.0119140625,24.969806671142578,-0.0018556973976956216,880,0.0003,-0.7476469585672021,243.2885106563568,0.004882013,0.5358790159225464
927,198,184320,50.19296966000001,408.83,90,0.2,0.028955078125,345.5263366699219,-0.003981224770541303,890,0.0003,-0.8152766482904553,397.4031440615654,0.005225743,0.5425049960613251
927,201,186368,47.26243800999999,414.71,91,0.2,0.03994140625,52.11420822143555,-0.0011100768821052042,900,0.0003,-0.7621190711855889,137.1547702372074,0.0054627797,0.6552723944187164
926,203,188416,47.26972986999999,419.87,92,0.2,0.0205078125,57.05833053588867,-0.0033703159613651225,910,0.0003,-0.6926424041390419,207.96223254203795,0.0038448684,0.44412457942962646
925,205,190464,51.608474650000005,425.15,93,0.2,0.058544921875,10.365120887756348,-0.0031867510802840115,920,0.0003,-0.7124942637979984,143.31196132302284,0.0059796236,0.6063133478164673
924,208,192512,51.48473323,426.45,94,0.2,0.018896484375,7.663793563842773,-0.0014915563369868323,930,0.0003,-0.674132345430553,117.71175048053264,0.0022898936,0.4690855145454407
925,210,194560,52.241363179999986,418.39,95,0.2,0.088330078125,8.035276412963867,-0.0038789052683569024,940,0.0003,-0.7480963358655572,83.97065832465887,0.009779175,0.6914630830287933
926,212,196608,51.80092514,412.28,96,0.2,0.033203125,80.79615020751953,-0.0036996220303990414,950,0.0003,-0.8190829934552312,244.75383822619915,0.005148735,0.5804435908794403
927,214,198656,49.37390676,409.6,97,0.2,0.075830078125,103.64555358886719,-0.004153242421307368,960,0.0003,-0.6871342154219746,297.2270823419094,0.009303603,0.5423746407032013
927,216,200704,56.02479091,407.39,98,0.2,0.03251953125,177.23919677734375,-0.003133383536624024,970,0.0003,-0.7795906497165561,296.8342314064503,0.0045358627,0.5989476442337036
927,218,202752,53.56397437,405.57,99,0.2,0.079638671875,478.27032470703125,-0.0017912728217197582,980,0.0003,-0.778557020239532,133.88467981517314,0.008168697,0.6282201707363129
928,220,204800,51.62376103,398.26,100,0.2,0.063134765625,37.26217269897461,-0.002554102859357954,990,0.0003,-0.6936969416216016,219.05669257044792,0.0067711095,0.6502484679222107
929,222,206848,51.56414103,395.71,101,0.2,0.02255859375,194.54273986816406,-0.004006813022715505,1000,0.0003,-0.6735735520720482,372.4211409568787,0.003937276,0.6133524477481842
930,224,208896,47.7694346,392.59,102,0.2,0.044384765625,83.96737670898438,-0.0020007869441542427,1010,0.0003,-0.5801186029799282,234.61716905236244,0.0043434678,0.6499039232730865
930,226,210944,40.12311003,388.85,103,0.2,0.09404296875,273.8101501464844,-0.004901100455026608,1020,0.0003,-0.7244563395157456,302.3970188140869,0.0065735606,0.7233856618404388
930,228,212992,40.98627407,394.03,104,0.2,0.081298828125,54.18159484863281,-0.0041703855622472474,1030,0.0003,-0.6321034859865904,313.81653294563296,0.0068809157,0.6984126567840576
929,231,215040,43.877995550000016,395.89,105,0.2,0.033251953125,52.49913787841797,-0.0036939371486369053,1040,0.0003,-0.7597278572618962,137.10486327409745,0.0042077936,0.8047325164079666
928,233,217088,41.406776040000004,394.99,106,0.2,0.037939453125,13.166912078857422,-0.003593680760968709,1050,0.0003,-0.7383910108357667,188.88221995234488,0.0045651807,0.7288417220115662
928,236,219136,44.78492013,394.3,107,0.2,0.065576171875,22.17666244506836,-0.003466647629829822,1060,0.0003,-0.7126746574416757,178.06479600965977,0.006473347,0.717864990234375
929,238,221184,51.87618291999999,395.23,108,0.2,0.13583984375,89.6674575805664,-0.0025807516612985637,1070,0.0003,-0.7146880185231567,121.57665143609047,0.013352662,0.7532352805137634
929,240,223232,51.903117730000005,391.1,109,0.2,0.061083984375,177.21136474609375,-0.0019276927596365567,1080,0.0003,-0.6832875024527312,124.94046430289745,0.006000853,0.7706853300333023
929,242,225280,52.67005047,379.35,110,0.2,0.056689453125,52.05494689941406,-0.005784057003620546,1090,0.0003,-0.7303655661642552,160.9012522429228,0.008658389,0.7529538869857788
929,244,227328,48.44994692,372.37,111,0.2,0.073291015625,27.464120864868164,-0.006157329859343008,1100,0.0003,-0.7681877663359046,189.22358549535275,0.0054639475,0.5464084148406982
930,246,229376,48.05287464,368.5,112,0.2,0.045751953125,46.41517639160156,-0.0027207251143408938,1110,0.0003,-0.7649728123098611,224.4494991660118,0.0043696193,0.6909078359603882
930,248,231424,49.4361451,369.93,113,0.2,0.068798828125,12.016497611999512,-0.0022148276497318876,1120,0.0003,-0.7272611793130637,126.48653483837843,0.0039157458,0.7084310352802277
931,250,233472,47.33875929,370.9,114,0.2,0.052978515625,221.3945770263672,-0.0028435057396563935,1130,0.0003,-0.7404732163995504,199.56683245897293,0.0040280228,0.6590307652950287
931,252,235520,50.58195311,371.27,115,0.2,0.026953125,185.85818481445312,-0.00266704826753994,1140,0.0003,-0.7120983194559812,291.1534353256226,0.004782078,0.6309187412261963
932,254,237568,49.2136635,372.94,116,0.2,0.072119140625,64.36825561523438,-0.006377187397811212,1150,0.0003,-0.7531847551465034,208.26835625469684,0.005135743,0.6871916353702545
932,257,239616,46.167523900000006,379.79,117,0.2,0.058349609375,14.373820304870605,-0.003470381514853216,1160,0.0003,-0.7329217668622732,144.817730525136,0.0073177116,0.7491522133350372
932,259,241664,51.26780077,381.59,118,0.2,0.05146484375,123.8360595703125,-0.002073606926569482,1170,0.0003,-0.655722501501441,147.8566385358572,0.0047312137,0.7576846480369568
932,261,243712,51.34630186000001,384.0,119,0.2,0.06904296875,653.29345703125,-0.004986829384870361,1180,0.0003,-0.7585495764389634,165.18180139064788,0.006868229,0.6248325109481812
932,263,245760,53.544141150000016,386.59,120,0.2,0.076220703125,316.28753662109375,-0.0021562405607255643,1190,0.0003,-0.7750684358179569,144.48615371584893,0.008649275,0.7627725899219513
