time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/clip_range,train/loss,train/approx_kl,train/learning_rate,train/n_updates,train/value_loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/explained_variance
842,591.69,96256,47,114,-57.01037028999999,0.2,1.6034170389175415,0.008328509,0.0003,460,38.92796325646341,-1.0138258960098028,0.087548828125,-0.0071572851564269515,0.7627819031476974
839,608.72,98304,48,117,-56.09917799,0.2,70.02208709716797,0.0036042405,0.0003,470,85.98990751504898,-0.9682347547262907,0.038330078125,-0.0030824043802567757,0.5782934725284576
833,624.42,100352,49,120,-51.83677728,0.2,68.57837677001953,0.012470519,0.0003,480,102.43471190035343,-0.9608396308496594,0.08759765625,-0.0025465325423283504,0.5856939256191254
822,640.26,102400,50,124,-49.71467493,0.2,1.3724563121795654,0.0061967494,0.0003,490,41.00683776400983,-0.8637472571805119,0.051123046875,-0.0023081230021489317,0.8156663775444031
817,654.3,104448,51,127,-49.33209983999999,0.2,2.313717842102051,0.009360278,0.0003,500,43.910298471152785,-1.0680387292057276,0.110595703125,-0.006527763221674832,0.7566128522157669
812,664.66,106496,52,131,-48.56062593000001,0.2,5.856789588928223,0.008669764,0.0003,510,51.93821304142475,-0.8970044247806073,0.058154296875,-0.005099970715673407,0.7796693742275238
801,676.58,108544,53,135,-45.60132299000001,0.2,10.810636520385742,0.009405658,0.0003,520,82.01963664740325,-1.0123637855052947,0.07587890625,-0.002174530218326254,0.758850172162056
794,683.58,110592,54,139,-47.013903909999996,0.2,17.108036041259766,0.0061551174,0.0003,530,70.45488353967667,-0.9624812183901668,0.03271484375,-0.0020901340802083725,0.48582011461257935
793,701.65,112640,55,141,-45.06631527,0.2,2.61138916015625,0.011123113,0.0003,540,26.79579051733017,-0.9183542260900139,0.113720703125,-0.0043376866524340585,0.8531333953142166
787,717.5,114688,56,145,-42.78743275,0.2,21.724164962768555,0.0062542916,0.0003,550,94.75861128121615,-0.9342761047184467,0.056591796875,-0.0022585944840102456,0.6875998377799988
783,733.09,116736,57,149,-41.11398002999999,0.2,4.181737422943115,0.0051413765,0.0003,560,51.82196301072836,-0.9746924795210361,0.04833984375,-0.0016363837487006095,0.6331703364849091
776,748.98,118784,58,152,-39.76618105,0.2,1.5206881761550903,0.0056446586,0.0003,570,21.276757280901073,-1.0201119095087052,0.09912109375,-0.0035540398515877315,0.7766539007425308
769,762.89,120832,59,157,-36.85241426,0.2,9.387166023254395,0.0043095415,0.0003,580,35.489451674371956,-1.003576122969389,0.076171875,-0.004510628856587573,0.7890156954526901
757,772.02,122880,60,162,-32.864044889999995,0.2,122.1589584350586,0.007219766,0.0003,590,86.48207391276955,-0.9807783083990216,0.106591796875,-0.004286983231577324,0.5214347541332245
755,782.52,124928,61,165,-30.74718225,0.2,1.039756417274475,0.01375025,0.0003,600,36.8654922246933,-0.7842120351269841,0.0720703125,-0.004963776980730472,0.8548690974712372
753,798.55,126976,62,168,-29.180447299999997,0.2,182.6560516357422,0.005730195,0.0003,610,86.78175001293421,-0.8525651479139924,0.071826171875,-0.00268260310695041,0.7045819759368896
