rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,train/loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/explained_variance,train/value_loss,train/entropy_loss,train/learning_rate
70.0332492,202752,284,99,712,580.36,7.526367664337158,0.004413302,980,-0.0037857884213735814,0.2,0.04130859375,0.489199161529541,142.66500696912408,-0.6631569540128112,0.0003
72.01310337,204800,287,100,713,580.16,14.735612869262695,0.0066190395,990,-0.0014319902125862426,0.2,0.07509765625,0.713555246591568,93.58955451399088,-0.6902263278141618,0.0003
76.01974249,206848,289,101,713,582.39,7.952298164367676,0.008061018,1000,-0.002388928235450294,0.2,0.077685546875,0.5896422564983368,144.13832687139512,-0.7106361290439963,0.0003
76.81439447999998,208896,292,102,714,582.38,23.474641799926758,0.0031199283,1010,-0.0007495771773392334,0.2,0.032568359375,0.5661704540252686,104.74127397984266,-0.7244267208501697,0.0003
73.3692121,210944,294,103,715,582.66,14.911806106567383,0.0064776484,1020,-0.0024422287169727497,0.2,0.048095703125,0.5266125202178955,176.7266255274415,-0.7073959751054645,0.0003
76.90507661999999,212992,297,104,714,574.48,117.06280517578125,0.002514007,1030,-0.0009191096112772356,0.2,0.01533203125,0.48577481508255005,208.2458699852228,-0.69367640260607,0.0003
73.85471966,215040,300,105,715,574.55,22.34830093383789,0.01068577,1040,-0.0022232448201975783,0.2,0.086474609375,0.7199189960956573,73.30459489151835,-0.7493563616648317,0.0003
76.05649405999999,217088,303,106,715,570.88,72.71444702148438,0.0038298573,1050,-0.0011617524840403348,0.2,0.05537109375,0.6559357345104218,115.24588306844234,-0.7059610521420836,0.0003
77.56050973,219136,306,107,715,564.58,59.5167121887207,0.011342369,1060,-0.0012936447867105017,0.2,0.05595703125,0.5535946488380432,158.99474790990354,-0.7347236258909107,0.0003
74.69831749999999,221184,308,108,716,563.47,3.292026996612549,0.004446623,1070,-0.0023603009256476072,0.2,0.035205078125,0.6316803097724915,99.53338084816933,-0.7314522596076131,0.0003
74.93400534000001,223232,310,109,717,562.13,17.57304573059082,0.007827395,1080,-0.005503318248520373,0.2,0.09248046875,0.6049984097480774,136.9233170181513,-0.7288339722901582,0.0003
74.80130414,225280,313,110,719,560.58,20.341642379760742,0.005153112,1090,-0.0015525035454629688,0.2,0.03095703125,0.6158602237701416,108.76868879199029,-0.7232475731521845,0.0003
75.39394152999999,227328,315,111,719,560.17,294.1380920410156,0.0048887315,1100,-0.0026693838175560814,0.2,0.049169921875,0.7012929320335388,106.27635604292155,-0.679217497073114,0.0003
77.23950620999999,229376,318,112,720,554.72,20.557703018188477,0.0069331448,1110,-0.0022953937143029178,0.2,0.076318359375,0.5538449883460999,115.05939594507217,-0.7431879529729486,0.0003
72.53428694,231424,320,113,721,551.16,310.7897644042969,0.005853504,1120,-0.0015730350511148571,0.2,0.072705078125,0.6518574357032776,119.33520346879959,-0.6979546265676617,0.0003
75.71308141,233472,323,114,721,549.52,57.35436248779297,0.0028259782,1130,-0.006372922415903304,0.2,0.05166015625,0.3938012719154358,240.54536465108396,-0.7183977391570806,0.0003
73.15965777,235520,326,115,722,544.46,7.540274143218994,0.0031907035,1140,-0.0016211037309403764,0.2,0.045654296875,0.6653246581554413,109.74594593048096,-0.6602689258754253,0.0003
68.19901461,237568,328,116,722,540.11,2.8908884525299072,0.008686465,1150,-0.0032082110446935985,0.2,0.0830078125,0.6662323772907257,143.36082146167755,-0.7078958319500088,0.0003
68.41826642,239616,330,117,723,538.19,4.331683158874512,0.004625423,1160,-0.004221391286228027,0.2,0.0427734375,0.514928013086319,223.17680614888667,-0.6811646744608879,0.0003
69.17498075,241664,333,118,723,537.63,404.888916015625,0.005470831,1170,-0.001964884842163883,0.2,0.06376953125,0.7478311657905579,133.54322692751884,-0.6068447981029749,0.0003
70.08255462,243712,336,119,723,529.87,24.14133071899414,0.0019277222,1180,-0.0009722856484586373,0.2,0.028369140625,0.6148724257946014,99.49077295064926,-0.6124348238110542,0.0003
70.68478754,245760,339,120,724,526.83,43.6217155456543,0.005074755,1190,-0.0010664837420335971,0.2,0.056201171875,0.6247812211513519,103.59524894654751,-0.6709789875894785,0.0003
67.61541486,247808,342,121,724,527.73,11.660304069519043,0.0051089353,1200,-0.002348406919190893,0.2,0.0767578125,0.6246234178543091,96.91211572661996,-0.6849331445991993,0.0003
65.60262882,249856,344,122,725,523.11,32.60365295410156,0.007736087,1210,-0.0027542928517505063,0.2,0.078466796875,0.6728668510913849,125.62727353200316,-0.7026683576405048,0.0003
65.31015465,251904,346,123,726,521.93,5.756849765777588,0.0064159906,1220,-0.0012288896454265342,0.2,0.074658203125,0.7533330619335175,121.19125659018755,-0.7106078300625086,0.0003
-71.6475,2048,1,1,1072,497.5,39.331703186035156,0.005307714,1230,-0.007198358924506465,0.2,0.075439453125,0.5899751782417297,204.15743099451066,-0.7221141578629613,0.0003
-25.003749999999997,4096,4,2,887,508.375,11.16352367401123,0.007609823,1240,-0.004442356766230659,0.2,0.10029296875,0.6515220105648041,95.92380855679512,-0.5848628879524768,0.0003
-7.97333333333333,6144,7,3,853,498.75,7.484391212463379,0.010790845,1250,-0.004206489839998539,0.2,0.132470703125,0.6134346127510071,48.844581834971905,-0.6677132153883576,0.0003
3.2335294117647058,8192,9,4,844,478.11764705882354,7.805620193481445,0.003528343,1260,-0.0007542197232396575,0.2,0.064306640625,0.8242172598838806,36.335352308303115,-0.6417955694720149,0.0003
8.283809523809524,10240,11,5,857,475.2857142857143,29.544878005981445,0.003065587,1270,-0.0017212934471899644,0.2,0.030908203125,0.7574270665645599,52.51852662116289,-0.6470795353874564,0.0003
11.7684,12288,14,6,857,479.72,11.748435974121094,0.005674759,1280,-0.0011469211232906674,0.2,0.056396484375,0.7226471304893494,57.091199822723866,-0.6563925720751286,0.0003
8.791,14336,16,7,865,469.6,33.18058776855469,0.0025212818,1290,-0.000499279199357261,0.2,0.017724609375,0.7078529298305511,99.65131811127067,-0.5790134461596608,0.0003
11.645588235294117,16384,19,8,857,478.11764705882354,45.0362663269043,0.0028494268,1300,-0.0014494836064841365,0.2,0.043798828125,0.7651601284742355,84.3742955043912,-0.6344437452964484,0.0003
13.820263157894736,18432,21,9,857,476.9736842105263,6.093079566955566,0.004004392,1310,-0.0017863232067611534,0.2,0.037646484375,0.8954874277114868,44.346175003051755,-0.5893576858565212,0.0003
15.87720930232558,20480,24,10,849,474.16279069767444,49.88517761230469,0.007078698,1320,-0.0006579222914297134,0.2,0.068798828125,0.8795682564377785,49.341382244229315,-0.633463378250599,0.0003
9.673541666666667,22528,26,11,853,467.5,2.766554117202759,0.0036335709,1330,-0.00025930711344699373,0.2,0.03876953125,0.9295398369431496,37.17112464830279,-0.6175035540945828,0.0003
11.434038461538465,24576,28,12,854,466.4423076923077,15.301161766052246,0.0047546793,1340,-0.002497898136061849,0.2,0.058544921875,0.6688329577445984,138.22724454849958,-0.6542198568582535,0.0003
6.168214285714286,26624,30,13,860,459.64285714285717,24.950496673583984,0.004659658,1350,-0.00236874333495507,0.2,0.0865234375,0.9048182293772697,39.94048072099686,-0.6333248658105731,0.0003
2.774354838709678,28672,33,14,864,462.4516129032258,64.17691802978516,0.01892976,1360,-0.001224093576456653,0.2,0.135693359375,0.793422058224678,80.4299681391567,-0.6057408366352319,0.0003
5.028955223880597,30720,35,15,870,458.05970149253733,8.474088668823242,0.0015948879,1370,-0.0012010505197395105,0.2,0.02841796875,0.7472133338451385,131.18272299170494,-0.6140280024148523,0.0003
6.413943661971831,32768,37,16,871,456.4507042253521,4.845773220062256,0.0099201035,1380,-0.0011953805282246322,0.2,0.085400390625,0.9701890163123608,14.787675467133521,-0.6533957220613956,0.0003
8.245394736842105,34816,39,17,874,453.57894736842104,1.804932713508606,0.004852632,1390,-0.0011216434002562891,0.2,0.088427734375,0.9789948184043169,10.850605773925782,-0.7254343653097749,0.0003
4.815061728395061,36864,42,18,876,449.5432098765432,31.664337158203125,0.006833835,1400,-0.002317200307152234,0.2,0.0705078125,0.9103039875626564,43.59878292828798,-0.652730779722333,0.0003
6.537325581395348,38912,44,19,873,449.8139534883721,3.45831036567688,0.0038503958,1410,-0.0029890473138948436,0.2,0.02734375,0.7255267798900604,92.4525248914957,-0.6827907677739858,0.0003
8.105274725274723,40960,46,20,875,447.84615384615387,28.553974151611328,0.00402573,1420,-0.004863716891122749,0.2,0.072412109375,0.9228671491146088,37.99092021435499,-0.6166347004473209,0.0003
9.450520833333334,43008,49,21,874,446.4583333333333,10.0789213180542,0.0063281134,1430,-0.0013883844469091855,0.2,0.05439453125,0.9791997876018286,13.623297534137965,-0.6709553742781281,0.0003
12.6434,45056,51,22,879,444.52,31.339155197143555,0.004532138,1440,-0.0005965030024526641,0.2,0.041064453125,0.972413569688797,19.072914769127966,-0.661701531894505,0.0003
13.2797,47104,53,23,878,438.01,9.978047370910645,0.004949268,1450,-0.0037578201405267463,0.2,0.07880859375,0.9779087714850903,17.411658002436162,-0.6634510053321719,0.0003
9.9025,49152,55,24,881,434.34,178.1407012939453,0.0018034868,1460,-0.002406050151330419,0.2,0.010986328125,0.8550959527492523,102.39601501077414,-0.6838545843958854,0.0003
6.1485,51200,57,25,885,432.71,141.98533630371094,0.0038225714,1470,-0.003596497408580035,0.2,0.02861328125,0.7198280394077301,130.22946303635837,-0.6707570131868124,0.0003
4.8328,53248,60,26,886,428.34,59.43691635131836,0.0030359935,1480,-0.002249854903493542,0.2,0.02138671875,0.7305910289287567,106.15296391099692,-0.6771588750183583,0.0003
