time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/clip_range,train/loss,train/n_updates,train/explained_variance,train/entropy_loss,train/value_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/policy_gradient_loss
80,5.337380500000002,224,163840,729.34,730,0.2,35.038204193115234,790,0.6311562359333038,-0.8063376327976585,103.47443338409066,0.0064070863,0.0003,0.042919921875,-0.0021905073412199273
81,5.042821910000002,226,165888,719.69,731,0.2,14.116782188415527,800,0.5950601398944855,-0.762806954421103,164.27218900471925,0.0048512314,0.0003,0.029443359375,-0.0019141756012686529
82,5.414057620000002,229,167936,706.96,733,0.2,10.784563064575195,810,0.51908740401268,-0.8458047293126583,165.64606920331715,0.0069235964,0.0003,0.06015625,-0.0018692382818699116
83,4.713027700000001,232,169984,712.24,732,0.2,20.963382720947266,820,0.5604516565799713,-0.8296619137749076,145.10563321262597,0.0076049077,0.0003,0.093017578125,-0.002653332383488305
84,6.631708840000003,235,172032,711.97,729,0.2,1.561598539352417,830,0.8335738331079483,-0.8651355531066656,49.378745776042344,0.011486815,0.0003,0.107080078125,-0.0025749468280992006
85,4.792495200000001,239,174080,705.7,727,0.2,0.9245775938034058,840,0.549889862537384,-0.7963338181376457,79.17620797753334,0.023987424,0.0003,0.17919921875,-0.0029514281333831603
86,5.388884239999999,242,176128,700.11,725,0.2,22.466110229492188,850,0.6859254539012909,-0.7854343056678772,101.32020713463426,0.0062057353,0.0003,0.07685546875,-0.0006212641586898826
87,4.04886972,246,178176,709.8,722,0.2,37.973854064941406,860,0.6685532629489899,-0.78686384242028,103.29191796556115,0.008100062,0.0003,0.093603515625,-0.0011656595104795997
88,0.9388197999999996,249,180224,707.55,721,0.2,1.9427094459533691,870,0.760949969291687,-0.8232043094933033,80.63216282576323,0.0065497477,0.0003,0.089697265625,-0.0015757270834001248
89,2.84773337,252,182272,699.71,723,0.2,2.169912099838257,880,0.7721332311630249,-0.7592096725478769,85.6453677430749,0.004126205,0.0003,0.15380859375,-0.0020732162083731964
90,4.75410327,254,184320,683.01,723,0.2,22.507736206054688,890,0.6034244298934937,-0.720685931108892,174.81705737709999,0.0046851565,0.0003,0.023974609375,-0.0015195605785265798
91,4.6277779500000005,257,186368,678.46,723,0.2,108.82717895507812,900,0.6088548004627228,-0.7489295445382596,171.411010299623,0.0014028468,0.0003,0.00576171875,-0.0003939516784157604
92,9.796362730000002,260,188416,684.45,723,0.2,65.65625762939453,910,0.6692838072776794,-0.8364802755415439,162.3377813525498,0.009308742,0.0003,0.0697265625,-0.00214224349547294
93,8.306866050000002,263,190464,683.8,721,0.2,3.1023333072662354,920,0.6962325274944305,-0.8418686604127288,113.99286466613412,0.009270319,0.0003,0.0783203125,-0.0019336185789143201
