rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/std,train/clip_range,train/learning_rate,train/entropy_loss,train/loss,train/value_loss,train/explained_variance
16.336747950000003,540,852.01,245760,454,120,-0.0021572134079178794,1190,0.008015415,0.047412109375,0.613620936870575,0.2,0.0003,-1.863123045489192,7.171145439147949,59.95635130032897,0.6711253523826599
12.711355880000001,540,842.36,247808,458,121,-0.0021777608679258266,1200,0.009295496,0.032373046875,0.610751748085022,0.2,0.0003,-1.8494497280567885,46.366172790527344,137.5134142972529,0.6062445640563965
14.603140750000001,540,831.06,249856,461,122,-0.003044614702230319,1210,0.0042461934,0.024072265625,0.6100659966468811,0.2,0.0003,-1.8434093933552504,67.85725402832031,163.90485117584467,0.5462765097618103
13.966084800000003,541,824.35,251904,465,123,-0.0026768524021463236,1220,0.0030396355,0.0185546875,0.6064524054527283,0.2,0.0003,-1.8371816121041775,28.41000747680664,100.2527842476964,0.8174534738063812
-57.38614925,1116,412.75,2048,1,1,-0.0008372594980755821,1230,0.0066296547,0.064404296875,0.5977715253829956,0.2,0.0003,-1.8167980547994376,5.97956657409668,106.03443475142122,0.6969183683395386
-55.23616833333333,698,608.5,4096,5,2,-0.003687932553657447,1240,0.0060779816,0.034033203125,0.5980364084243774,0.2,0.0003,-1.8019145224243402,69.1837158203125,178.451637378335,0.4937083125114441
-63.779202222222224,668,607.4444444444445,6144,9,3,-0.003556732629658654,1250,0.007415922,0.0646484375,0.5922079086303711,0.2,0.0003,-1.7934965025633574,7.808859348297119,52.39151135310531,0.8551187068223953
-66.38748745454546,648,656.4545454545455,8192,12,4,-0.0020768413225596303,1260,0.005811209,0.042529296875,0.58738774061203,0.2,0.0003,-1.7724792834371328,4.6365532875061035,130.34416868388652,0.5613661408424377
-67.17457271428573,639,680.5714285714286,10240,16,5,-0.001043944206321612,1270,0.0070863753,0.073779296875,0.5800117254257202,0.2,0.0003,-1.7529740650206804,50.86486053466797,65.60903681702912,0.6244824528694153
-65.98677376470587,634,721.5882352941177,12288,19,6,-0.0038769305509049447,1280,0.0067642927,0.094970703125,0.5761005878448486,0.2,0.0003,-1.7364194575697183,157.20391845703125,181.7325099349022,0.5044777095317841
-73.94547299999999,614,686.8,14336,23,7,-0.0011388743412680924,1290,0.012067039,0.08955078125,0.5676469206809998,0.2,0.0003,-1.711198741197586,34.70420455932617,91.76667152419687,0.5570510029792786
-86.34132545833334,617,676.8333333333334,16384,26,8,-0.0007777752885886003,1300,0.007174083,0.098046875,0.5676127076148987,0.2,0.0003,-1.6966457098722458,16.40909767150879,106.60036543905736,0.6157314479351044
-84.23593576923078,629,701.6923076923077,18432,29,9,0.0001416697647073306,1310,0.0092325425,0.104052734375,0.5652031898498535,0.2,0.0003,-1.6929771848022939,11.1629056930542,109.13863965272904,0.6972074806690216
-87.34949635714288,618,704.1071428571429,20480,33,10,0.0006315301070571877,1320,0.0059067216,0.1361328125,0.5598069429397583,0.2,0.0003,-1.6768056705594063,0.3343716859817505,30.972259684931487,0.9054308459162712
-81.07317712903229,613,722.6129032258065,22528,36,11,-0.0053235779123497196,1330,0.0039296257,0.070458984375,0.5602363348007202,0.2,0.0003,-1.6704876203089953,28.227556228637695,71.97711250018328,0.6686600744724274
-83.43799091428572,613,698.8857142857142,24576,40,12,-0.00048283166252076625,1340,0.005833693,0.051025390625,0.5604275465011597,0.2,0.0003,-1.6724527720361948,25.69943618774414,80.19802399501205,0.7489661574363708
