time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,train/entropy_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/value_loss,train/clip_fraction,train/loss,train/learning_rate
204800,448.48,226,45.09248713,902,100,-0.7150537835434079,0.00720318,990,-0.004999901499832049,0.2,0.6109141409397125,177.2537320703268,0.05634765625,33.723297119140625,0.0003
206848,442.12,229,40.71680607999999,903,101,-0.7937421426177025,0.0031455013,1000,-0.0011861038525239564,0.2,0.643715500831604,107.45872026532888,0.0455078125,11.959753036499023,0.0003
208896,443.74,231,42.74220962999999,900,102,-0.7918959448114038,0.004828435,1010,-0.0034461665476555937,0.2,0.5916801691055298,235.0440945327282,0.02958984375,29.834671020507812,0.0003
210944,444.24,234,45.11411944999999,900,103,-0.6785623911768198,0.004082253,1020,-0.001538687650099746,0.2,0.6685300171375275,112.79540044218302,0.05009765625,31.085744857788086,0.0003
212992,441.37,236,47.98291744,900,104,-0.7561785206198692,0.0045345393,1030,-0.00196343085335684,0.2,0.7125049829483032,154.24697234630585,0.06416015625,51.061763763427734,0.0003
215040,424.31,238,37.0495448,901,105,-0.7381840746849775,0.007630254,1040,-0.00186329059106356,0.2,0.681955486536026,104.68719752728938,0.069580078125,6.008765697479248,0.0003
217088,413.91,240,36.60733493,902,106,-0.8167637852951884,0.004818143,1050,-0.005792092879710253,0.2,0.5590106844902039,373.35902128219607,0.050634765625,88.75460052490234,0.0003
219136,412.83,242,38.78147469,902,107,-0.7568649349734187,0.006017807,1060,-0.0024853889794030693,0.2,0.6758168935775757,179.28950979709626,0.061328125,11.537375450134277,0.0003
221184,408.08,245,43.91896870000001,901,108,-0.7738704171031714,0.01220905,1070,-0.0018025518624199322,0.2,0.6485877633094788,186.84908651411533,0.090185546875,13.540772438049316,0.0003
223232,405.84,247,42.4274161,901,109,-0.5750483252108097,0.0057472307,1080,-0.006353275827132165,0.2,0.6615373194217682,208.4556409984827,0.051318359375,42.163330078125,0.0003
225280,402.26,249,46.593706710000006,901,110,-0.7618443988263607,0.0062378347,1090,-0.005161922053957824,0.2,0.6498989164829254,255.51750987768173,0.0615234375,94.99364471435547,0.0003
227328,396.51,251,47.187032689999995,902,111,-0.7046859983354807,0.005260486,1100,-0.0034417336733895353,0.2,0.7253729403018951,168.6303447663784,0.040234375,13.414941787719727,0.0003
229376,391.46,253,51.349882430000015,903,112,-0.7048377940431237,0.0053506447,1110,-0.002342961955218925,0.2,0.7291238903999329,173.86722167730332,0.04921875,8.758252143859863,0.0003
231424,390.4,256,50.71677672,903,113,-0.7103328926488757,0.006004113,1120,-0.004597035458937171,0.2,0.8064347952604294,140.5696571558714,0.052099609375,9.31018352508545,0.0003
233472,388.72,258,49.30773208000001,904,114,-0.7603514460846782,0.0043674298,1130,-0.0028871520382381275,0.2,0.6904248595237732,292.38971374034884,0.026220703125,61.25204849243164,0.0003
235520,390.46,260,54.23660499,903,115,-0.587008750718087,0.004036561,1140,-0.0015163029922405258,0.2,0.6769706606864929,227.01078420877457,0.04638671875,81.85425567626953,0.0003
237568,387.77,262,55.7827411,904,116,-0.6073960113339126,0.004592663,1150,-0.004227007431472885,0.2,0.4425525665283203,148.97352454662322,0.049072265625,12.205774307250977,0.0003
239616,386.21,264,60.357765709999995,905,117,-0.7440508086234331,0.007166619,1160,-0.003446854161302326,0.2,0.5649698078632355,214.52882156074048,0.06748046875,15.347091674804688,0.0003
241664,390.75,267,62.28737826,904,118,-0.7186813680455089,0.009783274,1170,-0.001574633867130615,0.2,0.7131725251674652,123.6330200701952,0.070751953125,14.861307144165039,0.0003
243712,387.88,269,59.020513660000006,905,119,-0.5638289482332766,0.004783256,1180,-0.0021418609328975437,0.2,0.8664042949676514,60.077175457775596,0.04658203125,24.780363082885742,0.0003
245760,389.13,271,61.260549850000004,906,120,-0.6983748264610767,0.0036690817,1190,-0.0025061790722247677,0.2,0.7023873031139374,198.69965571165085,0.03349609375,337.24920654296875,0.0003
247808,384.26,273,59.77407907999999,907,121,-0.6920555396005511,0.0033555457,1200,-0.0019625940767582506,0.2,0.6869098246097565,180.26182056069374,0.02666015625,87.68285369873047,0.0003
