time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,train/clip_fraction,train/loss,train/explained_variance,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/n_updates,train/entropy_loss
135,-56.161073159999994,648.34,787,106496,52,0.046875,3.7364823818206787,0.32560068368911743,15.078077219426632,0.0047463914,-0.0025072308504604734,0.0003,0.2,510,-0.8589312396943569
138,-53.61665284000001,664.98,784,108544,53,0.066845703125,4.427076816558838,0.26176029443740845,10.096224835515022,0.004406521,-0.0016342250593879726,0.0003,0.2,520,-0.8191173259168864
142,-51.624641280000006,680.36,775,110592,54,0.07880859375,3.8533763885498047,0.2613045573234558,23.18458627164364,0.0068783816,-0.0017689766675175634,0.0003,0.2,530,-0.8145763004198671
145,-48.18426775000001,696.12,773,112640,55,0.084326171875,2.7793447971343994,0.7699533253908157,16.191259609162806,0.0061590876,-0.002212912787217647,0.0003,0.2,540,-0.8564931869506835
148,-47.99350858,703.56,772,114688,56,0.099658203125,3.1234359741210938,0.7357380092144012,17.987585213035345,0.009681859,-0.004883189768588636,0.0003,0.2,550,-0.7999540474265814
152,-44.96233188,719.49,767,116736,57,0.041796875,3.1571154594421387,0.7114744782447815,26.158590141683817,0.0045964755,1.339721493422985e-05,0.0003,0.2,560,-0.7815614730119705
155,-43.222743560000005,733.9,764,118784,58,0.057177734375,1.0460387468338013,0.3971218466758728,11.514815067872405,0.0046888744,-0.0010396414509159513,0.0003,0.2,570,-0.7888494729995728
159,-40.75569872,741.43,757,120832,59,0.060595703125,0.8305855989456177,0.8272764533758163,16.03615281432867,0.004113002,-0.0004980822224752047,0.0003,0.2,580,-0.7767474258318543
163,-38.41309507000001,757.78,752,122880,60,0.075341796875,2.3685903549194336,0.22303396463394165,61.793416840583085,0.011819698,-0.0023909530165838076,0.0003,0.2,590,-0.7911385107785464
167,-38.15476167,765.89,746,124928,61,0.067529296875,1.0721673965454102,0.5592164397239685,16.514631405845286,0.0041636927,-0.0012155249351053499,0.0003,0.2,600,-0.7509128572419286
171,-35.160610680000005,781.36,740,126976,62,0.089892578125,1.3606908321380615,0.6396318972110748,13.047113813459873,0.006063117,-0.0014507998850604054,0.0003,0.2,610,-0.7504618206992746
175,-31.824019610000004,797.35,735,129024,63,0.081884765625,1.0934522151947021,0.6115143597126007,9.108089334890247,0.007009712,-0.00284099953059922,0.0003,0.2,620,-0.7716518411412835
